file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Logic16851588;edu.lclark.logic.TfWffChecker;TfWffChecker;class;5;5;2;0;1;2;0;36
Logic16851588;edu.lclark.logic.WffCheckerErrorStrategy;WffCheckerErrorStrategy;class;7;4;2;0;1;2;0;22
Logic16851588;edu.lclark.logic.TruthTableTest;TruthTableTest;class;3;3;1;0;0;3;1;21
Logic16851588;edu.lclark.logic.PreferencePane;PreferencePane;class;2;19;8;0;4;9;8;127
Logic16851588;edu.lclark.logic.WffCheckerErrorListener;WffCheckerErrorListener;class;5;4;2;0;0;4;2;27
Logic16851588;edu.lclark.logic.TFTestButton;TFTestButton;class;4;7;2;0;4;3;3;56
Logic16851588;edu.lclark.logic.TruthTableColumn;TruthTableColumn;class;1;5;1;0;0;5;2;24
Logic16851588;edu.lclark.logic.QfWffCheckerTest;QfWffCheckerTest;class;3;22;1;0;0;22;2;121
Logic16851588;edu.lclark.logic.LogicCLI;LogicCLI;class;4;8;1;0;28;8;0;42
Logic16851588;edu.lclark.logic.TruthTableCheckerTest;TruthTableCheckerTest;class;4;15;1;0;0;11;6;141
Logic16851588;edu.lclark.logic.QButtonPanel;QButtonPanel;class;4;1;6;0;0;1;1;112
Logic16851588;edu.lclark.logic.TruthTableChecker;TruthTableChecker;class;3;99;1;0;134;21;3;259
Logic16851588;edu.lclark.logic.TFButtonPanel;TFButtonPanel;class;4;1;6;0;0;1;1;80
Logic16851588;edu.lclark.logic.TruthTable;TruthTable;class;4;29;1;0;53;15;5;129
Logic16851588;edu.lclark.logic.ButtonPanel;ButtonPanel;class;0;29;5;2;59;18;7;122
Logic16851588;edu.lclark.logic.QfWffChecker;QfWffChecker;class;10;18;2;0;4;4;2;77
Logic16851588;edu.lclark.logic.QfWffTreeListener;QfWffTreeListener;class;4;9;2;0;0;7;2;37
Logic16851588;edu.lclark.logic.TruthTablePanel;TruthTablePanel;class;8;34;6;0;7;14;15;199
Logic16851588;edu.lclark.logic.TfWffCheckerTest;TfWffCheckerTest;class;3;10;1;0;0;10;2;59
Logic16851588;edu.lclark.logic.TruthTableGUI;TruthTableGUI;class;9;23;7;0;17;6;10;145
Logic16851588;edu.lclark.logic.WffChecker;WffChecker;class;7;22;1;0;132;20;7;161
Logic16851588;edu.lclark.logic.LogicTrainer;LogicTrainer;class;2;6;6;0;0;1;5;72
Logic16851588;edu.lclark.logic.QTestButton;QTestButton;class;4;6;2;0;4;3;3;43
