file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
RuneSourceDevelopment3066242;com.rs2.model.content.questing.GettingStarted;GettingStarted;class;1;25;1;0;0;1;0;87;
RuneSourceDevelopment3066242;com.rs2.model.content.skills.Skill;Skill;class;3;49;1;0;31;18;10;194;
RuneSourceDevelopment3066242;com.rs2.model.npcs.NpcLoader;NpcLoader;class;3;4;1;0;1;2;0;56;
RuneSourceDevelopment3066242;com.rs2.net.packet.packets.PlayerOptionPacketHandler;PlayerOptionPacketHandler;class;4;19;1;0;28;6;5;99;
RuneSourceDevelopment3066242;com.rs2.model.content.dialogue.MiscDialogue;MiscDialogue;class;1;1;1;0;0;1;0;12;
RuneSourceDevelopment3066242;com.rs2.model.players.Item;Item;class;3;10;1;0;0;8;2;65;
RuneSourceDevelopment3066242;com.rs2.net.packet.packets.DefaultPacketHandler;DefaultPacketHandler;class;3;1;1;0;0;1;0;10;
RuneSourceDevelopment3066242;com.rs2.net.ISAACCipher;ISAACCipher;class;1;16;1;0;0;4;10;276;
RuneSourceDevelopment3066242;com.rs2.net.Login;Login;class;5;23;1;0;0;1;0;110;
RuneSourceDevelopment3066242;com.rs2.util.NameUtil;NameUtil;class;1;14;1;0;3;3;1;45;
RuneSourceDevelopment3066242;com.rs2.model.players.container.ContainerListener;ContainerListener;interface;2;3;1;0;3;3;0;25;
RuneSourceDevelopment3066242;com.rs2.model.content.combat.magic.SpellLoader;SpellLoader;class;1;6;1;0;0;1;0;30;
RuneSourceDevelopment3066242;com.rs2.model.Position;Position;class;1;21;1;0;3;19;3;190;
RuneSourceDevelopment3066242;com.rs2.model.players.Inventory;Inventory;class;3;38;1;0;0;12;4;98;
RuneSourceDevelopment3066242;com.rs2.model.players.GroundItem;GroundItem;class;2;13;1;0;50;13;6;52;
RuneSourceDevelopment3066242;com.rs2.model.content.skills.Fishing;Fishing;class;4;32;1;0;0;3;6;134;
RuneSourceDevelopment3066242;com.rs2.model.players.ItemManager;ItemManager;class;8;110;1;0;689;41;15;310;
RuneSourceDevelopment3066242;com.rs2.model.players.WalkToActions;WalkToActions;class;6;84;1;0;48;10;1;261;
RuneSourceDevelopment3066242;com.rs2.net.packet.packets.ChatInterfacePacketHandler;ChatInterfacePacketHandler;class;4;17;1;0;6;4;3;54;
RuneSourceDevelopment3066242;com.rs2.model.npcs.NpcDefinition;NpcDefinition;class;2;34;1;0;433;31;18;125;
RuneSourceDevelopment3066242;com.rs2.net.packet.packets.AppearancePacketHandler;AppearancePacketHandler;class;3;1;1;0;0;1;1;24;
RuneSourceDevelopment3066242;com.rs2.net.packet.packets.CommandPacketHandler;CommandPacketHandler;class;3;3;1;0;1;2;1;22;
RuneSourceDevelopment3066242;com.rs2.model.content.dialogue.Banker;Banker;class;1;7;1;0;0;1;0;38;
RuneSourceDevelopment3066242;com.rs2.model.content.randomevents.Genie;Genie;class;5;17;1;0;0;5;5;78;
RuneSourceDevelopment3066242;com.rs2.model.content.skills.SkillInterfaces;SkillInterfaces;class;2;146;1;0;0;11;2;262;
RuneSourceDevelopment3066242;com.rs2.model.players.GlobalObjectHandler;GlobalObjectHandler;class;3;12;1;0;0;5;1;55;
RuneSourceDevelopment3066242;com.rs2.net.packet.Packet;Packet;class;1;7;1;0;3;7;3;30;
RuneSourceDevelopment3066242;com.rs2.net.packet.packets.ChatPacketHandler;ChatPacketHandler;class;4;3;1;0;0;1;1;24;
RuneSourceDevelopment3066242;com.rs2.model.Entity;Entity;class;7;68;1;2;1031;47;19;206;
RuneSourceDevelopment3066242;com.rs2.util.PunishmentManager;PunishmentManager;class;5;66;1;0;0;4;1;278;
RuneSourceDevelopment3066242;com.rs2.model.content.combat.util.CombatUtils;CombatUtils;class;1;11;1;0;0;1;0;36;
RuneSourceDevelopment3066242;com.rs2.net.packet.packets.ButtonPacketHandler;ButtonPacketHandler;class;3;41;1;0;1;2;1;146;
RuneSourceDevelopment3066242;com.rs2.model.players.MovementHandler;MovementHandler;class;4;44;2;0;72;17;7;236;
RuneSourceDevelopment3066242;com.rs2.net.packet.packets.PrivateMessagingPacketHandler;PrivateMessagingPacketHandler;class;4;6;1;0;0;1;5;38;
RuneSourceDevelopment3066242;com.rs2.model.content.combat.util.Skulling;Skulling;class;2;17;1;0;0;1;0;33;
RuneSourceDevelopment3066242;com.rs2.model.content.questing.Questing;Questing;class;4;40;1;0;0;12;7;137;
RuneSourceDevelopment3066242;com.rs2.model.players.container.Container;Container;class;5;136;1;0;264;36;5;617;
RuneSourceDevelopment3066242;com.rs2.net.packet.packets.ObjectPacketHandler;ObjectPacketHandler;class;3;9;1;0;8;5;4;66;
RuneSourceDevelopment3066242;com.rs2.util.PlayerSave;PlayerSave;class;2;42;1;0;0;2;1;207;
RuneSourceDevelopment3066242;com.rs2.Constants;Constants;class;1;0;1;0;0;0;49;81;
RuneSourceDevelopment3066242;com.rs2.model.content.skills.Cooking;Cooking;class;3;7;1;0;0;3;7;74;
RuneSourceDevelopment3066242;com.rs2.net.packet.packets.WalkPacketHandler;WalkPacketHandler;class;5;11;1;0;0;1;3;49;
RuneSourceDevelopment3066242;com.rs2.net.StreamBuffer;StreamBuffer;class;9;124;3;0;1931;66;6;992;
RuneSourceDevelopment3066242;com.rs2.model.tick.Tick;Tick;class;0;14;1;0;10;8;3;95;
RuneSourceDevelopment3066242;com.rs2.model.content.Emotes;Emotes;class;2;6;1;0;0;3;2;29;
RuneSourceDevelopment3066242;com.rs2.model.content.Pets;Pets;class;6;10;1;0;0;4;4;63;
RuneSourceDevelopment3066242;com.rs2.net.packet.PacketManager;PacketManager;class;18;38;1;0;78;16;10;195;
RuneSourceDevelopment3066242;com.rs2.model.players.BankManager;BankManager;class;2;36;1;0;6;4;1;94;
RuneSourceDevelopment3066242;com.rs2.Server;Server;class;4;32;1;0;17;10;9;222;
RuneSourceDevelopment3066242;com.rs2.model.content.skills.BoneBurying;BoneBurying;class;5;8;1;0;0;2;4;47;
RuneSourceDevelopment3066242;com.rs2.model.content.dialogue.Dialogue;Dialogue;class;4;57;1;0;0;37;7;363;
RuneSourceDevelopment3066242;com.rs2.model.content.skills.Runecrafting;Runecrafting;class;4;58;1;0;0;9;7;198;
RuneSourceDevelopment3066242;com.rs2.model.players.Equipment;Equipment;class;5;107;1;0;741;43;37;400;
RuneSourceDevelopment3066242;com.rs2.model.content.combat.Combat;Combat;class;4;95;1;0;76;16;2;253;
RuneSourceDevelopment3066242;com.rs2.model.players.PlayerUpdating;PlayerUpdating;class;4;112;1;0;55;11;0;473;
RuneSourceDevelopment3066242;com.rs2.HostGateway;HostGateway;class;0;10;1;0;0;2;2;70;
RuneSourceDevelopment3066242;com.rs2.util.Misc;Misc;class;4;77;4;0;91;15;5;271;
RuneSourceDevelopment3066242;com.rs2.model.content.Teleportation;Teleportation;class;3;17;1;0;0;3;3;55;
RuneSourceDevelopment3066242;com.rs2.model.players.ShopManager;ShopManager;class;4;59;1;0;181;23;9;196;
RuneSourceDevelopment3066242;com.rs2.model.players.TradeManager;TradeManager;class;2;105;1;0;66;12;0;309;
RuneSourceDevelopment3066242;com.rs2.util.Areas;Areas;class;1;2;1;0;1;2;0;19;
RuneSourceDevelopment3066242;com.rs2.model.content.Prayer;Prayer;class;2;87;1;0;0;8;3;310;
RuneSourceDevelopment3066242;com.rs2.net.packet.packets.CloseInterfacePacketHandler;CloseInterfacePacketHandler;class;3;3;1;0;0;1;1;17;
RuneSourceDevelopment3066242;com.rs2.net.packet.packets.NpcPacketHandler;NpcPacketHandler;class;4;9;1;0;10;5;4;69;
RuneSourceDevelopment3066242;com.rs2.model.content.skills.Herblore;Herblore;class;4;15;1;0;0;6;7;104;
RuneSourceDevelopment3066242;com.rs2.model.npcs.Npc;Npc;class;7;64;2;0;701;42;18;265;
RuneSourceDevelopment3066242;com.rs2.model.players.GlobalObject;GlobalObject;class;1;9;1;0;12;9;4;38;
RuneSourceDevelopment3066242;com.rs2.model.content.Following;Following;class;4;73;1;0;32;9;4;190;
RuneSourceDevelopment3066242;com.rs2.model.players.PrivateMessaging;PrivateMessaging;class;3;54;1;0;46;12;2;119;
RuneSourceDevelopment3066242;com.rs2.net.ActionSender;ActionSender;class;9;54;1;0;0;38;1;384;
RuneSourceDevelopment3066242;com.rs2.model.content.randomevents.RandomEvent;RandomEvent;class;4;1;1;0;0;1;1;25;
RuneSourceDevelopment3066242;com.rs2.model.World;World;class;6;71;1;0;50;17;4;251;
RuneSourceDevelopment3066242;com.rs2.util.XStreamUtil;XStreamUtil;class;11;4;1;0;3;3;2;60;
