file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Slang1074850;glossa.interpreter.InterpreterListener;InterpreterListener;interface;2;8;1;0;28;8;0;39;
Slang1074850;glossaeditor.export.htmlgenerator.node.Switchable;Switchable;interface;1;1;1;0;0;1;0;6;
Slang1074850;jsyntaxpane.components.Markers;Markers;class;4;23;3;0;15;6;1;127;
Slang1074850;jsyntaxpane.SyntaxStyle;SyntaxStyle;class;0;23;1;0;8;13;2;121;
Slang1074850;documentcontainer.DocumentContainer;DocumentContainer;interface;0;10;1;0;45;10;0;32;
Slang1074850;jsyntaxpane.actions.UndoAction;UndoAction;class;2;4;4;0;1;2;0;34;
Slang1074850;glossaeditor.export.htmlgenerator.node.TBrackets;TBrackets;class;4;4;3;0;6;4;0;26;
Slang1074850;glossa.ui.gui.io.InterpreterMessagesListCellRenderer;InterpreterMessagesListCellRenderer;class;3;11;5;0;1;3;9;114;
Slang1074850;glossaeditor.export.htmlgenerator.node.TAssign;TAssign;class;4;5;3;0;10;5;0;31;
Slang1074850;documentcontainer.DocumentIOManager;DocumentIOManager;class;3;84;1;0;118;24;11;265;
Slang1074850;glossa.ui.gui.stackrenderer.JGlossaStackPanel;JGlossaStackPanel;class;1;3;5;0;3;3;2;68;
Slang1074850;jsyntaxpane.actions.gui.ShowAbbsDialog;ShowAbbsDialog;class;1;9;6;0;10;4;6;117;
Slang1074850;glossa.ui.gui.io.JTypeHereTextField;JTypeHereTextField;class;0;8;6;0;3;4;1;80;
Slang1074850;glossa.statictypeanalysis.scopetable.symbols.Array;Array;class;2;5;2;0;0;5;1;59;
Slang1074850;glossa.ui.gui.stackrenderer.components.JRoundedPanel;JRoundedPanel;class;0;4;5;0;4;4;1;44;
Slang1074850;glossaeditor.integration.SystemInfo;SystemInfo;class;1;7;1;0;0;7;2;50;
Slang1074850;jsyntaxpane.util.StringUtils;StringUtils;class;0;7;1;0;1;2;0;55;
Slang1074850;glossa.interpreter.Interpreter;Interpreter;class;17;71;1;0;107;19;20;276;
Slang1074850;glossaeditor.export.htmlgenerator.node.TLt;TLt;class;4;5;3;0;10;5;0;31;
Slang1074850;jsyntaxpane.actions.ReflectCompletionAction;ReflectCompletionAction;class;4;6;4;0;1;2;1;44;
Slang1074850;jsyntaxpane.components.SyntaxComponent;SyntaxComponent;interface;1;3;1;0;3;3;0;48;
Slang1074850;glossaeditor.ui.dialogs.SlangAboutBox;SlangAboutBox;class;4;14;6;0;15;5;4;123;
Slang1074850;jsyntaxpane.actions.MapCompletionAction;MapCompletionAction;class;3;9;4;0;1;3;1;51;
Slang1074850;glossa.ui.gui.stackrenderer.components.JFunctionRenderer;JFunctionRenderer;class;10;8;6;0;1;3;12;197;
Slang1074850;glossaeditor.ui.dialogs.ExportToHTMLResultsDialog;ExportToHTMLResultsDialog;class;3;18;6;0;74;9;6;180;
Slang1074850;jsyntaxpane.JavaRegexKit;JavaRegexKit;class;2;1;4;0;0;1;0;25;
Slang1074850;glossaeditor.export.htmlgenerator.node.Switch;Switch;interface;0;0;1;0;0;0;0;6;
Slang1074850;glossa.interpreter.core.ASTInterpreter;ASTInterpreter;class;39;604;8;0;1147;58;383;7183;
Slang1074850;glossa.interpreter.symboltable.symbols.RuntimeArrayListener;RuntimeArrayListener;interface;0;1;1;0;0;1;0;24;
Slang1074850;jsyntaxpane.actions.GotoLineAction;GotoLineAction;class;2;2;4;0;1;2;0;31;
Slang1074850;glossaeditor.export.htmlgenerator.node.EOF;EOF;class;4;4;3;0;6;4;0;26;
Slang1074850;glossa.interpreter.symboltable.ProcedureSymbolTable;ProcedureSymbolTable;class;6;12;3;0;3;3;0;68;
Slang1074850;jsyntaxpane.TokenConstants;TokenConstants;class;0;0;1;0;0;0;96;121;
Slang1074850;glossa.messages.ErrorMessage;ErrorMessage;class;1;1;2;0;0;1;0;34;
Slang1074850;glossaeditor.ui.filefilters.GlossaFileFilter;GlossaFileFilter;class;0;7;2;0;3;3;0;43;
Slang1074850;jsyntaxpane.actions.DocumentSearchData;DocumentSearchData;class;4;58;1;0;87;14;5;244;
Slang1074850;glossa.ui.gui.stackrenderer.StackRenderer;StackRenderer;class;9;19;5;0;16;9;1;94;
Slang1074850;glossaeditor.ui.components.misc.JSearchTextField;JSearchTextField;class;1;8;7;0;3;4;1;72;
Slang1074850;glossaeditor.ui.dialogs.SplashDialog;SplashDialog;class;1;4;6;0;1;3;2;67;
Slang1074850;glossaeditor.preferences.ApplicationPreferencesListener;ApplicationPreferencesListener;interface;0;4;1;0;6;4;0;27;
