file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
UmlGeneratorTool21963306;com.uml.generator.componentDiagram.models.ComponentGroupModel;ComponentGroupModel;class;2;7;2;0;0;5;4;48;
UmlGeneratorTool21963306;com.uml.generator.componentDiagram.models.ComponentModel;ComponentModel;class;3;9;2;0;0;4;6;65;
UmlGeneratorTool21963306;com.uml.generator.jpa.models.JpaEntityType;JpaEntityType;enum;0;0;1;0;0;0;0;13;
UmlGeneratorTool21963306;com.uml.generator.componentDiagram.models.ComponentDiagramModel;ComponentDiagramModel;class;3;16;2;0;0;4;2;72;
UmlGeneratorTool21963306;com.uml.generator.spring.models.DependencyType;DependencyType;enum;0;0;1;0;0;0;0;13;
UmlGeneratorTool21963306;com.uml.generator.UmlOptions;UmlOptions;class;3;0;1;0;0;0;7;21;
UmlGeneratorTool21963306;umlGenerator.windows.GenerateComponentDiagramOptionsDialog;GenerateComponentDiagramOptionsDialog;class;12;6;2;0;7;6;6;82;
UmlGeneratorTool21963306;com.uml.generator.classDiagram.ClassDiagramGenerator;ClassDiagramGenerator;class;6;45;1;0;3;3;1;141;
UmlGeneratorTool21963306;com.uml.generator.spring.models.SpringClassType;SpringClassType;enum;0;0;1;0;0;0;0;16;
UmlGeneratorTool21963306;umlGenerator.MultipleProjectAction;MultipleProjectAction;class;22;39;1;0;89;12;2;253;
UmlGeneratorTool21963306;com.uml.generator.classDiagram.models.ClassModel;ClassModel;class;6;28;2;2;29;10;7;99;
UmlGeneratorTool21963306;com.uml.generator.models.UmlModel;UmlModel;class;0;1;1;1;0;1;14;24;
UmlGeneratorTool21963306;umlGenerator.actions.GenerateClassDiagramAction;GenerateClassDiagramAction;class;12;9;2;0;4;2;1;119;
UmlGeneratorTool21963306;com.uml.generator.classDiagram.models.ClassDiagramModel;ClassDiagramModel;class;3;5;2;0;0;3;2;40;
UmlGeneratorTool21963306;com.uml.generator.classDiagram.models.PackageModel;PackageModel;class;3;4;2;0;0;3;2;34;
UmlGeneratorTool21963306;com.uml.generator.jpa.JpaMappingDiagramGenerator;JpaMappingDiagramGenerator;class;13;58;1;0;28;8;0;200;
UmlGeneratorTool21963306;com.uml.generator.jpa.models.JpaClassModel;JpaClassModel;class;4;25;3;0;24;9;13;115;
UmlGeneratorTool21963306;umlGenerator.Activator;Activator;class;4;5;2;0;4;5;2;51;
UmlGeneratorTool21963306;com.uml.generator.jpa.models.JpaDependencyDiagramModel;JpaDependencyDiagramModel;class;2;4;2;0;0;3;1;34;
UmlGeneratorTool21963306;umlGenerator.actions.GenerateJpaMappingDiagramAction;GenerateJpaMappingDiagramAction;class;10;8;2;0;1;1;1;98;
UmlGeneratorTool21963306;com.uml.generator.classDiagram.models.ClassType;ClassType;enum;2;2;1;0;1;2;1;23;
UmlGeneratorTool21963306;com.uml.generator.spring.SpringDependencyDiagramGenerator;SpringDependencyDiagramGenerator;class;13;91;1;0;36;9;1;268;
UmlGeneratorTool21963306;com.uml.generator.UmlGenerator;UmlGenerator;class;5;6;1;0;13;6;1;203;
UmlGeneratorTool21963306;com.uml.generator.classDiagram.models.MethodModel;MethodModel;class;2;10;2;0;0;3;2;45;
UmlGeneratorTool21963306;com.uml.generator.classDiagram.models.ModifierType;ModifierType;enum;0;0;1;0;0;0;0;8;
UmlGeneratorTool21963306;com.uml.generator.spring.models.SpringDependencyDiagramModel;SpringDependencyDiagramModel;class;2;3;2;0;0;2;1;31;
UmlGeneratorTool21963306;umlGenerator.actions.GenerateComponentDiagramAction;GenerateComponentDiagramAction;class;8;6;2;0;1;1;1;80;
UmlGeneratorTool21963306;com.uml.generator.jpa.models.JpaDependencyType;JpaDependencyType;enum;0;0;1;0;0;0;0;14;
UmlGeneratorTool21963306;umlGenerator.actions.GenerateSpringClassDiagramAction;GenerateSpringClassDiagramAction;class;10;8;2;0;1;1;1;103;
UmlGeneratorTool21963306;com.uml.generator.classDiagram.models.FieldModel;FieldModel;class;2;10;2;0;0;3;3;49;
UmlGeneratorTool21963306;com.uml.generator.componentDiagram.ComponentDiagramGenerator;ComponentDiagramGenerator;class;6;34;1;0;15;4;0;122;
UmlGeneratorTool21963306;umlGenerator.windows.GenerateUMLOptionsDialog;GenerateUMLOptionsDialog;class;14;10;2;0;29;10;14;123;
UmlGeneratorTool21963306;com.uml.generator.spring.models.SpringClassModel;SpringClassModel;class;4;13;3;0;2;4;9;82;
UmlGeneratorTool21963306;com.uml.generator.componentDiagram.models.ComponentType;ComponentType;enum;0;0;1;0;0;0;0;13;
UmlGeneratorTool21963306;com.uml.generator.UmlGeneratorUtility;UmlGeneratorUtility;class;0;20;1;0;6;2;0;67;
