file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.RequiredFieldValidator;RequiredFieldValidator;class;12;31;1;0;54;12;3;198;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.filters.OrFilterTerm;OrFilterTerm;class;2;2;2;0;1;2;0;18;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.Attachments;Attachments;class;5;26;1;0;0;5;2;90;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.services.IQueryBuilder;IQueryBuilder;interface;2;1;1;0;0;1;0;5;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.unit.tests.TextBuilderTests;TextBuilderTests;class;1;7;1;0;21;7;0;52;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.unit.tests.BitTests;BitTests;class;3;24;1;0;276;24;0;140;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.legacy.integration.tests.ConnectorsTests;ConnectorsTests;class;7;14;1;0;73;5;2;78;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.unit.tests.ResponseConnector;ResponseConnector;class;12;40;2;1;61;12;4;159;
VersionOne.SDK.Java.APIClient6550935;com.versionone.Oid;Oid;class;5;61;1;0;75;19;6;228;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.services.OrderBy;OrderBy;class;3;20;1;0;18;13;3;102;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.ModelsAndServices;ModelsAndServices;class;8;20;1;0;0;8;7;60;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.legacy.integration.tests.UrlsTests;UrlsTests;class;5;6;1;0;0;6;2;38;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.integration.tests.QueryAPI;QueryAPI;class;6;23;1;0;0;11;1;217;
VersionOne.SDK.Java.APIClient6550935;com.versionone.utils.Delegator;Delegator;class;4;66;4;0;240;24;11;356;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.Localizer;Localizer;class;2;11;1;0;0;3;2;65;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.MimeType;MimeType;class;1;7;1;0;0;1;3;35;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.unit.tests.XmlApiWriterTests;XmlApiWriterTests;class;7;7;1;0;3;3;0;60;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.unit.tests.DBNullTests;DBNullTests;class;1;5;1;0;10;5;0;31;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.Pair;Pair;class;2;19;2;0;18;9;2;51;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.unit.tests.RealTests;RealTests;class;3;19;1;0;171;19;0;69;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.interfaces.IAssetType;IAssetType;interface;3;10;1;0;45;10;0;70;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.unit.tests.APIClientUnitTestSuite;APIClientUnitTestSuite;class;24;0;1;0;0;0;0;30;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.interfaces.IOperation;IOperation;interface;2;4;1;0;6;4;0;33;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.exceptions.NotImplementedException;NotImplementedException;class;0;1;4;0;0;1;1;10;
VersionOne.SDK.Java.APIClient6550935;com.versionone.utils.Version;Version;class;1;25;1;0;0;9;4;70;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.integration.tests.Unused;Unused;class;0;0;1;0;0;0;0;163;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.Asset;Asset;class;9;37;1;0;132;20;5;208;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.services.QueryResult;QueryResult;class;2;5;1;0;0;5;3;54;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.integration.tests.Configuration;Configuration;class;4;2;1;0;0;2;1;25;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.CookieKey;CookieKey;class;4;66;3;0;248;25;15;245;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.unit.tests.ServicesConstructorWhenPreLoadMetaIsTrue;ServicesConstructorWhenPreLoadMetaIsTrue;class;11;7;1;0;0;7;5;59;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.Credentials;Credentials;class;3;5;1;0;0;5;1;26;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.unit.tests.DBTests;DBTests;class;2;1;1;0;0;1;0;12;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.interfaces.IUrls;IUrls;interface;0;5;1;0;10;5;0;12;
VersionOne.SDK.Java.APIClient6550935;com.versionone.sdk.unit.tests.LocalizerTests;LocalizerTests;class;2;3;2;0;3;3;0;20;
VersionOne.SDK.Java.APIClient6550935;com.versionone.apiclient.APIConfiguration;APIConfiguration;class;2;20;1;0;100;20;1;50;
