file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
appverse-server43362550;org.appverse.web.framework.backend.batch.model.integration.BatchNodeDTO;BatchNodeDTO;class;8;19;2;0;125;19;10;134
appverse-server43362550;org.appverse.web.framework.backend.rest.managers.impl.live.RestCachingManagerImpl;RestCachingManagerImpl;class;20;52;1;0;3;3;2;193
appverse-server43362550;org.test.app.web.framework.backend.rest.SamplePostTest;SamplePostTest;class;20;8;2;0;22;8;3;133
appverse-server43362550;org.appverse.web.framework.backend.batch.helpers.DefaultJobParametersIncrementer;DefaultJobParametersIncrementer;class;3;1;1;0;0;1;0;34
appverse-server43362550;org.appverse.web.framework.backend.ws.handlers.BaseHandler;BaseHandler;class;1;5;1;2;10;5;1;69
appverse-server43362550;org.appverse.web.framework.backend.core.persistence.jpa.repository.JPAWithNativeApiAccessRepository;JPAWithNativeApiAccessRepository;interface;4;1;1;0;0;1;0;35
appverse-server43362550;org.appverse.web.framework.backend.core.enterprise.aop.managers.ProfileManager;ProfileManager;interface;1;1;1;0;0;1;0;25
appverse-server43362550;org.appverse.web.framework.backend.api.helpers.json.JSONHtmlXssSerializer;JSONHtmlXssSerializer;class;6;8;2;0;6;4;0;69
appverse-server43362550;test.app.web.framework.backend.ecm.services.integration.DocumentRepository;DocumentRepository;interface;2;0;1;0;0;0;0;30
appverse-server43362550;org.appverse.web.framework.backend.core.services.AbstractBusinessService;AbstractBusinessService;class;1;0;2;0;0;0;0;27
appverse-server43362550;org.appverse.web.framework.backend.api.helpers.json.JSONStringXSSDeserializer;JSONStringXSSDeserializer;class;7;5;2;0;3;3;1;78
appverse-server43362550;org.appverse.web.framework.backend.frontfacade.gxt.controllers.GWTMaxFileSizeExceedException;GWTMaxFileSizeExceedException;class;1;4;7;0;6;4;1;37
appverse-server43362550;org.test.app.web.framework.backend.messaging.services.integration.MyTransactedRepository;MyTransactedRepository;interface;2;0;1;0;0;0;0;33
appverse-server43362550;org.appverse.web.framework.backend.frontfacade.rest.MvcExceptionHandlerTests;MvcExceptionHandlerTests;class;13;6;2;0;15;6;0;98
appverse-server43362550;org.appverse.web.framework.backend.ecm.cmis.factories.CmisSessionFactory;CmisSessionFactory;class;5;14;1;0;0;10;2;81
appverse-server43362550;org.appverse.web.framework.backend.frontfacade.json.controllers.EnumSerializer;EnumSerializer;class;5;1;2;0;0;1;0;35
appverse-server43362550;org.appverse.web.framework.backend.core.enterprise.log.test.AutowiredLoggerTests;AutowiredLoggerTests;class;7;1;1;0;0;1;1;19
appverse-server43362550;org.appverse.web.framework.backend.rest.model.integration.IntegrationPaginatedDataFilter;IntegrationPaginatedDataFilter;class;1;6;4;0;11;6;3;44
appverse-server43362550;org.appverse.web.framework.backend.frontfacade.websocket.services.business.TradeServiceImpl;TradeServiceImpl;class;12;10;1;0;0;4;7;86
appverse-server43362550;org.appverse.web.framework.backend.frontfacade.gxt.controllers.FileUploadController;FileUploadController;class;19;18;1;0;0;3;3;153
appverse-server43362550;org.appverse.web.framework.backend.ws.handlers.EnvelopeLoggingSOAPHandler;EnvelopeLoggingSOAPHandler;class;3;7;2;0;6;4;2;88
appverse-server43362550;org.appverse.web.framework.backend.frontfacade.rest.authentication.JWSJerseyFilter;JWSJerseyFilter;class;22;17;2;0;0;5;6;152
appverse-server43362550;org.appverse.web.framework.backend.ecm.cmis.model.integration.AbstractCMISDocumentIntegrationBean;AbstractCMISDocumentIntegrationBean;class;1;0;4;0;0;0;0;29
appverse-server43362550;org.appverse.web.framework.backend.ecm.alfresco.model.integration.repository.links.PermissionsDTO;PermissionsDTO;class;3;6;3;0;9;6;3;51
appverse-server43362550;org.appverse.web.framework.backend.frontfacade.websocket.model.PortfolioPosition;PortfolioPosition;class;1;14;1;0;19;14;5;78
appverse-server43362550;org.appverse.web.framework.backend.core.enterprise.converters.ListDiffersSizeException;ListDiffersSizeException;class;1;5;6;0;10;5;1;41
appverse-server43362550;org.appverse.web.framework.backend.ecm.cmis.services.integration.ICMISSimpleNonVersionedDocumentService;ICMISSimpleNonVersionedDocumentService;interface;4;6;1;0;15;6;0;16
appverse-server43362550;org.appverse.web.framework.backend.core.enterprise.aop.autoconfigure.AOPExceptionManagerAutoConfiguration;AOPExceptionManagerAutoConfiguration;class;4;2;1;0;1;2;0;47
appverse-server43362550;org.appverse.web.framework.backend.frontfacade.gxt.model.presentation.GWTPresentationDataFilter;GWTPresentationDataFilter;class;2;1;2;0;0;1;1;30
appverse-server43362550;org.appverse.web.framework.backend.batch.services.integration.BatchNodeRepository;BatchNodeRepository;interface;2;0;1;0;0;0;0;26
appverse-server43362550;org.appverse.web.framework.backend.rest.factories.WebTargetFactory;WebTargetFactory;class;9;17;1;0;10;5;0;121
appverse-server43362550;org.appverse.web.framework.backend.frontfacade.gxt.converters.p2b.GWTDataFilterP2BBeanConverter;GWTDataFilterP2BBeanConverter;class;5;1;2;0;0;1;0;35
