file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
cdk-examples9979841;com.cloudera.cdk.examples.data.CreateProductDatasetPojo;CreateProductDatasetPojo;class;8;3;2;0;1;2;0;59
cdk-examples9979841;com.cloudera.cdk.examples.data.ReadProductDatasetPojo;ReadProductDatasetPojo;class;6;3;2;0;1;2;0;50
cdk-examples9979841;com.cloudera.cdk.examples.data.DeleteProductDataset;DeleteProductDataset;class;4;3;2;0;1;2;0;38
cdk-examples9979841;com.cloudera.cdk.examples.data.ReadUserDatasetGeneric;ReadUserDatasetGeneric;class;6;3;2;0;1;2;0;51
cdk-examples9979841;com.cloudera.cdk.examples.logging.DeleteDataset;DeleteDataset;class;4;3;2;0;1;2;0;38
cdk-examples9979841;com.cloudera.cdk.examples.logging.App;App;class;8;3;2;0;1;2;0;51
cdk-examples9979841;com.cloudera.cdk.examples.data.DescribeDatasets;DescribeDatasets;class;6;2;2;0;1;2;0;55
cdk-examples9979841;com.cloudera.cdk.examples.data.CreateHCatalogUserDatasetGeneric;CreateHCatalogUserDatasetGeneric;class;9;3;2;0;1;2;0;64
cdk-examples9979841;com.cloudera.cdk.examples.logging.CreateDataset;CreateDataset;class;5;2;2;0;1;2;0;42
cdk-examples9979841;com.cloudera.cdk.examples.data.WriteUserDataset;WriteUserDataset;class;6;3;2;0;3;3;0;52
cdk-examples9979841;com.cloudera.cdk.examples.staging.GenerateSimpleLogs;GenerateSimpleLogs;class;8;3;2;0;1;2;4;81
cdk-examples9979841;com.cloudera.cdk.examples.data.ReadMovies;ReadMovies;class;6;3;2;0;1;2;0;34
cdk-examples9979841;com.cloudera.cdk.examples.demo.DebugJavaMain;DebugJavaMain;class;0;2;1;0;0;1;0;25
cdk-examples9979841;com.cloudera.cdk.examples.demo.LoggingServlet;LoggingServlet;class;6;3;2;0;0;1;1;54
cdk-examples9979841;com.cloudera.cdk.examples.data.DeleteHCatalogUserDataset;DeleteHCatalogUserDataset;class;4;3;2;0;1;2;0;38
cdk-examples9979841;com.cloudera.cdk.examples.data.CreateUserDatasetGenericParquet;CreateUserDatasetGenericParquet;class;9;3;2;0;1;2;0;67
cdk-examples9979841;com.cloudera.cdk.examples.data.DeleteUserDataset;DeleteUserDataset;class;4;3;2;0;1;2;0;38
cdk-examples9979841;com.cloudera.cdk.examples.demo.CreateSessions;CreateSessions;class;21;15;4;0;15;6;0;129
cdk-examples9979841;com.cloudera.cdk.examples.logging.webapp.LoggingServlet;LoggingServlet;class;9;4;2;0;0;2;3;47
cdk-examples9979841;com.cloudera.cdk.examples.data.CreateUserDatasetGenericPartitioned;CreateUserDatasetGenericPartitioned;class;10;3;2;0;1;2;0;69
cdk-examples9979841;com.cloudera.cdk.examples.data.Hello;Hello;class;9;8;2;0;1;7;1;69
cdk-examples9979841;com.cloudera.cdk.examples.staging.StagingToPersistentSerial;StagingToPersistentSerial;class;13;4;2;0;3;3;2;84
cdk-examples9979841;com.cloudera.cdk.examples.logging.ReadDataset;ReadDataset;class;6;3;2;0;1;2;0;51
cdk-examples9979841;com.cloudera.cdk.examples.data.CreateUserDatasetGeneric;CreateUserDatasetGeneric;class;9;3;2;0;1;2;0;64
cdk-examples9979841;com.cloudera.cdk.examples.staging.CreateStagedDataset;CreateStagedDataset;class;6;2;2;0;1;2;0;56
cdk-examples9979841;com.cloudera.cdk.examples.data.Product;Product;class;0;5;1;0;0;5;2;43
cdk-examples9979841;com.cloudera.cdk.examples.data.ReadUserDatasetGenericOnePartition;ReadUserDatasetGenericOnePartition;class;8;3;2;0;1;2;0;59
cdk-examples9979841;com.cloudera.cdk.examples.data.ReadUserDataset;ReadUserDataset;class;7;3;2;0;1;2;0;55
cdk-examples9979841;com.cloudera.cdk.examples.data.ReadHCatalogUserDatasetGeneric;ReadHCatalogUserDatasetGeneric;class;6;3;2;0;1;2;0;51
