file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
classpath924934;javax.security.auth.Subject;Subject;class;1;98;3;0;237;30;12;492
classpath924934;org.objectweb.asm.optimizer.MethodConstantsCollector;MethodConstantsCollector;class;6;21;2;0;0;13;1;152
classpath924934;gnu.CORBA.Poa.gnuThreadPolicy;gnuThreadPolicy;class;4;2;3;0;1;2;1;67
classpath924934;gnu.classpath.jdwp.exception.VmDeadException;VmDeadException;class;1;1;2;0;0;1;0;46
classpath924934;javax.naming.Context;Context;interface;0;29;1;0;406;29;15;438
classpath924934;java.util.zip.ZipOutputStream;ZipOutputStream;class;1;89;4;0;33;11;12;387
classpath924934;org.omg.CosNaming.NamingContextPackage.NotFoundReasonHolder;NotFoundReasonHolder;class;5;5;1;0;4;5;1;85
classpath924934;gnu.java.beans.encoder.GenericScannerState;GenericScannerState;class;19;58;2;0;0;20;3;202
classpath924934;org.omg.CosNaming.NamingContextPackage.NotFound;NotFound;class;4;3;4;0;1;3;3;86
classpath924934;java.io.FilterReader;FilterReader;class;1;9;2;1;0;9;1;164
classpath924934;org.omg.IOP.TaggedProfileHelper;TaggedProfileHelper;class;13;14;1;0;15;6;0;164
classpath924934;gnu.java.util.regex.RETokenAny;RETokenAny;class;4;17;2;0;26;8;2;96
classpath924934;org.omg.CORBA.DoubleSeqHolder;DoubleSeqHolder;class;7;5;1;0;0;5;2;109
classpath924934;gnu.classpath.jdwp.event.filters.StepFilter;StepFilter;class;4;7;1;0;4;5;3;110
classpath924934;javax.lang.model.type.DeclaredType;DeclaredType;interface;0;3;1;0;3;3;0;87
classpath924934;gnu.java.awt.font.opentype.truetype.Fixed;Fixed;class;1;21;1;0;136;17;1;139
classpath924934;org.w3c.dom.Text;Text;interface;2;4;1;0;6;4;0;120
classpath924934;gnu.java.awt.dnd.GtkMouseDragGestureRecognizer;GtkMouseDragGestureRecognizer;class;0;37;3;0;91;14;0;143
classpath924934;gnu.javax.sound.midi.alsa.AlsaInputPortDevice;AlsaInputPortDevice;class;3;9;2;0;36;9;0;109
classpath924934;gnu.javax.crypto.jce.cipher.TwofishSpi;TwofishSpi;class;1;1;3;0;0;1;0;44
classpath924934;java.net.Socket;Socket;class;0;207;1;2;1195;51;6;1155
classpath924934;gnu.classpath.jdwp.exception.JdwpException;JdwpException;class;0;3;3;4;0;3;1;74
classpath924934;ClassForNameTest;ClassForNameTest;class;0;3;1;0;0;1;0;22
classpath924934;gnu.java.awt.font.opentype.Scaler;Scaler;class;2;5;1;1;10;5;0;187
classpath924934;gnu.java.awt.peer.qt.QtMenuItemPeer;QtMenuItemPeer;class;2;12;3;0;66;12;0;79
classpath924934;gnu.java.security.util.SimpleList;SimpleList;class;1;16;3;0;0;9;1;136
classpath924934;gnu.xml.xpath.SubstringAfterFunction;SubstringAfterFunction;class;3;7;2;0;0;6;2;81
classpath924934;javax.annotation.processing.Filer;Filer;interface;0;4;1;0;6;4;0;199
classpath924934;gnu.java.beans.encoder.elements.NullObject;NullObject;class;2;2;2;0;1;2;0;48
classpath924934;gnu.javax.print.ipp.IppUtilities;IppUtilities;class;38;41;1;0;43;10;6;508
classpath924934;gnu.classpath.jdwp.event.MethodEntryEvent;MethodEntryEvent;class;4;11;2;0;0;3;3;99
classpath924934;gnu.javax.crypto.jce.GnuCrypto;GnuCrypto;class;182;4;5;0;6;3;0;553
classpath924934;gnu.java.awt.peer.gtk.GdkPixbufDecoder;GdkPixbufDecoder;class;10;139;10;0;1620;60;23;672
classpath924934;gnu.classpath.examples.swing.BrowserEditorKit;BrowserEditorKit;class;0;1;5;0;0;1;0;46
classpath924934;javax.activation.MailcapCommandMap;MailcapCommandMap;class;2;183;2;0;101;19;9;762
classpath924934;java.net.InetAddress;InetAddress;class;1;73;1;0;250;28;7;590
classpath924934;java.rmi.server.RMIServerSocketFactory;RMIServerSocketFactory;interface;0;1;1;0;0;1;0;37
classpath924934;gnu.classpath.examples.management.TestBeans;TestBeans;class;0;2;1;0;0;1;0;31
classpath924934;gnu.xml.dom.html2.DomHTMLHRElement;DomHTMLHRElement;class;3;9;5;0;36;9;0;79
classpath924934;org.w3c.dom.html2.HTMLModElement;HTMLModElement;interface;1;4;1;0;6;4;0;39
classpath924934;gnu.classpath.examples.print.Demo;Demo;class;1;47;6;0;6;5;11;336
classpath924934;java.awt.PaintContext;PaintContext;interface;0;3;1;0;3;3;0;64
classpath924934;org.objectweb.asm.tree.MethodInsnNode;MethodInsnNode;class;2;4;2;0;4;4;3;89
classpath924934;gnu.java.beans.decoder.NullHandler;NullHandler;class;3;4;3;0;1;2;0;51
classpath924934;gnu.javax.net.ssl.SessionStoreException;SessionStoreException;class;0;3;5;0;3;3;0;47
classpath924934;gnu.classpath.Pointer32;Pointer32;class;1;1;2;0;0;1;1;43
classpath924934;gnu.classpath.tools.appletviewer.StandaloneAppletViewer;StandaloneAppletViewer;class;4;12;2;0;0;4;2;125
classpath924934;gnu.classpath.tools.appletviewer.CommonAppletContext;CommonAppletContext;class;0;12;1;2;24;9;2;111
classpath924934;javax.sound.midi.spi.MidiFileWriter;MidiFileWriter;class;1;12;1;0;15;6;0;127
classpath924934;org.omg.CosNaming._NamingContextStub;_NamingContextStub;class;15;51;2;0;105;15;1;418
classpath924934;javax.swing.event.ListSelectionListener;ListSelectionListener;interface;0;1;1;0;0;1;0;49
classpath924934;org.omg.PortableServer.THREAD_POLICY_ID;THREAD_POLICY_ID;interface;0;0;1;0;0;0;1;43
classpath924934;java.beans.PropertyChangeEvent;PropertyChangeEvent;class;0;7;1;0;1;7;5;168
classpath924934;gnu.classpath.tools.javah.PackageWrapper;PackageWrapper;class;1;1;1;0;0;1;2;43
classpath924934;org.w3c.dom.html2.HTMLPreElement;HTMLPreElement;interface;1;2;1;0;1;2;0;28
