file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
closurefx-builder15201897;com.digiarea.closure.model.OptimizationType;OptimizationType;enum;6;6;1;0;10;5;0;72
closurefx-builder15201897;com.digiarea.closure.model.Output;Output;class;9;27;2;0;54;13;2;87
closurefx-builder15201897;com.digiarea.closure.model.bind.CustomBinder;CustomBinder;class;14;92;1;0;946;18;0;338
closurefx-builder15201897;com.digiarea.closure.model.GssUnrecognizeProperty;GssUnrecognizeProperty;class;9;19;2;0;33;10;1;65
closurefx-builder15201897;com.digiarea.closure.model.GssUnrecognizeProperties;GssUnrecognizeProperties;class;10;39;2;0;0;12;1;112
closurefx-builder15201897;com.digiarea.closure.model.controller.GSSDefinesSectionController;GSSDefinesSectionController;class;31;32;3;0;80;13;2;241
closurefx-builder15201897;com.digiarea.closure.model.controller.GSSSourceSectionController;GSSSourceSectionController;class;28;24;2;0;28;9;3;211
closurefx-builder15201897;com.digiarea.closurefx.DocumentManager;DocumentManager;class;3;30;1;0;0;12;1;91
closurefx-builder15201897;com.digiarea.closure.model.JsDoc;JsDoc;class;9;19;2;0;33;10;1;65
closurefx-builder15201897;com.digiarea.closure.model.controller.GSSFormattingSectionController;GSSFormattingSectionController;class;22;8;2;0;0;8;6;199
closurefx-builder15201897;com.digiarea.closurefx.editors.KomodoEditor;KomodoEditor;class;2;26;1;0;47;11;8;79
closurefx-builder15201897;com.digiarea.closure.model.controller.dialogs.StatusesDialogController;StatusesDialogController;class;14;13;2;0;17;6;4;80
closurefx-builder15201897;com.digiarea.closure.model.Warning;Warning;class;12;27;2;0;54;13;2;87
closurefx-builder15201897;com.digiarea.closure.model.Optimization;Optimization;class;12;23;2;0;54;13;2;85
closurefx-builder15201897;com.digiarea.closure.model.Check;Check;class;12;23;2;0;54;13;2;85
closurefx-builder15201897;com.digiarea.closure.preferences.model.bind.ControllerFactory;ControllerFactory;class;7;18;1;0;1;2;6;46
closurefx-builder15201897;com.digiarea.closurefx.cli.console.BasicConsole;BasicConsole;class;4;3;2;0;3;3;0;18
closurefx-builder15201897;com.digiarea.closure.preferences.model.visitor.VoidVisitorAdapter;VoidVisitorAdapter;class;12;34;1;0;55;11;0;79
closurefx-builder15201897;com.digiarea.closurefx.Timer;Timer;class;0;4;1;0;0;4;4;22
closurefx-builder15201897;com.digiarea.closure.model.controller.dialogs.DialogFactory;DialogFactory;class;20;24;1;0;66;12;0;381
closurefx-builder15201897;com.digiarea.closure.model.controller.dialogs.ExportCLIDialogController;ExportCLIDialogController;class;15;29;1;0;16;9;11;136
closurefx-builder15201897;com.digiarea.closure.preferences.model.controller.PreferencesFactory;PreferencesFactory;class;13;9;1;0;3;3;0;117
closurefx-builder15201897;com.digiarea.closure.model.controller.JSSourceMapSectionController;JSSourceMapSectionController;class;23;16;2;0;17;8;3;219
closurefx-builder15201897;com.digiarea.closure.preferences.model.controller.dialogs.AddVariableDialogController;AddVariableDialogController;class;12;29;1;0;36;11;9;153
closurefx-builder15201897;com.digiarea.closurefx.cli.compiler.JSCPrintStreamErrorManager;JSCPrintStreamErrorManager;class;7;11;3;0;36;9;0;63
closurefx-builder15201897;com.digiarea.closure.model.controller.dialogs.FolderDialogController;FolderDialogController;class;25;67;2;0;265;23;13;262
closurefx-builder15201897;com.digiarea.closurefx.build.console.ConsoleManager;ConsoleManager;class;6;14;1;3;59;9;5;70
closurefx-builder15201897;com.digiarea.closure.preferences.model.ClosureLibraries;ClosureLibraries;class;9;15;1;0;15;10;1;55
closurefx-builder15201897;com.digiarea.closure.model.ExcludeInputFilter;ExcludeInputFilter;class;10;39;2;0;0;12;1;112
closurefx-builder15201897;com.digiarea.closurefx.build.GSSService;GSSService;class;14;14;2;0;0;6;6;104
closurefx-builder15201897;com.digiarea.closure.core.IPath;IPath;interface;1;35;1;0;595;35;2;46
closurefx-builder15201897;com.digiarea.closure.model.GssRenamingType;GssRenamingType;enum;6;6;1;0;10;5;0;35
closurefx-builder15201897;com.digiarea.closure.model.visitor.VoidVisitorAdapter;VoidVisitorAdapter;class;62;235;1;2;1830;61;0;500
closurefx-builder15201897;com.digiarea.closure.preferences.model.controller.PreferencesController;PreferencesController;class;6;6;2;0;3;6;4;45
closurefx-builder15201897;com.digiarea.closure.model.LangType;LangType;enum;6;6;1;0;10;5;0;35
closurefx-builder15201897;com.digiarea.closure.preferences.model.controller.ClosurePreferencesController;ClosurePreferencesController;class;1;1;1;4;0;1;2;11
closurefx-builder15201897;com.digiarea.closure.model.validation.IMessageProvider;IMessageProvider;interface;0;2;1;0;1;2;4;49
closurefx-builder15201897;com.digiarea.closure.model.validation.IMessage;IMessage;interface;2;6;1;0;15;6;0;40
closurefx-builder15201897;com.digiarea.closure.model.bind.Checker;Checker;class;61;235;1;0;1830;61;0;586
closurefx-builder15201897;com.digiarea.closure.model.controller.GSSLintingSectionController;GSSLintingSectionController;class;39;65;4;0;329;25;6;429
closurefx-builder15201897;com.digiarea.closure.model.controller.dialogs.SaveDialogController;SaveDialogController;class;6;8;1;0;8;8;5;60
closurefx-builder15201897;com.digiarea.closure.model.visitor.GenericVisitorAdapter;GenericVisitorAdapter;class;63;235;1;0;1830;61;0;560
closurefx-builder15201897;com.digiarea.closurefx.build.console.ClosureStatus;ClosureStatus;class;2;5;2;1;0;5;3;27
closurefx-builder15201897;com.digiarea.closurefx.build.compiler.SOYBuildpathContainerResolver;SOYBuildpathContainerResolver;class;3;17;1;0;4;5;4;55
closurefx-builder15201897;com.digiarea.closure.model.controller.SOYOrderSectionController;SOYOrderSectionController;class;32;20;2;0;22;9;2;253
closurefx-builder15201897;com.digiarea.closure.model.Checks;Checks;class;10;39;2;0;0;12;1;112
closurefx-builder15201897;com.digiarea.closure.model.GssOptimizationLevel;GssOptimizationLevel;enum;6;6;1;0;10;5;0;35
closurefx-builder15201897;com.digiarea.closurefx.ClosureFXController;ClosureFXController;class;33;74;1;0;170;24;12;357
closurefx-builder15201897;com.digiarea.closure.model.SoyCodeStyle;SoyCodeStyle;enum;6;6;1;0;10;5;0;34
closurefx-builder15201897;com.digiarea.closure.model.JsPropertyMap;JsPropertyMap;class;9;27;2;0;54;13;2;87
closurefx-builder15201897;com.digiarea.closurefx.cli.compiler.JSCCompilerCli;JSCCompilerCli;class;11;47;1;0;12;9;7;289
closurefx-builder15201897;com.digiarea.closurefx.build.compiler.JSBuildpathContainerResolver;JSBuildpathContainerResolver;class;9;40;1;0;16;8;8;123
closurefx-builder15201897;com.digiarea.closure.model.GssVendor;GssVendor;enum;6;6;1;0;10;5;0;38
closurefx-builder15201897;com.digiarea.closurefx.utils.ValidationUtils;ValidationUtils;class;3;6;1;0;10;5;0;64
closurefx-builder15201897;com.digiarea.closure.model.providers.ConsoleCellFactory;ConsoleCellFactory;class;9;15;2;0;3;3;0;59
