file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
devhub-prototype8050743;nl.tudelft.ewi.dea.dao.RegistrationTokenDao;RegistrationTokenDao;interface;4;2;1;0;1;2;0;8
devhub-prototype8050743;nl.tudelft.ewi.devhub.services.continuousintegration.ContinuousIntegrationModule;ContinuousIntegrationModule;class;2;2;2;0;0;2;1;17
devhub-prototype8050743;nl.tudelft.ewi.dea.dao.PasswordResetTokenDao;PasswordResetTokenDao;interface;4;2;1;0;1;2;0;8
devhub-prototype8050743;nl.tudelft.ewi.dea.dao.UnsentMailDao;UnsentMailDao;interface;4;2;1;0;1;2;0;8
devhub-prototype8050743;nl.tudelft.ewi.dea.jaxrs.api.projects.provisioner.Provisioner;Provisioner;class;13;11;1;0;0;7;6;59
devhub-prototype8050743;nl.tudelft.ewi.dea.jaxrs.api.register.PasswordResetRequest;PasswordResetRequest;class;3;0;1;0;0;0;5;14
devhub-prototype8050743;nl.tudelft.ewi.dea.JsonConfigFile;JsonConfigFile;class;1;6;1;3;6;4;0;28
devhub-prototype8050743;nl.tudelft.ewi.dea.jaxrs.html.FeedbackPage;FeedbackPage;class;13;3;1;0;0;3;4;45
devhub-prototype8050743;nl.tudelft.ewi.dea.mail.templates.PasswordResetMailFactoryTest;PasswordResetMailFactoryTest;class;4;2;1;0;0;2;1;29
devhub-prototype8050743;nl.tudelft.ewi.dea.model.UnsentMailAsJson;UnsentMailAsJson;class;6;4;1;0;2;4;2;32
devhub-prototype8050743;nl.tudelft.ewi.devhub.services.PasswordGenerator;PasswordGenerator;class;0;2;1;0;1;2;0;10
devhub-prototype8050743;nl.tudelft.ewi.dea.dao.StatisticDaoTest;StatisticDaoTest;class;4;5;2;0;0;5;1;30
devhub-prototype8050743;nl.tudelft.ewi.dea.mail.DevHubMail;DevHubMail;interface;2;6;1;0;15;6;0;39
devhub-prototype8050743;nl.tudelft.ewi.dea.security.AddressValidator;AddressValidator;class;2;5;1;0;3;3;1;20
