file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
gatk27452807;org.broadinstitute.hellbender.utils.haplotype.HaplotypeBAMWriterUnitTest;HaplotypeBAMWriterUnitTest;class;22;27;3;0;137;19;5;275
gatk27452807;org.broadinstitute.hellbender.utils.codecs.ProgressReportingDelegatingCodec;ProgressReportingDelegatingCodec;class;10;39;1;0;0;13;2;116
gatk27452807;org.broadinstitute.hellbender.tools.walkers.vqsr.VariantRecalibrator;VariantRecalibrator;class;46;100;5;0;71;15;26;815
gatk27452807;org.broadinstitute.hellbender.tools.SplitReads;SplitReads;class;19;24;4;0;6;8;13;161
gatk27452807;org.broadinstitute.hellbender.engine.TwoPassReadsWalkerUnitTest;TwoPassReadsWalkerUnitTest;class;10;7;7;0;7;7;3;68
gatk27452807;org.broadinstitute.hellbender.tools.walkers.genotyper.IndependentSampleGenotypesModel;IndependentSampleGenotypesModel;class;12;12;1;0;4;4;6;65
gatk27452807;org.broadinstitute.hellbender.utils.clipping.ClippingRepresentation;ClippingRepresentation;enum;0;0;1;0;0;0;0;32
gatk27452807;org.broadinstitute.hellbender.utils.read.mergealignment.EarliestFragmentPrimaryAlignmentSelectionStrategy;EarliestFragmentPrimaryAlignmentSelectionStrategy;class;6;15;1;0;1;2;1;62
gatk27452807;org.broadinstitute.hellbender.utils.samples.SampleUtils;SampleUtils;class;2;5;1;0;0;1;0;34
gatk27452807;org.broadinstitute.hellbender.tools.spark.utils.HopscotchMap;HopscotchMap;class;11;8;4;0;28;8;0;38
gatk27452807;org.broadinstitute.hellbender.tools.walkers.annotator.VariantAnnotation;VariantAnnotation;class;0;2;1;0;1;2;0;15
gatk27452807;org.broadinstitute.hellbender.utils.samples.Trio;Trio;class;1;11;1;0;3;7;3;42
gatk27452807;org.broadinstitute.hellbender.tools.ClipReadsIntegrationTest;ClipReadsIntegrationTest;class;5;10;3;0;1;2;1;80
gatk27452807;org.broadinstitute.hellbender.engine.spark.datasources.ReadsSparkSourceUnitTest;ReadsSparkSourceUnitTest;class;22;24;2;0;174;20;2;209
gatk27452807;org.broadinstitute.hellbender.tools.walkers.annotator.ReadPosRankSumTest;ReadPosRankSumTest;class;4;10;4;0;6;4;0;59
gatk27452807;org.broadinstitute.hellbender.cmdline.argumentcollections.IntervalArgumentCollectionTest;IntervalArgumentCollectionTest;class;17;17;2;0;0;17;2;152
gatk27452807;org.broadinstitute.hellbender.tools.spark.BaseRecalibratorSparkShardedIntegrationTest;BaseRecalibratorSparkShardedIntegrationTest;class;10;14;3;0;58;13;6;160
gatk27452807;org.broadinstitute.hellbender.tools.picard.vcf.concordance.GenotypeConcordanceStates;GenotypeConcordanceStates;class;3;54;1;0;16;8;2;148
gatk27452807;org.broadinstitute.hellbender.tools.readersplitters.ReadGroupIdSplitter;ReadGroupIdSplitter;class;2;1;3;0;0;1;0;12
gatk27452807;org.broadinstitute.hellbender.tools.examples.ExampleLocusWalker;ExampleLocusWalker;class;11;14;4;0;0;3;3;69
gatk27452807;org.broadinstitute.hellbender.tools.spark.utils.HopscotchSetTest;HopscotchSetTest;class;6;17;2;0;4;5;3;102
gatk27452807;org.broadinstitute.hellbender.utils.read.HeaderlessSAMRecordCoordinateComparatorUnitTest;HeaderlessSAMRecordCoordinateComparatorUnitTest;class;7;3;2;0;0;1;0;54
gatk27452807;org.broadinstitute.hellbender.utils.IndexRangeUnitTest;IndexRangeUnitTest;class;4;14;2;0;78;13;0;117
gatk27452807;org.broadinstitute.hellbender.tools.picard.analysis.directed.HsMetricCollector;HsMetricCollector;class;7;13;4;0;3;3;0;84
gatk27452807;org.broadinstitute.hellbender.utils.LoggingUtils;LoggingUtils;class;10;18;1;0;19;7;2;112
gatk27452807;org.broadinstitute.hellbender.tools.exome.SampleCollectionUnitTest;SampleCollectionUnitTest;class;10;54;2;0;229;22;13;269
gatk27452807;org.broadinstitute.hellbender.tools.walkers.genotyper.HeterogeneousPloidyModelUnitTest;HeterogeneousPloidyModelUnitTest;class;6;12;1;0;15;6;1;79
gatk27452807;org.broadinstitute.hellbender.tools.picard.sam.CreateSequenceDictionary;CreateSequenceDictionary;class;18;21;3;0;6;5;5;140
gatk27452807;org.broadinstitute.hellbender.utils.collections.IntervalsSkipList;IntervalsSkipList;class;4;6;1;0;0;2;2;47
gatk27452807;org.broadinstitute.hellbender.engine.AssemblyRegionEvaluator;AssemblyRegionEvaluator;interface;4;1;1;0;0;1;0;19
gatk27452807;org.broadinstitute.hellbender.tools.ConvertHeaderlessHadoopBamShardToBamIntegrationTest;ConvertHeaderlessHadoopBamShardToBamIntegrationTest;class;3;2;3;0;0;1;0;29
gatk27452807;org.broadinstitute.hellbender.engine.FeatureSupportIntegrationTest;FeatureSupportIntegrationTest;class;6;6;3;0;0;6;1;75
gatk27452807;org.broadinstitute.hellbender.tools.picard.analysis.directed.CountingPairedFilter;CountingPairedFilter;class;21;34;7;0;39;11;35;268
gatk27452807;org.broadinstitute.hellbender.tools.walkers.genotyper.OutputMode;OutputMode;enum;0;0;1;0;0;0;0;14
gatk27452807;org.broadinstitute.hellbender.utils.text.parsers.TabbedTextFileWithHeaderParser;TabbedTextFileWithHeaderParser;class;7;30;1;0;85;18;5;125
gatk27452807;org.broadinstitute.hellbender.tools.walkers.vqsr.ApplyVQSRIntegrationTest;ApplyVQSRIntegrationTest;class;7;9;3;0;28;8;0;128
gatk27452807;org.broadinstitute.hellbender.engine.filters.ReadStrandFilter;ReadStrandFilter;class;4;3;2;0;1;3;2;23
gatk27452807;org.broadinstitute.hellbender.tools.spark.pipelines.PrintReadsSparkIntegrationTest;PrintReadsSparkIntegrationTest;class;14;24;3;0;79;14;1;290
gatk27452807;org.broadinstitute.hellbender.tools.walkers.genotyper.afcalc.AlleleFrequencyCalculatorUnitTest;AlleleFrequencyCalculatorUnitTest;class;19;15;2;0;25;10;13;167
gatk27452807;org.broadinstitute.hellbender.utils.recalibration.covariates.Covariate;Covariate;interface;3;5;1;0;10;5;1;52
gatk27452807;org.broadinstitute.hellbender.engine.TraversalParameters;TraversalParameters;class;1;4;1;0;0;3;3;35
gatk27452807;org.broadinstitute.hellbender.utils.locusiterator.LIBSTest;LIBSTest;class;5;5;1;0;0;4;4;40
gatk27452807;org.broadinstitute.hellbender.utils.nio.SeekableByteChannelPrefetcherTest;SeekableByteChannelPrefetcherTest;class;2;10;1;0;9;7;1;104
gatk27452807;org.broadinstitute.hellbender.engine.filters.ReadLengthReadFilter;ReadLengthReadFilter;class;4;3;2;0;1;3;5;35
gatk27452807;org.broadinstitute.hellbender.tools.IndexFeatureFile;IndexFeatureFile;class;17;18;2;0;0;3;5;102
gatk27452807;org.broadinstitute.hellbender.tools.picard.vcf.concordance.GenotypeConcordanceScheme;GenotypeConcordanceScheme;class;5;16;1;0;9;6;16;117
gatk27452807;org.broadinstitute.hellbender.utils.read.markduplicates.DiskBasedReadEndsForMarkDuplicatesMap;DiskBasedReadEndsForMarkDuplicatesMap;class;7;11;1;0;0;9;2;81
