file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
gjOryx47738791;com.oryxhatesjava.net.OtherHitPacket;OtherHitPacket;class;2;6;2;0;4;5;4;55
gjOryx47738791;org.jdom.input.JDOMParseException;JDOMParseException;class;3;11;4;0;19;7;2;151
gjOryx47738791;com.joryx.util.SoundDownloader;SoundDownloader;class;1;16;1;0;1;2;0;89
gjOryx47738791;com.oryxhatesjava.net.EnemyShootPacket;EnemyShootPacket;class;3;9;2;0;4;5;9;80
gjOryx47738791;org.jdom.adapters.XercesDOMAdapter;XercesDOMAdapter;class;7;11;2;0;1;2;1;145
gjOryx47738791;com.oryxhatesjava.net.BuyResultPacket;BuyResultPacket;class;2;6;2;0;4;5;10;57
gjOryx47738791;com.joryx.control.NoMoveControl;NoMoveControl;class;5;3;2;0;3;3;0;34
gjOryx47738791;com.oryxhatesjava.net.data.Tile;Tile;class;1;7;1;0;0;6;3;59
gjOryx47738791;com.oryxhatesjava.xml.FameBonus;FameBonus;class;1;6;1;0;4;4;3;40
gjOryx47738791;org.jdom.input.JAXPParserFactory;JAXPParserFactory;class;2;9;1;0;3;3;3;151
gjOryx47738791;com.joryx.appstate.RootNodeState;RootNodeState;class;9;9;2;0;0;7;3;75
gjOryx47738791;org.jdom.Verifier;Verifier;class;3;1375;1;0;561;34;1;1124
gjOryx47738791;org.jdom.adapters.OracleV2DOMAdapter;OracleV2DOMAdapter;class;5;9;2;0;1;2;1;122
gjOryx47738791;com.oryxhatesjava.util.Serializer;Serializer;class;3;15;1;0;3;3;3;64
gjOryx47738791;com.oryxhatesjava.net.ByteArrayDataOutput;ByteArrayDataOutput;class;2;26;1;0;0;18;1;177
gjOryx47738791;com.oryxhatesjava.net.JoinGuildPacket;JoinGuildPacket;class;2;6;2;0;4;5;1;46
gjOryx47738791;org.jdom.JDOMException;JDOMException;class;2;54;3;1;60;12;2;314
gjOryx47738791;org.jdom.input.SAXBuilder;SAXBuilder;class;13;137;1;0;822;44;19;986
gjOryx47738791;com.joryx.appstate.screens.CharsScreen;CharsScreen;class;19;37;2;0;33;19;9;181
gjOryx47738791;org.jdom.adapters.AbstractDOMAdapter;AbstractDOMAdapter;class;5;10;1;6;10;5;1;146
gjOryx47738791;com.joryx.appstate.SettingsState;SettingsState;class;6;10;2;0;0;4;11;81
gjOryx47738791;com.oryxhatesjava.net.data.ObjectStatus;ObjectStatus;class;3;10;1;0;0;8;2;63
gjOryx47738791;com.joryx.control.ChaseCameraControl;ChaseCameraControl;class;7;4;2;0;4;4;1;47
gjOryx47738791;com.oryxhatesjava.net.ChangeGuildRankPacket;ChangeGuildRankPacket;class;2;6;2;0;4;5;2;49
gjOryx47738791;org.jdom.AttributeList;AttributeList;class;4;90;3;0;30;21;5;462
gjOryx47738791;org.jdom.filter.AbstractFilter;AbstractFilter;class;4;3;1;5;3;3;1;64
gjOryx47738791;com.joryx.object.PortalControl;PortalControl;class;11;5;3;0;0;3;1;52
gjOryx47738791;com.oryxhatesjava.util.GUID;GUID;class;2;15;1;0;28;8;3;101
gjOryx47738791;com.oryxhatesjava.net.ChangeTradePacket;ChangeTradePacket;class;3;7;2;0;4;5;1;52
gjOryx47738791;org.jdom.output.EscapeStrategy;EscapeStrategy;interface;0;1;1;0;0;1;0;61
gjOryx47738791;com.oryxhatesjava.net.data.Location;Location;class;2;8;1;0;0;7;2;68
gjOryx47738791;com.oryxhatesjava.xml.Chars;Chars;class;5;7;1;0;4;4;6;69
gjOryx47738791;com.joryx.appstate.DatabaseState;DatabaseState;class;9;24;2;0;2;8;5;123
