file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
gof52887128;com.gof.rpc.netty.test.ClientTest;ClientTest;class;6;4;1;0;1;1;2;77
gof52887128;com.gof.rpc.remoting.transport.netty.ServiceProviderConfig;ServiceProviderConfig;class;0;3;1;0;0;3;2;15
gof52887128;com.gof.rpc.netty.test.msg.XmlSerializer;XmlSerializer;class;1;2;1;0;1;2;1;28
gof52887128;com.gof.app.web.service.staticdata.CurrencyService;CurrencyService;interface;1;2;1;0;1;2;0;6
gof52887128;com.gof.rpc.remoting.transport.netty.NettyClientTransportHandler;NettyClientTransportHandler;class;2;1;3;0;0;1;0;12
gof52887128;com.gof.app.web.controller.LoginController;LoginController;class;12;4;1;0;1;2;1;53
gof52887128;com.gof.rpc.remoting.api.Server;Server;interface;1;0;1;0;0;0;0;4
gof52887128;com.gof.rpc.remoting.transport.netty.ServiceConsumerConfig;ServiceConsumerConfig;class;1;2;1;0;0;2;1;11
gof52887128;com.gof.rpc.remoting.transport.netty.NettyServer;NettyServer;class;3;1;1;0;0;1;1;11
gof52887128;com.gof.app.web.model.Auditable;Auditable;class;10;8;2;1;20;8;4;55
gof52887128;com.gof.rpc.netty.test.msg.HeartBeatRequest;HeartBeatRequest;class;1;1;2;0;0;1;1;10
gof52887128;com.gof.rpc.netty.test.BlowFishEncryptEncoder;BlowFishEncryptEncoder;class;7;3;2;0;1;2;2;39
gof52887128;io.netty.channel.pool.ChannelPool;ChannelPool;interface;6;5;1;0;10;5;0;48
gof52887128;com.gof.rpc.common.core.ProcessDescriptor;ProcessDescriptor;class;0;4;1;0;0;1;4;48
gof52887128;com.gof.rpc.remoting.transport.netty.NettyServerTransport;NettyServerTransport;class;12;16;1;0;0;3;5;72
gof52887128;io.netty.channel.pool.FixedChannelPool;FixedChannelPool;class;19;76;3;0;54;16;16;380
gof52887128;com.gof.rpc.remoting.transport.netty.NettyClientTransport;NettyClientTransport;class;14;15;1;0;2;4;5;64
gof52887128;com.gof.rpc.netty.test.HeartBeatReqHandler;HeartBeatReqHandler;class;9;15;2;0;4;5;3;86
gof52887128;com.gof.rpc.netty.test.msg.OrderTradesEnquiryResponse;OrderTradesEnquiryResponse;class;1;0;2;0;0;0;0;5
gof52887128;com.gof.rpc.netty.test.NettyClientMonitor;NettyClientMonitor;class;7;6;1;0;3;3;2;30
gof52887128;com.gof.rpc.remoting.api.ChannelHandler;ChannelHandler;interface;0;0;1;0;0;0;0;8
gof52887128;com.gof.rpc.netty.test.AyresHandler;AyresHandler;class;12;3;2;0;3;3;0;32
gof52887128;com.gof.app.web.security.shiro.UsernamePasswordRealm;UsernamePasswordRealm;class;12;8;2;0;1;2;1;37
gof52887128;com.gof.rpc.netty.test.ServerTest;ServerTest;class;14;3;1;0;1;1;0;52
gof52887128;com.gof.rpc.netty.test.ServerHandler;ServerHandler;class;7;11;2;0;1;2;0;61
gof52887128;com.gof.app.web.model.Currency;Currency;class;7;4;3;0;2;4;2;31
gof52887128;com.gof.rpc.netty.test.msg.GenericResponseMessage;GenericResponseMessage;class;1;0;2;0;0;0;0;5
gof52887128;io.netty.channel.pool.ChannelPoolMap;ChannelPoolMap;interface;2;2;1;0;1;2;0;37
gof52887128;com.gof.rpc.remoting.transport.netty.NettyClient;NettyClient;class;7;5;1;0;0;3;3;29
gof52887128;com.gof.rpc.netty.test.msg.AuthenticationRequest;AuthenticationRequest;class;1;11;2;0;45;11;6;52
gof52887128;com.gof.app.web.filter.DebugFilter;DebugFilter;class;8;3;1;0;3;3;0;29
gof52887128;com.gof.app.web.controller.staticdata.CurrencyController;CurrencyController;class;9;1;1;0;0;1;2;25
gof52887128;com.gof.rpc.netty.test.msg.OrderTradesEnquiryRequest;OrderTradesEnquiryRequest;class;1;3;2;0;1;3;2;19
gof52887128;com.gof.app.web.security.constants.SecurityLiteralMessage;SecurityLiteralMessage;class;0;0;1;0;0;0;3;6
gof52887128;com.gof.rpc.netty.test.msg.TestResponse;TestResponse;class;1;2;2;0;0;2;1;15
gof52887128;com.gof.app.web.service.scheduler.MonitorSchedulerJob;MonitorSchedulerJob;class;4;1;1;0;0;1;1;13
gof52887128;com.gof.rpc.remoting.api.Client;Client;interface;1;0;1;0;0;0;0;4
gof52887128;com.gof.rpc.remoting.transport.netty.NettyServerTransportHandler;NettyServerTransportHandler;class;3;1;3;0;0;1;0;13
gof52887128;com.gof.app.web.repository.CurrencyRepository;CurrencyRepository;interface;2;0;1;0;0;0;0;5
gof52887128;io.netty.channel.pool.SimpleChannelPool;SimpleChannelPool;class;24;61;1;0;269;21;8;320
gof52887128;com.gof.app.web.controller.HomeController;HomeController;class;4;1;1;0;0;1;1;16
gof52887128;com.gof.app.web.bean.HttpRequest;HttpRequest;class;0;8;1;0;20;8;4;36
gof52887128;com.gof.rpc.netty.test.HeartBeanRespHandler;HeartBeanRespHandler;class;4;6;2;0;0;1;0;37
gof52887128;com.gof.rpc.netty.test.msg.HeartBeatResponse;HeartBeatResponse;class;1;0;2;0;0;0;0;5
gof52887128;com.gof.app.web.service.staticdata.CurrencyServiceImpl;CurrencyServiceImpl;class;5;2;1;0;0;2;1;18
gof52887128;com.gof.app.web.bean.HttpResponse;HttpResponse;class;1;9;1;0;12;9;4;43
gof52887128;com.gof.app.web.controller.LogoutController;LogoutController;class;10;1;1;0;0;1;1;32
gof52887128;com.gof.rpc.remoting.example.ClientDemo;ClientDemo;class;0;0;1;0;0;0;0;3
gof52887128;io.netty.channel.pool.AbstractChannelPoolMap;AbstractChannelPoolMap;class;5;15;1;0;0;8;1;89
gof52887128;io.netty.channel.pool.AbstractChannelPoolHandler;AbstractChannelPoolHandler;class;2;2;1;0;1;2;0;40
gof52887128;com.gof.rpc.netty.test.msg.GenericRequestMessage;GenericRequestMessage;class;1;0;2;0;0;0;0;5
gof52887128;com.gof.app.web.model.AuditorAwareImpl;AuditorAwareImpl;class;2;1;1;0;0;1;0;12
gof52887128;com.gof.rpc.remoting.example.ServerDemo;ServerDemo;class;0;0;1;0;0;0;0;3
gof52887128;com.gof.app.web.model.BaseModel;BaseModel;class;1;0;1;0;0;0;0;12
gof52887128;com.gof.rpc.netty.test.NettyClient;NettyClient;class;23;47;1;0;13;7;11;156
gof52887128;com.gof.rpc.netty.test.LittleEndianLengthFieldPrepender;LittleEndianLengthFieldPrepender;class;4;22;2;0;0;5;3;123
gof52887128;com.gof.rpc.remoting.transport.netty.NettyTransportHandler;NettyTransportHandler;class;6;2;2;0;1;2;1;28
gof52887128;com.gof.rpc.netty.test.ClientHandler;ClientHandler;class;7;12;2;0;3;3;1;45
gof52887128;com.gof.rpc.remoting.transport.netty.NettyServerBusinessHandler;NettyServerBusinessHandler;class;3;0;2;0;0;0;1;7
gof52887128;com.gof.rpc.netty.test.msg.AuthenticationResponse;AuthenticationResponse;class;1;8;2;0;20;8;4;39
gof52887128;com.gof.rpc.remoting.api.Transport;Transport;interface;0;0;1;0;0;0;0;4
gof52887128;com.gof.rpc.netty.test.msg.ResponseMessage;ResponseMessage;class;0;4;1;1;2;4;3;23
gof52887128;io.netty.channel.pool.ChannelHealthChecker;ChannelHealthChecker;interface;4;3;1;0;1;2;1;43
gof52887128;com.gof.rpc.remoting.transport.netty.NettyClientBusinessHandler;NettyClientBusinessHandler;class;3;0;2;0;0;0;1;7
gof52887128;com.gof.rpc.netty.test.msg.RequestMessage;RequestMessage;class;0;4;1;1;2;4;2;20
gof52887128;com.gof.rpc.netty.test.msg.TestRequest;TestRequest;class;1;5;2;0;0;5;3;28
gof52887128;com.gof.rpc.remoting.constants.Constants;Constants;class;0;0;1;0;0;0;2;5
gof52887128;com.gof.rpc.netty.test.BlowFishDecryptDecoder;BlowFishDecryptDecoder;class;7;3;2;0;1;2;2;38
gof52887128;com.gof.app.web.constants.IndexPage;IndexPage;class;0;0;1;0;0;0;5;8
gof52887128;com.gof.rpc.common.test.ProcessDescriptorTest;ProcessDescriptorTest;class;0;1;1;0;0;1;0;7
gof52887128;io.netty.channel.pool.ChannelPoolHandler;ChannelPoolHandler;interface;1;3;1;0;3;3;0;44
gof52887128;com.gof.rpc.remoting.api.Endpoint;Endpoint;interface;0;0;1;0;0;0;0;3
gof52887128;com.gof.rpc.netty.test.LoginAuthenticationReqHandler;LoginAuthenticationReqHandler;class;7;11;2;0;4;4;1;69
gof52887128;com.gof.rpc.netty.test.msg.XmlSerializeTest;XmlSerializeTest;class;3;1;1;0;0;1;0;30
