file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
griffon1889544;org.codehaus.griffon.runtime.core.injection.SingletonBindingBuilder;SingletonBindingBuilder;interface;2;1;1;0;0;1;0;23
griffon1889544;sample.pivot.java.Config;Config;class;2;1;3;0;0;1;0;39
griffon1889544;griffon.pivot.support.adapters.CalendarSelectionAdapter;CalendarSelectionAdapter;class;5;5;1;0;0;3;1;35
griffon1889544;griffon.pivot.support.adapters.TableViewHeaderAdapter;TableViewHeaderAdapter;class;6;10;1;0;3;6;2;47
griffon1889544;org.codehaus.griffon.runtime.core.storage.DefaultObjectStorage;DefaultObjectStorage;class;4;8;1;0;0;7;2;70
griffon1889544;org.codehaus.griffon.runtime.core.threading.AbstractUIThreadManager;AbstractUIThreadManager;class;9;12;1;6;0;5;5;104
griffon1889544;griffon.swing.editors.Point2DPropertyEditor;Point2DPropertyEditor;class;3;45;3;0;45;10;0;132
griffon1889544;griffon.pivot.support.adapters.ComponentNodeAdapter;ComponentNodeAdapter;class;5;5;1;0;0;3;1;35
griffon1889544;griffon.core.formatters.ShortFormatter;ShortFormatter;class;3;14;2;0;0;4;3;58
griffon1889544;griffon.pivot.support.adapters.ImageAdapterTest;ImageAdapterTest;class;4;6;1;0;9;3;1;72
griffon1889544;griffon.swing.editors.RectanglePropertyEditor;RectanglePropertyEditor;class;3;42;3;0;36;9;0;126
griffon1889544;griffon.pivot.support.adapters.SuggestionPopupItemAdapterTest;SuggestionPopupItemAdapterTest;class;4;10;1;0;25;5;1;104
griffon1889544;griffon.pivot.support.adapters.DialogAdapterTest;DialogAdapterTest;class;4;2;1;0;1;1;1;40
griffon1889544;griffon.pivot.support.adapters.NumberedListAdapterTest;NumberedListAdapterTest;class;4;2;1;0;1;1;1;40
griffon1889544;org.example.AppView;AppView;class;8;3;5;0;1;3;1;51
griffon1889544;griffon.core.formatters.BooleanFormatter;BooleanFormatter;class;10;36;5;0;94;17;12;141
griffon1889544;griffon.core.artifact.GriffonView;GriffonView;interface;1;1;1;0;0;1;0;25
griffon1889544;griffon.pivot.support.adapters.TableViewColumnAdapterTest;TableViewColumnAdapterTest;class;4;18;1;0;81;9;1;168
griffon1889544;griffon.core.formatters.FloatFormatter;FloatFormatter;class;3;14;2;0;0;4;3;57
griffon1889544;org.codehaus.griffon.runtime.core.injection.AbstractModule;AbstractModule;class;6;10;1;16;2;4;3;59
griffon1889544;griffon.exceptions.PropertyException;PropertyException;class;3;9;5;0;36;9;1;61
griffon1889544;org.codehaus.griffon.compile.core.processor.editor.PropertyEditorCollector;PropertyEditorCollector;class;2;36;1;0;0;9;4;113
griffon1889544;org.codehaus.griffon.runtime.core.threading.DefaultUIThreadManager;DefaultUIThreadManager;class;2;3;2;0;3;3;0;38
griffon1889544;griffon.javafx.beans.binding.UIThreadAwareLongProperty;UIThreadAwareLongProperty;class;11;25;2;0;0;15;1;110
griffon1889544;griffon.core.artifact.GriffonMvcArtifact;GriffonMvcArtifact;interface;3;3;1;0;3;3;0;46
griffon1889544;griffon.pivot.support.adapters.TextAreaSelectionAdapterTest;TextAreaSelectionAdapterTest;class;4;2;1;0;1;1;1;40
griffon1889544;org.codehaus.griffon.compile.core.ast.transform.ResourcesAwareASTTransformation;ResourcesAwareASTTransformation;class;18;9;2;0;6;4;3;85
griffon1889544;org.example.api.GithubAPI;GithubAPI;interface;8;2;1;0;1;2;1;32
griffon1889544;integration.ChildView;ChildView;class;7;10;4;0;35;10;5;61
griffon1889544;griffon.pivot.support.adapters.SpinnerItemAdapterTest;SpinnerItemAdapterTest;class;4;10;1;0;25;5;1;104
griffon1889544;org.example.calculator.helpers.ClientModelStoreProvider;ClientModelStoreProvider;class;6;1;1;0;0;1;1;30
griffon1889544;griffon.pivot.support.adapters.MenuPopupAdapter;MenuPopupAdapter;class;5;5;1;0;0;3;1;35
griffon1889544;sample.swing.java.SampleView;SampleView;class;8;8;5;0;14;4;2;102
