file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
idear37895115;com.jetbrains.idear.jsgf.JSpeechFile;JSpeechFile;class;5;4;2;0;6;4;0;27
idear37895115;com.johnlindquist.acejump.AceKeyUtil;AceKeyUtil;class;0;20;1;0;0;1;0;54
idear37895115;com.maddyhome.idea.vim.common.TextRange;TextRange;class;3;27;1;0;91;14;2;101
idear37895115;com.jetbrains.idear.jsgf.JSpeechReference;JSpeechReference;class;13;9;2;0;4;4;1;54
idear37895115;com.jetbrains.idear.asr.ListeningState;ListeningState;class;1;7;1;0;19;7;1;35
idear37895115;com.jetbrains.idear.jsgf.JSpeechNamedElement;JSpeechNamedElement;interface;1;0;1;0;0;0;0;7
idear37895115;com.jetbrains.idear.actions.recognition.RunActionRecognizer;RunActionRecognizer;class;4;2;1;0;1;2;0;14
idear37895115;com.maddyhome.idea.vim.helper.EditorHelper;EditorHelper;class;14;104;1;0;780;40;1;497
idear37895115;com.jetbrains.idear.jsgf.JSpeechSyntaxHighlighter;JSpeechSyntaxHighlighter;class;7;11;2;0;1;2;11;68
idear37895115;com.jetbrains.idear.jsgf.JSpeechFileTypeFactory;JSpeechFileTypeFactory;class;3;1;2;0;0;1;0;13
idear37895115;com.jetbrains.idear.jsgf.psi.JSpeechRulename;JSpeechRulename;interface;3;1;1;0;0;1;0;9
idear37895115;com.jetbrains.idear.actions.ExecuteVoiceCommandAction;ExecuteVoiceCommandAction;class;8;3;3;0;0;1;2;26
idear37895115;com.jetbrains.idear.actions.recognition.SurroundWithNoNullCheckRecognizer;SurroundWithNoNullCheckRecognizer;class;17;11;1;0;1;2;0;56
idear37895115;com.jetbrains.idear.jsgf.JSpeechSyntaxHighlighterFactory;JSpeechSyntaxHighlighterFactory;class;7;1;2;0;0;1;0;17
idear37895115;com.jetbrains.idear.VoiceAction;VoiceAction;class;14;14;2;0;10;5;1;54
idear37895115;com.jetbrains.idear.NlpParserTest;NlpParserTest;class;4;12;1;0;64;12;1;62
idear37895115;com.jetbrains.idear.psi.PsiUtil;PsiUtil;class;6;4;1;0;1;2;0;19
idear37895115;com.jetbrains.idear.jsgf.psi.JSpeechSequenceElement;JSpeechSequenceElement;interface;3;1;1;0;0;1;0;8
idear37895115;com.jetbrains.idear.actions.recognition.FindUsagesActionRecognizer;FindUsagesActionRecognizer;class;14;19;1;0;6;4;0;82
idear37895115;com.jetbrains.idear.nlp.ParserService;ParserService;class;3;4;1;0;6;4;0;15
idear37895115;com.jetbrains.idear.jsgf.psi.JSpeechRuleAlternative;JSpeechRuleAlternative;interface;5;2;1;0;1;2;0;12
idear37895115;com.jetbrains.idear.jsgf.psi.JSpeechVisitor;JSpeechVisitor;class;15;13;2;0;78;13;0;47
idear37895115;com.jetbrains.idear.jsgf.JSpeechLanguage;JSpeechLanguage;class;2;1;2;0;0;1;1;11
idear37895115;com.jetbrains.idear.jsgf.psi.JSpeechRuleExpansion;JSpeechRuleExpansion;interface;3;1;1;0;0;1;0;9
idear37895115;com.jetbrains.idear.jsgf.psi.impl.JSpeechWeightImpl;JSpeechWeightImpl;class;7;5;2;0;3;3;0;24
idear37895115;com.jetbrains.idear.jsgf.psi.JSpeechWeight;JSpeechWeight;interface;2;1;1;0;0;1;0;8
