file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
interface_sdk10201190;edu.mines.acmX.exhibit.module_management.modules.ProcessingModule;ProcessingModule;class;9;27;2;0;0;19;4;213
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.UnknownDriverRequest;UnknownDriverRequest;class;0;1;3;0;0;1;0;33
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.HardwareManagerManifestLoaderTest;HardwareManagerManifestLoaderTest;class;5;9;1;0;0;9;2;134
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.drivers.openni.OpenNIContextSingleton;OpenNIContextSingleton;class;7;7;1;0;0;3;4;56
interface_sdk10201190;edu.mines.acmX.exhibit.module_management.ModuleManagerTest;ModuleManagerTest;class;9;29;2;0;406;29;0;791
interface_sdk10201190;edu.mines.acmX.exhibit.stdlib.graphics.Coordinate3D;Coordinate3D;class;1;8;1;0;4;8;3;59
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.BadFunctionalityRequestException;BadFunctionalityRequestException;class;0;1;3;0;0;1;0;32
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.drivers.MicrosoftSDK.KinectSDKDriver;KinectSDKDriver;class;39;76;1;0;198;24;11;354
interface_sdk10201190;edu.mines.acmX.exhibit.module_management.module_executors.ModuleSimpleExecutorWithExceptionHandler;ModuleSimpleExecutorWithExceptionHandler;class;5;4;3;0;6;4;1;52
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.drivers.MicrosoftSDK.NUI_INTERACTION_INFO;NUI_INTERACTION_INFO;class;3;1;2;0;0;1;5;34
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.drivers.openni2.KinectOpenNI2Driver;KinectOpenNI2Driver;class;11;27;1;0;105;18;11;179
interface_sdk10201190;edu.mines.acmX.exhibit.stdlib.input_processing.receivers.Gesture;Gesture;class;1;4;1;0;0;4;3;39
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.events.Event;Event;class;1;5;1;0;0;5;2;47
interface_sdk10201190;edu.mines.acmX.exhibit.stdlib.input_processing.tracking.HoverClick;HoverClick;class;0;14;1;0;0;8;4;65
interface_sdk10201190;edu.mines.acmX.exhibit.stdlib.scoring.ScoreSaver;ScoreSaver;class;3;64;1;0;44;12;9;209
interface_sdk10201190;edu.mines.acmX.exhibit.stdlib.scoring.ScoreSaverPanel;ScoreSaverPanel;class;7;62;6;0;201;26;25;277
interface_sdk10201190;edu.mines.acmX.exhibit.module_management.modules.AWTModule;AWTModule;class;4;17;5;0;0;17;1;144
interface_sdk10201190;edu.mines.acmX.exhibit.stdlib.graphics.Coordinate;Coordinate;class;2;6;3;0;3;6;2;48
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.drivers.openni.OpenNIConfigurationException;OpenNIConfigurationException;class;0;1;3;0;0;1;0;24
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.drivers.MicrosoftSDK.INuiFrameTexture;INuiFrameTexture;class;11;9;4;0;36;9;0;67
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.drivers.MicrosoftSDK.NUI_TRANSFORM_SMOOTH_PARAMETERS;NUI_TRANSFORM_SMOOTH_PARAMETERS;class;1;3;2;0;3;3;10;48
interface_sdk10201190;edu.mines.acmX.exhibit.stdlib.input_processing.receivers.HandReceiver;HandReceiver;class;3;9;1;0;10;5;0;66
interface_sdk10201190;edu.mines.acmX.exhibit.module_management.RunAllTests;RunAllTests;class;9;0;1;0;0;0;0;37
interface_sdk10201190;edu.mines.acmX.exhibit.module_management.metas.CheckType;CheckType;enum;0;0;1;0;0;0;0;31
interface_sdk10201190;edu.mines.acmX.exhibit.module_management.ModuleManagerRemote;ModuleManagerRemote;interface;2;7;1;0;21;7;0;59
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.drivers.MicrosoftSDK.NUI_IMAGE_TYPE;NUI_IMAGE_TYPE;enum;2;6;1;0;0;3;1;43
interface_sdk10201190;edu.mines.acmX.exhibit.module_management.modules.CommandlineModule;CommandlineModule;class;4;16;1;0;0;16;1;130
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.drivers.MicrosoftSDK.NUI_SKELETON_TRACKING_STATE;NUI_SKELETON_TRACKING_STATE;enum;2;6;1;0;0;3;1;39
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.drivers.MicrosoftSDK.NUI_HANDPOINTER_STATE;NUI_HANDPOINTER_STATE;enum;2;6;1;0;0;3;1;42
interface_sdk10201190;edu.mines.acmX.exhibit.module_management.loaders.ModuleManifestLoaderTest;ModuleManifestLoaderTest;class;4;5;1;0;10;5;0;107
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.drivers.MicrosoftSDK.NUI_SKELETON_FRAME;NUI_SKELETON_FRAME;class;9;7;2;0;21;7;1;67
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.drivers.MicrosoftSDK.NUI_DEPTH_IMAGE_PIXEL;NUI_DEPTH_IMAGE_PIXEL;class;2;1;2;0;0;1;2;31
interface_sdk10201190;edu.mines.acmX.exhibit.module_management.module_executors.ModuleExecutor;ModuleExecutor;class;3;2;1;3;1;2;5;34
interface_sdk10201190;edu.mines.acmX.exhibit.runner.ModuleManagerRunner;ModuleManagerRunner;class;10;12;1;0;8;5;3;129
interface_sdk10201190;edu.mines.acmX.exhibit.input_services.hardware.drivers.MicrosoftSDK.KinectLibrary;KinectLibrary;interface;5;2;1;0;1;2;11;39
interface_sdk10201190;edu.mines.acmX.exhibit.module_management.modules.implementation.HardwareManagerCommunicationException;HardwareManagerCommunicationException;class;0;0;5;0;0;0;0;28
