file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
ipss-odm11950747;org.ieee.odm.bpa.BPA_500kv_NoDC_Test;BPA_500kv_NoDC_Test;class;4;1;1;0;0;1;0;23
ipss-odm11950747;org.ieee.odm.adapter.pwd.AbstractPowerWorldAdapter;AbstractPowerWorldAdapter;class;5;18;2;1;10;5;13;91
ipss-odm11950747;org.ieee.odm.bpa.IEEE9cn_DStabTest;IEEE9cn_DStabTest;class;4;1;1;0;0;1;0;42
ipss-odm11950747;org.ieee.odm.psse.PSSEV30_GuideSampleTest;PSSEV30_GuideSampleTest;class;6;1;1;0;0;1;0;105
ipss-odm11950747;org.ieee.odm.FuncTest_ODMTest;FuncTest_ODMTest;class;4;3;1;0;0;1;6;40
ipss-odm11950747;org.ieee.odm.adapter.ieeecdf.parser.IeeeCDFLossZoneDataParser;IeeeCDFLossZoneDataParser;class;1;5;3;0;1;2;0;53
ipss-odm11950747;org.ieee.odm.adapter.bpa.lf.BPALineBranchRecord;BPALineBranchRecord;class;4;65;1;0;1;2;0;414
ipss-odm11950747;org.ieee.odm.adapter.pwd.impl.PWDHelper;PWDHelper;class;1;29;1;0;3;3;0;80
ipss-odm11950747;org.ieee.odm.adapter.ieeecdf.parser.IeeeCDFTieLineDataParser;IeeeCDFTieLineDataParser;class;1;5;3;0;1;2;0;70
ipss-odm11950747;org.ieee.odm.adapter.psse.parser.aclf.PSSEVSCHVDC2TDataParser;PSSEVSCHVDC2TDataParser;class;2;6;4;0;3;3;0;55
ipss-odm11950747;org.ieee.odm.util.PerformanceTimer;PerformanceTimer;class;0;6;1;0;7;6;3;59
ipss-odm11950747;org.ieee.odm.adapter.ucte.mapper.BaseUCTEDataMapper;BaseUCTEDataMapper;class;1;0;1;5;0;0;1;28
ipss-odm11950747;org.ieee.odm.psse.PSSE_Dyn_Exciter_Test;PSSE_Dyn_Exciter_Test;class;10;2;1;0;1;2;0;71
ipss-odm11950747;org.ieee.odm.adapter.psse.parser.acsc.PSSEXfrZeroSeqDataParser;PSSEXfrZeroSeqDataParser;class;2;6;4;0;3;3;0;58
ipss-odm11950747;org.ieee.odm.model.dstab.DStabParserHelper;DStabParserHelper;class;146;97;4;0;2628;73;0;1006
ipss-odm11950747;org.ieee.odm.adapter.ieeecdf.mapper.IeeeCDFTielineDataMapper;IeeeCDFTielineDataMapper;class;4;2;2;0;1;2;0;62
ipss-odm11950747;org.ieee.odm.adapter.bpa.dynamic.BPADynamicTurbineGovernorRecord;BPADynamicTurbineGovernorRecord;class;11;215;1;0;1;2;0;625
ipss-odm11950747;org.ieee.odm.adapter.psse.v26.impl.PSSEV26BusRecord;PSSEV26BusRecord;class;10;31;1;0;0;4;3;273
ipss-odm11950747;org.ieee.odm.adapter.ucte.mapper.UCTEXfrDataMapper;UCTEXfrDataMapper;class;5;12;2;0;1;2;0;87
ipss-odm11950747;org.ieee.odm.adapter.bpa.dynamic.BPADynamicPSSRecord;BPADynamicPSSRecord;class;7;166;1;0;1;2;0;498
ipss-odm11950747;org.ieee.odm.adapter.ge.mapper.GEXformerDataMapper;GEXformerDataMapper;class;7;12;2;0;1;2;0;120
ipss-odm11950747;org.ieee.odm.opf.matpower.OPF_Matpower_ODMTest;OPF_Matpower_ODMTest;class;10;2;1;0;1;2;0;153
ipss-odm11950747;org.ieee.odm.adapter.psse.mapper.aclf.PSSEZoneDataMapper;PSSEZoneDataMapper;class;6;4;3;0;1;2;0;54
ipss-odm11950747;org.ieee.odm.adapter.psse.mapper.dynamic.exciter.PSSEExcIEEE1981AC1Mapper;PSSEExcIEEE1981AC1Mapper;class;8;8;3;0;1;2;0;69
ipss-odm11950747;org.ieee.odm.adapter.ge.parser.GEInterfaceBranchDataParser;GEInterfaceBranchDataParser;class;1;3;4;0;1;2;0;77
ipss-odm11950747;org.ieee.odm.odm_xml.OdmXml_Acsc5BusTest;OdmXml_Acsc5BusTest;class;9;20;1;0;1;2;0;92
ipss-odm11950747;org.ieee.odm.adapter.psse.mapper.dynamic.tur_gov.PSSETurGovTGOV1Mapper;PSSETurGovTGOV1Mapper;class;8;4;3;0;1;2;0;51
ipss-odm11950747;org.ieee.odm.adapter.psse.parser.aclf.PSSEGenDataParser;PSSEGenDataParser;class;2;19;4;0;3;3;0;113
