file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
javabuilders80332;org.javabuilders.swing.IconUtils;IconUtils;class;3;4;1;0;1;2;0;37
javabuilders80332;org.javabuilders.test.CoreTest;CoreTest;class;4;8;1;0;28;8;0;138
javabuilders80332;org.javabuilders.swing.handler.property.FrameExtendedStateHandler;FrameExtendedStateHandler;class;7;12;2;0;4;5;8;101
javabuilders80332;org.javabuilders.layout.LayoutException;LayoutException;class;1;3;5;0;3;3;0;32
javabuilders80332;org.javabuilders.gtk.GtkJavaBuilderConfig;GtkJavaBuilderConfig;class;109;2;2;0;1;2;0;260
javabuilders80332;org.javabuilders.test.ControlConstraintTest;ControlConstraintTest;class;3;24;1;0;0;24;1;257
javabuilders80332;org.javabuilders.swing.test.issues.resources.Issue125;Issue125;class;2;1;5;0;0;1;2;14
javabuilders80332;org.javabuilders.swing.plugins.glazedlists.test.CompilerUtilsTest;CompilerUtilsTest;class;1;5;1;0;6;4;0;62
javabuilders80332;org.javabuilders.handler.IntegerAsValueHandler;IntegerAsValueHandler;class;5;22;1;0;15;6;2;90
javabuilders80332;javabuilders.App;App;class;0;1;1;0;0;1;0;12
javabuilders80332;org.javabuilders.event.BuildEvent;BuildEvent;class;1;2;1;0;0;2;1;28
javabuilders80332;org.javabuilders.swt.handler.type.ShellHandler;ShellHandler;class;10;15;2;0;28;8;11;113
javabuilders80332;org.javabuilders.swing.handler.event.background.BackgroundDialog;BackgroundDialog;class;3;5;6;0;0;3;4;64
javabuilders80332;org.javabuilders.swing.test.issues.resources.Issue10;Issue10;class;1;0;6;0;0;0;1;7
javabuilders80332;org.javabuilders.swing.samples.GlazedListsEditablePanel;GlazedListsEditablePanel;class;6;11;6;0;13;5;5;79
javabuilders80332;org.javabuilders.layout.LayoutCell;LayoutCell;class;2;16;1;0;28;12;6;110
javabuilders80332;org.javabuilders.layout.LayoutConstraints;LayoutConstraints;class;6;102;1;0;168;20;7;354
javabuilders80332;org.javabuilders.swing.test.issues.resources.CustomGenericPanel;CustomGenericPanel;class;2;2;6;0;1;2;2;16
javabuilders80332;org.javabuilders.test.PropertyUtilsTest;PropertyUtilsTest;class;2;4;1;0;6;4;0;41
javabuilders80332;org.javabuilders.swing.handler.event.ComponentKeyListenerHandler;ComponentKeyListenerHandler;class;9;15;2;0;36;6;2;87
javabuilders80332;org.javabuilders.swing.samples.ComponentsPanel;ComponentsPanel;class;2;1;6;0;0;1;1;11
javabuilders80332;org.javabuilders.swt.handler.DefaultBackgroundProcessingHandler;DefaultBackgroundProcessingHandler;class;6;3;1;0;3;3;1;35
javabuilders80332;org.javabuilders.handler.validation.ValidationMessage;ValidationMessage;class;1;9;1;0;0;9;2;73
javabuilders80332;org.javabuilders.test.LayoutConstraintsTest;LayoutConstraintsTest;class;3;7;1;0;21;7;0;94
javabuilders80332;org.javabuilders.swt.handler.event.background.SWTBackgroundProcessingHandler;SWTBackgroundProcessingHandler;class;8;18;1;0;10;3;1;73
javabuilders80332;org.javabuilders.swing.samples.MigLayoutPanel2;MigLayoutPanel2;class;4;13;6;0;28;8;1;72
javabuilders80332;org.javabuilders.swing.handler.event.JTableSelectionListenerHandler;JTableSelectionListenerHandler;class;9;8;2;0;15;5;3;67
javabuilders80332;org.javabuilders.swing.test.resources.BooksPanel;BooksPanel;class;1;2;5;0;0;2;1;20
javabuilders80332;org.javabuilders.swing.test.issues.resources.Issue67;Issue67;class;0;1;5;0;0;1;0;8
javabuilders80332;org.javabuilders.swing.handler.property.JMenuItemAcceleratorHandler;JMenuItemAcceleratorHandler;class;5;7;2;0;10;5;1;61
javabuilders80332;org.javabuilders.swing.test.issues.resources.BindingPanel;BindingPanel;class;1;5;5;0;2;5;6;33
javabuilders80332;org.javabuilders.swing.plugin.glazedlists.compiler.CharSequenceJavaFileObject;CharSequenceJavaFileObject;class;0;2;1;0;0;2;1;38
javabuilders80332;org.javabuilders.swt.worker.AccumulativeRunnable;AccumulativeRunnable;class;2;13;1;0;17;7;2;152
javabuilders80332;org.javabuilders.event.BuildListener;BuildListener;interface;1;2;1;0;1;2;0;18
javabuilders80332;org.javabuilders.handler.validation.validator.DateFormatValidator;DateFormatValidator;class;5;9;2;0;0;6;2;79
javabuilders80332;org.javabuilders.swing.handler.type.JFormattedTextFieldHandler;JFormattedTextFieldHandler;class;6;24;2;0;8;5;15;111
javabuilders80332;org.javabuilders.IAllowedPropertyFormat;IAllowedPropertyFormat;interface;0;2;1;0;1;2;0;25
javabuilders80332;org.javabuilders.swing.samples.resources.Person;Person;class;0;9;1;0;8;9;3;54
javabuilders80332;org.javabuilders.handler.AbstractPropertyHandler;AbstractPropertyHandler;class;1;3;1;27;0;3;1;35
javabuilders80332;org.javabuilders.swing.handler.type.ActionAsValueHandler;ActionAsValueHandler;class;5;10;1;0;15;6;1;54
javabuilders80332;org.javabuilders.handler.ITypeAsValueHandler;ITypeAsValueHandler;interface;4;3;1;0;3;3;0;30
javabuilders80332;org.javabuilders.gtk.handler.type.HScaleTypeHandler;HScaleTypeHandler;class;6;4;2;0;6;4;0;45
javabuilders80332;org.javabuilders.BuilderConfig;BuilderConfig;class;19;105;1;6;1216;52;26;654
javabuilders80332;org.javabuilders.handler.type.IconAsValueHandler;IconAsValueHandler;class;5;8;1;0;13;6;2;57
javabuilders80332;org.javabuilders.NamedObjectProperty;NamedObjectProperty;class;1;12;1;0;6;8;2;71
javabuilders80332;org.javabuilders.test.TestBuilderConfig;TestBuilderConfig;class;1;1;2;0;0;1;0;16
javabuilders80332;org.javabuilders.util.Preconditions;Preconditions;class;1;3;1;0;0;1;0;20
javabuilders80332;org.javabuilders.handler.validation.ICustomValidator;ICustomValidator;interface;2;1;1;0;0;1;0;11
javabuilders80332;org.javabuilders.swing.plugin.glazedlists.handler.GlazedListsUtils;GlazedListsUtils;class;12;9;1;0;1;2;1;102
javabuilders80332;org.javabuilders.event.IBackgroundCallback;IBackgroundCallback;interface;0;1;1;0;0;1;0;13
javabuilders80332;org.javabuilders.gtk.GtkJavaBuilder;GtkJavaBuilder;class;3;4;1;0;6;4;1;42
javabuilders80332;org.javabuilders.layout.mig.MigLayoutCommon;MigLayoutCommon;class;2;26;1;0;0;1;5;95
javabuilders80332;org.javabuilders.swing.plugin.glazedlists.handler.BaseWritableTableFormat;BaseWritableTableFormat;class;3;3;2;0;1;3;1;27
javabuilders80332;org.javabuilders.gtk.handler.type.FileChooserButtonTypeHandler;FileChooserButtonTypeHandler;class;7;6;2;0;6;4;0;47
javabuilders80332;org.javabuilders.handler.ITypeHandlerFinishProcessor;ITypeHandlerFinishProcessor;interface;3;1;1;0;0;1;0;23
javabuilders80332;org.javabuilders.swing.plugins.glazedlists.test.resource.Issue126;Issue126;class;3;1;5;0;0;1;1;11
javabuilders80332;org.javabuilders.swing.test.issues.resources.Issue23_Exception;Issue23_Exception;class;1;0;6;0;0;0;1;7
javabuilders80332;org.javabuilders.swing.handler.event.JFrameWindowListenerHandler;JFrameWindowListenerHandler;class;6;38;3;0;91;4;1;129
javabuilders80332;org.javabuilders.swing.handler.type.TableColumnTypeHandler;TableColumnTypeHandler;class;6;29;2;0;13;6;7;130
javabuilders80332;org.javabuilders.swing.handler.event.JTabbedPaneChangeListenerHandler;JTabbedPaneChangeListenerHandler;class;9;7;2;0;19;6;3;71
javabuilders80332;org.javabuilders.event.IBindingListener;IBindingListener;interface;2;1;1;0;0;1;0;16
