file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
liferay-development1382281;com.liferay.training.ipc.CatcherPortlet;CatcherPortlet;class;10;6;2;0;6;4;2;40
liferay-development1382281;com.liferay.training.library.service.persistence.PublisherPersistence;PublisherPersistence;interface;4;24;1;0;276;24;0;316
liferay-development1382281;com.liferay.training.library.service.PublisherLocalServiceClp;PublisherLocalServiceClp;class;11;110;1;0;171;19;18;494
liferay-development1382281;com.liferay.training.library.service.PublisherLocalService;PublisherLocalService;interface;6;17;1;0;136;17;0;226
liferay-development1382281;com.liferay.training.library.model.impl.PublisherImpl;PublisherImpl;class;2;1;3;0;0;1;0;33
liferay-development1382281;com.liferay.training.library.service.persistence.PublisherUtil;PublisherUtil;class;7;37;1;0;595;35;1;455
liferay-development1382281;com.liferay.training.library.portlet.PublisherPortlet;PublisherPortlet;class;8;13;2;0;10;5;0;106
liferay-development1382281;com.liferay.training.library.model.impl.BookImpl;BookImpl;class;2;1;3;0;0;1;0;33
liferay-development1382281;com.liferay.training.mvc.MyMVCPortlet;MyMVCPortlet;class;3;1;2;0;0;1;0;16
liferay-development1382281;com.liferay.training.library.model.Publisher;Publisher;interface;1;0;1;0;0;0;0;34
liferay-development1382281;com.liferay.training.library.model.BookClp;BookClp;class;6;54;2;0;496;32;7;262
liferay-development1382281;com.liferay.training.library.service.PublisherLocalServiceWrapper;PublisherLocalServiceWrapper;class;4;20;1;0;190;20;1;251
liferay-development1382281;com.liferay.training.library.service.PublisherLocalServiceUtil;PublisherLocalServiceUtil;class;7;22;1;0;190;20;1;279
liferay-development1382281;com.liferay.training.library.model.BookWrapper;BookWrapper;class;5;40;1;0;780;40;1;271
liferay-development1382281;com.liferay.training.library.service.persistence.BookPersistenceImpl;BookPersistenceImpl;class;26;194;2;0;891;43;31;1302
liferay-development1382281;com.liferay.training.ipc.PitcherPortlet;PitcherPortlet;class;9;9;2;0;6;4;2;58
liferay-development1382281;com.liferay.training.library.model.impl.PublisherModelImpl;PublisherModelImpl;class;9;46;2;0;351;27;20;269
liferay-development1382281;com.liferay.training.library.model.PublisherWrapper;PublisherWrapper;class;5;33;1;0;528;33;1;206
