file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
loeclipse45078096;org.libreoffice.ide.eclipse.core.editors.description.DescriptionFormPage;DescriptionFormPage;class;24;11;2;0;0;7;3;196
loeclipse45078096;org.libreoffice.ide.eclipse.core.editors.registry.RegDocumentProvider;RegDocumentProvider;class;9;11;2;0;6;4;0;128
loeclipse45078096;org.libreoffice.ide.eclipse.core.gui.rows.TypeRow;TypeRow;class;11;26;3;0;20;6;5;231
loeclipse45078096;org.libreoffice.ide.eclipse.core.editors.pack.PackageDescriptionSection;PackageDescriptionSection;class;39;39;3;0;23;13;7;332
loeclipse45078096;org.libreoffice.ide.eclipse.core.internal.office.OfficeConnection;OfficeConnection;class;5;12;1;0;1;6;2;133
loeclipse45078096;org.libreoffice.ide.eclipse.core.model.config.InvalidConfigException;InvalidConfigException;class;0;3;3;0;0;3;4;100
loeclipse45078096;org.libreoffice.ide.eclipse.java.export.JavaExportPageControl;JavaExportPageControl;class;0;6;1;0;7;6;3;67
loeclipse45078096;org.libreoffice.ide.eclipse.core.editors.pack.PackageFormPage;PackageFormPage;class;14;5;2;0;3;3;3;111
loeclipse45078096;org.libreoffice.ide.eclipse.core.ResourceChangesHandler;ResourceChangesHandler;class;11;17;2;0;0;4;1;138
loeclipse45078096;org.libreoffice.ide.eclipse.core.launch.LaunchConfigurationTabs;LaunchConfigurationTabs;class;6;1;2;0;0;1;0;61
loeclipse45078096;org.libreoffice.ide.eclipse.core.gui.SDKTable;SDKTable;class;28;62;4;0;186;21;9;405
loeclipse45078096;org.libreoffice.ide.eclipse.core.gui.OverlayImageIcon;OverlayImageIcon;class;5;8;2;0;0;4;8;141
loeclipse45078096;org.libreoffice.ide.eclipse.core.model.language.AbstractLanguage;AbstractLanguage;class;11;18;1;1;16;8;1;128
loeclipse45078096;org.libreoffice.ide.eclipse.core.editors.syntax.UnoidlScanner;UnoidlScanner;class;13;5;2;0;0;1;1;100
loeclipse45078096;org.libreoffice.ide.eclipse.core.editors.syntax.UnoidlPreprocessorScanner;UnoidlPreprocessorScanner;class;12;2;2;0;0;1;1;99
loeclipse45078096;org.libreoffice.ide.eclipse.core.model.config.NullExtraOptionsProvider;NullExtraOptionsProvider;class;1;1;1;0;0;1;0;13
loeclipse45078096;org.libreoffice.ide.eclipse.core.editors.syntax.UnoidlWhiteSpaceDetector;UnoidlWhiteSpaceDetector;class;1;1;1;0;0;1;0;58
loeclipse45078096;com.artofsolving.jodconverter.openoffice.connection.PipeOpenOfficeConnection;PipeOpenOfficeConnection;class;1;2;2;0;1;2;1;34
loeclipse45078096;org.libreoffice.ide.eclipse.core.internal.helpers.Messages;Messages;class;0;3;1;0;1;2;2;74
loeclipse45078096;org.libreoffice.ide.eclipse.core.launch.MainImplementationsProvider;MainImplementationsProvider;class;9;12;1;0;1;2;0;108
loeclipse45078096;org.libreoffice.ide.eclipse.core.model.language.LanguagesHelper;LanguagesHelper;class;6;17;1;0;3;3;0;133
loeclipse45078096;org.libreoffice.ide.eclipse.core.actions.NewUnoProjectAction;NewUnoProjectAction;class;8;5;1;0;8;5;1;101
loeclipse45078096;org.libreoffice.ide.eclipse.core.editors.syntax.UnoidlPartitionScanner;UnoidlPartitionScanner;class;7;1;2;0;0;1;3;75
loeclipse45078096;org.libreoffice.plugin.core.utils.ZipContent;ZipContent;class;1;8;1;0;0;3;3;108
loeclipse45078096;org.libreoffice.ide.eclipse.java.JavaWizardPage;JavaWizardPage;class;9;7;3;0;0;4;4;110
loeclipse45078096;org.libreoffice.ide.eclipse.java.JavaResourceDeltaVisitor;JavaResourceDeltaVisitor;class;7;28;1;0;6;4;0;183
loeclipse45078096;org.libreoffice.ide.eclipse.core.gui.ITableElement;ITableElement;interface;1;6;1;0;15;6;0;95
loeclipse45078096;org.libreoffice.ide.eclipse.core.gui.PackageContentSelector;PackageContentSelector;class;19;32;2;0;25;9;2;248
loeclipse45078096;org.libreoffice.ide.eclipse.core.model.CompositeFactory;CompositeFactory;class;6;67;1;0;105;15;0;543
loeclipse45078096;org.libreoffice.ide.eclipse.core.wizards.Messages;Messages;class;0;3;1;0;1;2;2;74
loeclipse45078096;org.libreoffice.ide.eclipse.core.gui.rows.IFieldChangedListener;IFieldChangedListener;interface;1;1;1;0;0;1;0;59
loeclipse45078096;org.libreoffice.ide.eclipse.core.wizards.utils.IListenablePage;IListenablePage;interface;1;2;1;0;1;2;0;63
