file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
lucene-solr5574264;org.apache.lucene.queryparser.flexible.standard.builders.NumericRangeQueryNodeBuilder;NumericRangeQueryNodeBuilder;class;13;6;1;0;1;2;0;75
lucene-solr5574264;org.apache.lucene.analysis.ngram.EdgeNGramTokenizer;EdgeNGramTokenizer;class;7;41;4;0;11;14;13;219
lucene-solr5574264;org.apache.lucene.facet.index.params.CategoryListParamsTest;CategoryListParamsTest;class;4;3;3;0;3;3;0;76
lucene-solr5574264;org.apache.lucene.search.grouping.GroupFacetCollectorTest;GroupFacetCollectorTest;class;21;116;4;0;75;12;12;569
lucene-solr5574264;org.apache.solr.common.cloud.HashPartitioner;HashPartitioner;class;1;3;1;0;1;2;2;53
lucene-solr5574264;org.apache.solr.common.params.GroupParams;GroupParams;interface;0;0;1;0;0;0;16;57
lucene-solr5574264;org.apache.lucene.analysis.pattern.TestPatternReplaceFilter;TestPatternReplaceFilter;class;8;10;4;0;45;7;0;107
lucene-solr5574264;org.apache.lucene.analysis.cn.smart.TestSmartChineseAnalyzer;TestSmartChineseAnalyzer;class;12;27;4;0;231;20;0;221
lucene-solr5574264;org.apache.lucene.index.TestPKIndexSplitter;TestPKIndexSplitter;class;9;14;3;0;6;4;0;102
lucene-solr5574264;org.apache.solr.update.processor.FieldValueMutatingUpdateProcessor;FieldValueMutatingUpdateProcessor;class;6;10;3;0;6;4;2;70
lucene-solr5574264;org.apache.lucene.codecs.sep.IntIndexInput;IntIndexInput;class;5;12;1;1;34;9;1;60
lucene-solr5574264;org.apache.solr.analysis.StandardTokenizerFactory;StandardTokenizerFactory;class;2;2;3;0;0;2;1;48
lucene-solr5574264;org.apache.lucene.search.similarities.TestSimilarity2;TestSimilarity2;class;22;21;3;0;0;8;1;227
lucene-solr5574264;org.apache.solr.search.TestExtendedDismaxParser;TestExtendedDismaxParser;class;1;17;4;0;66;12;0;510
lucene-solr5574264;org.apache.lucene.document.StoredField;StoredField;class;4;9;2;0;0;8;1;59
lucene-solr5574264;org.apache.solr.response.transform.TransformerFactory;TransformerFactory;class;10;3;1;1;1;2;2;43
lucene-solr5574264;org.apache.lucene.benchmark.byTask.tasks.RollbackIndexTask;RollbackIndexTask;class;4;6;2;0;1;2;1;45
lucene-solr5574264;org.apache.lucene.index.TestLazyProxSkipping;TestLazyProxSkipping;class;23;26;7;0;34;15;7;194
lucene-solr5574264;org.apache.lucene.index.TestNoMergePolicy;TestNoMergePolicy;class;4;7;3;0;6;4;0;62
lucene-solr5574264;org.apache.lucene.index.TieredMergePolicy;TieredMergePolicy;class;10;145;2;0;457;33;10;581
lucene-solr5574264;org.apache.solr.analysis.TestGermanNormalizationFilterFactory;TestGermanNormalizationFilterFactory;class;4;1;4;0;0;1;0;33
lucene-solr5574264;org.apache.lucene.analysis.nl.DutchStemmer;DutchStemmer;class;0;98;1;0;0;18;5;375
lucene-solr5574264;org.apache.solr.handler.clustering.carrot2.LuceneCarrot2StemmerFactory;LuceneCarrot2StemmerFactory;class;27;28;1;0;18;9;7;211
lucene-solr5574264;org.apache.solr.core.TestJmxMonitoredMap;TestJmxMonitoredMap;class;11;18;3;0;52;12;4;181
lucene-solr5574264;org.apache.lucene.codecs.lucene40.values.Floats;Floats;class;15;11;9;0;6;9;6;109
lucene-solr5574264;org.apache.lucene.queryparser.surround.query.ComposedQuery;ComposedQuery;class;3;29;2;3;89;15;3;102
lucene-solr5574264;org.apache.lucene.util.TestSortedVIntList;TestSortedVIntList;class;4;51;3;0;322;28;5;178
lucene-solr5574264;org.apache.solr.client.solrj.impl.BasicHttpSolrServerTest;BasicHttpSolrServerTest;class;22;39;8;0;80;17;3;388
lucene-solr5574264;org.apache.lucene.analysis.CannedTokenStream;CannedTokenStream;class;7;4;3;0;0;2;7;56
