file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
mockito6207167;org.mockito.internal.invocation.InvocationMatcherTest;InvocationMatcherTest;class;11;14;2;0;43;14;2;150;
mockito6207167;org.mockito.internal.progress.AtLeastTest;AtLeastTest;class;2;3;2;0;1;2;0;26;
mockito6207167;org.mockito.internal.stubbing.answers.ReturnsArgumentAt;ReturnsArgumentAt;class;6;28;1;0;24;9;3;117;
mockito6207167;org.mockito.exceptions.base.MockitoInitializationException;MockitoInitializationException;class;0;2;4;0;1;2;1;14;
mockito6207167;org.mockito.internal.hamcrest.HamcrestArgumentMatcher;HamcrestArgumentMatcher;class;5;3;1;0;0;3;1;21;
mockito6207167;org.mockito.internal.stubbing.defaultanswers.GloballyConfiguredAnswer;GloballyConfiguredAnswer;class;3;1;1;0;0;1;1;21;
mockito6207167;org.mockito.internal.util.MockitoLogger;MockitoLogger;interface;0;1;1;0;0;1;0;8;
mockito6207167;org.mockito.stubbing.Answer5;Answer5;interface;7;1;1;0;0;1;0;47;
mockito6207167;org.mockito.internal.debugging.VerboseMockInvocationLoggerTest;VerboseMockInvocationLoggerTest;class;10;9;3;0;0;9;5;84;
mockito6207167;org.mockitousage.junitrunner.SilentRunnerTest;SilentRunnerTest;class;16;14;2;0;11;11;8;112;
mockito6207167;org.mockito.internal.util.MockCreationValidator;MockCreationValidator;class;3;22;1;0;10;5;0;53;
mockito6207167;org.mockitousage.stacktrace.ClickableStackTracesTest;ClickableStackTracesTest;class;4;4;2;0;1;3;1;33;
mockito6207167;org.mockito.internal.util.collections.HashCodeAndEqualsMockWrapper;HashCodeAndEqualsMockWrapper;class;1;12;1;0;0;7;1;55;
mockito6207167;org.mockito.internal.creation.bytebuddy.InlineByteBuddyMockMakerTest;InlineByteBuddyMockMakerTest;class;34;39;2;0;528;32;0;264;
mockito6207167;org.mockitousage.stacktrace.PointingStackTraceToActualInvocationTest;PointingStackTraceToActualInvocationTest;class;7;9;2;0;7;7;2;60;
mockito6207167;org.mockito.internal.runners.util.RunnerProvider;RunnerProvider;class;1;6;1;0;0;1;0;29;
mockito6207167;org.mockitousage.plugins.stacktrace.MyStackTraceCleanerProvider;MyStackTraceCleanerProvider;class;3;4;1;0;1;1;1;20;
mockito6207167;org.mockito.mock.SerializableMode;SerializableMode;enum;1;0;1;0;0;0;0;25;
mockito6207167;org.mockitousage.junitrule.InvalidTargetMockitoJUnitRuleTest;InvalidTargetMockitoJUnitRuleTest;class;7;2;1;0;0;2;4;28;
mockito6207167;org.mockitousage.stubbing.StubbingWithCustomAnswerTest;StubbingWithCustomAnswerTest;class;8;13;2;0;0;8;2;102;
mockito6207167;org.mockito.internal.junit.UnusedStubbings;UnusedStubbings;class;6;13;1;0;0;5;1;50;
mockito6207167;org.mockito.internal.configuration.injection.filter.OngoingInjector;OngoingInjector;interface;1;2;1;0;1;2;1;28;
mockito6207167;org.mockitousage.junitrule.RuleTestWithParameterConstructorTest;RuleTestWithParameterConstructorTest;class;7;2;1;0;0;2;4;31;
mockito6207167;org.mockito.internal.invocation.realmethod.DefaultRealMethod;DefaultRealMethod;class;2;2;1;0;0;2;2;17;
mockito6207167;org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator;InlineBytecodeGenerator;class;32;33;4;0;40;12;9;207;
mockito6207167;org.mockito.internal.junit.StubbingHint;StubbingHint;class;0;4;1;0;0;3;1;24;
mockito6207167;org.mockito.internal.util.reflection.AccessibilityChanger;AccessibilityChanger;class;0;3;1;0;0;2;1;27;
mockito6207167;org.mockito.internal.util.reflection.SuperTypesLastSorter;SuperTypesLastSorter;class;0;9;1;0;3;3;1;52;
mockito6207167;org.mockito.internal.creation.bytebuddy.SubclassByteBuddyMockMakerTest;SubclassByteBuddyMockMakerTest;class;5;7;2;0;21;6;0;42;
