file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
monticore42050188;de.monticore.codegen.mc2cd.manipul.VisibilityManipulation;VisibilityManipulation;class;9;10;1;0;6;4;0;87;
monticore42050188;de.monticore.generating.templateengine.CodeHookPointMock;CodeHookPointMock;class;3;3;3;0;0;3;1;53;
monticore42050188;de.monticore.codegen.mc2cd.transl.NonTerminalsWithSymbolReferenceToCDAttributeStereotypes;NonTerminalsWithSymbolReferenceToCDAttributeStereotypes;class;10;8;1;0;0;1;0;64;
monticore42050188;de.monticore.antlr4.MCParser;MCParser;class;11;31;2;0;77;14;4;120;
monticore42050188;de.monticore.symboltable.mocks.languages.scandentity.CompositeScAndEntitySymbolTableCreator;CompositeScAndEntitySymbolTableCreator;class;9;7;2;0;1;2;0;50;
monticore42050188;de.se_rwth.langeditor.modelpath.ModelPathContainer;ModelPathContainer;class;6;6;1;0;4;5;1;65;
monticore42050188;de.se_rwth.langeditor.texteditor.SourceViewerConfigurationImpl;SourceViewerConfigurationImpl;class;18;6;2;0;9;6;3;76;
monticore42050188;$.MyElementSymbolReference;MyElementSymbolReference;class;4;5;2;0;0;5;1;27;
monticore42050188;mc.feature.embedding.EmbedTest;EmbedTest;class;3;5;2;0;10;5;0;57;
monticore42050188;de.monticore.codegen.parser.antlr.AntlrTool;AntlrTool;class;9;20;2;0;19;7;1;135;
monticore42050188;de.monticore.codegen.symboltable.SymbolGenerator;SymbolGenerator;interface;4;1;1;0;0;1;0;29;
monticore42050188;de.monticore.types.WildcardTypesTest;WildcardTypesTest;class;2;5;1;0;3;3;0;63;
monticore42050188;mc.feature.interfaces.InterfacesTest;InterfacesTest;class;5;1;2;0;0;1;0;41;
monticore42050188;de.monticore.grammar.LexNamer;LexNamer;class;1;23;1;0;13;6;4;137;
monticore42050188;de.monticore.codegen.cd2java.visitor.VisitorGenerator;VisitorGenerator;class;9;2;1;0;1;2;1;94;
monticore42050188;mc.feature.hwc.tagging2._ast.ASTTagElement;ASTTagElement;class;1;9;2;0;3;3;0;22;
monticore42050188;de.monticore.generating.templateengine.reporting.artifacts.ReportingNameHelper;ReportingNameHelper;class;0;24;1;0;36;9;0;121;
monticore42050188;de.monticore.symboltable.mocks.languages.scandentity.Entity2StateAdapter;Entity2StateAdapter;class;3;2;3;0;0;2;1;40;
monticore42050188;de.monticore.symboltable.resolving.ResolvedSeveralEntriesException;ResolvedSeveralEntriesException;class;2;3;4;0;0;3;2;41;
monticore42050188;de.monticore.grammar.cocos.UsedNTNotDefined;UsedNTNotDefined;class;4;4;1;0;0;1;2;50;
monticore42050188;de.monticore.symboltable.serializing.cycle.CycleC;CycleC;class;1;2;1;0;0;2;2;35;
monticore42050188;de.monticore.symboltable.CommonScope;CommonScope;class;14;128;1;5;1647;67;9;514;
monticore42050188;de.monticore.prettyprint.AstPrettyPrinter;AstPrettyPrinter;interface;1;1;1;0;0;1;0;18;
monticore42050188;de.monticore.codegen.symboltable.CommonModelingLanguageGenerator;CommonModelingLanguageGenerator;class;5;1;1;0;0;1;0;45;
monticore42050188;mc.embedding.external.HostTest;HostTest;class;7;1;2;0;0;1;0;42;
monticore42050188;de.monticore.genericgraphics.controller.editparts.connections.IMCConnectionEditPart;IMCConnectionEditPart;interface;2;0;1;0;0;0;0;26;
monticore42050188;de.monticore.genericgraphics.view.layout.IConnectionType;IConnectionType;interface;1;1;1;0;0;1;0;45;
monticore42050188;de.monticore.symboltable.SymbolTableCreatorTest;SymbolTableCreatorTest;class;18;1;1;0;0;1;0;95;
monticore42050188;de.monticore.genericgraphics.view.layout.kieler.MCLayoutConfig;MCLayoutConfig;class;7;35;1;0;25;10;2;138;
monticore42050188;de.monticore.codegen.symboltable.CommonSymbolTableCreatorGenerator;CommonSymbolTableCreatorGenerator;class;6;1;1;0;0;1;0;44;
monticore42050188;mc.feature.visitor.inheritance.delegator.InheritanceBVisitor;InheritanceBVisitor;class;7;21;1;0;0;21;2;127;
monticore42050188;de.monticore.codegen.cd2java.ast.AstGeneratorHelper;AstGeneratorHelper;class;7;32;3;1;91;14;1;132;
monticore42050188;de.monticore.MontiCoreGrammarLanguageFamily;MontiCoreGrammarLanguageFamily;class;2;1;2;0;0;1;0;28;
monticore42050188;de.monticore.symboltable.GlobalScopeTest;GlobalScopeTest;class;8;2;1;0;1;2;0;53;
monticore42050188;mc.embedding.external.host._symboltable.HostSymbolReference;HostSymbolReference;class;7;11;5;0;43;11;1;93;
