file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
odk837432;com.github.egonw.odk.elements.Aluminum;Aluminum;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.elements.Iridium;Iridium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.Nsp2;Nsp2;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.elements.Cesium;Cesium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.S3;S3;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.atomtypes.S2Test;S2Test;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.elements.Erbium;Erbium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.model.orbitals.OrbitalTypes;OrbitalTypes;class;1;5;1;0;1;2;0;25;
odk837432;com.github.egonw.odk.elements.Californium;Californium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.io.ODK;ODK;class;2;2;1;0;0;2;16;28;
odk837432;com.github.egonw.odk.elements.Chlorine;Chlorine;class;2;6;1;0;6;4;2;21;
odk837432;net.sf.cdk.tools.CreateAtomTypeTests;CreateAtomTypeTests;class;1;12;1;0;3;3;2;128;
odk837432;com.github.egonw.odk.atomtypes.StrioxideTest;StrioxideTest;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.atomtypes.Csp2;Csp2;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.elements.Bromine;Bromine;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.elements.Ununbium;Ununbium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.BTest;BTest;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.elements.Boron;Boron;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.NamideTest;NamideTest;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.atomtypes.I5Test;I5Test;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.modulesuites.MinterfacesTests;MinterfacesTests;class;8;0;1;0;0;0;0;36;
odk837432;com.github.egonw.odk.atomtypes.Tisp3Test;Tisp3Test;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.elements.Nitrogen;Nitrogen;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.model.MoleculeFactory;MoleculeFactory;class;9;6;1;0;0;4;1;30;
odk837432;com.github.egonw.odk.atomtypes.NthioamideTest;NthioamideTest;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.elements.Strontium;Strontium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.elements.Promethium;Promethium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.model.Atom;Atom;class;9;17;1;0;0;7;3;82;
odk837432;com.github.egonw.odk.atomtypes.Sonyl;Sonyl;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.elements.Copper;Copper;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.Tisp3;Tisp3;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.elements.Mendelevium;Mendelevium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.Ptsp;Ptsp;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.elements.Lanthanum;Lanthanum;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.model.SingleElectron;SingleElectron;class;3;7;1;0;0;5;2;32;
odk837432;com.github.egonw.odk.atomtypes.Namide;Namide;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.elements.Francium;Francium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.Nsp3Test;Nsp3Test;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.model.orbitals.Dsp;Dsp;class;3;6;1;0;4;4;2;26;
odk837432;com.github.egonw.odk.atomtypes.Osp3Test;Osp3Test;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.elements.Zirconium;Zirconium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.BrTest;BrTest;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.atomtypes.SinylTest;SinylTest;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.elements.Samarium;Samarium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.elements.Silver;Silver;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.SonylTest;SonylTest;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.interfaces.IFactory;IFactory;interface;1;1;1;0;0;1;0;4;
odk837432;com.github.egonw.odk.elements.Tantalum;Tantalum;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.GeTest;GeTest;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.atomtypes.AtomTypes;AtomTypes;class;1;1;1;0;0;0;1;50;
odk837432;com.github.egonw.odk.atomtypes.I;I;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.atomtypes.ITest;ITest;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.elements.Holmium;Holmium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.elements.Gadolinium;Gadolinium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.elements.Neon;Neon;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.elements.Calcium;Calcium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.elements.Palladium;Palladium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.Se3;Se3;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.elements.Yttrium;Yttrium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.elements.Tellurium;Tellurium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.model.orbitals.Sp3;Sp3;class;3;6;1;0;4;4;2;20;
odk837432;com.github.egonw.odk.atomtypes.I3Test;I3Test;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.atomtypes.Nthioamide;Nthioamide;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.elements.Rhodium;Rhodium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.Pine;Pine;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.atomtypes.Pse3;Pse3;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.elements.Radium;Radium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.Sinyl2;Sinyl2;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.elements.Neptunium;Neptunium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.elements.Polonium;Polonium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.Cl;Cl;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.atomtypes.I3;I3;class;4;8;1;0;15;6;1;39;
odk837432;com.github.egonw.odk.atomtypes.NoxideTest;NoxideTest;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.elements.Phosphorus;Phosphorus;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.elements.Ruthenium;Ruthenium;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.matrix.IMolecularMatrix;IMolecularMatrix;interface;1;6;1;0;15;6;0;11;
odk837432;com.github.egonw.odk.atomtypes.Nsp2Test;Nsp2Test;class;6;5;1;0;10;5;0;46;
odk837432;com.github.egonw.odk.elements.Nickel;Nickel;class;2;6;1;0;6;4;2;21;
odk837432;com.github.egonw.odk.atomtypes.ClTest;ClTest;class;6;5;1;0;10;5;0;46;
