file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
org.eclipse.sirius13265370;org.eclipse.sirius.viewpoint.description.style.provider.TooltipStyleDescriptionItemProvider;TooltipStyleDescriptionItemProvider;class;14;12;2;0;28;8;0;138;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.sequence.business.internal.operation.SynchronizeGraphicalOrderingOperation;SynchronizeGraphicalOrderingOperation;class;6;14;2;0;0;2;2;77;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.ui.tools.internal.layout.AdvancedSiriusLayoutDataManager;AdvancedSiriusLayoutDataManager;interface;3;3;1;0;3;3;0;44;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.ui.internal.refresh.GMFHelper;GMFHelper;class;55;163;1;0;378;28;1;700;
org.eclipse.sirius13265370;org.eclipse.sirius.editor.properties.ViewpointLabelProvider;ViewpointLabelProvider;class;10;36;2;0;6;4;1;120;
org.eclipse.sirius13265370;org.eclipse.sirius.description.contribution.FeatureContribution;FeatureContribution;interface;2;4;1;0;6;4;0;92;
org.eclipse.sirius13265370;org.eclipse.sirius.editor.tools.internal.outline.VSMOutlineCallback;VSMOutlineCallback;class;4;4;1;0;0;2;1;41;
org.eclipse.sirius13265370;org.eclipse.sirius.table.metamodel.table.description.impl.BackgroundConditionalStyleImpl;BackgroundConditionalStyleImpl;class;9;41;1;0;52;13;3;251;
org.eclipse.sirius13265370;org.eclipse.sirius.business.internal.movida.registry.monitoring.CompositeResourceMonitor;CompositeResourceMonitor;class;4;16;2;0;0;6;3;145;
org.eclipse.sirius13265370;org.eclipse.sirius.tests.unit.diagram.sequence.CombinedFragmentsTests;CombinedFragmentsTests;class;14;8;6;0;22;8;50;233;
org.eclipse.sirius13265370;org.eclipse.sirius.sample.interactions.impl.OperandImpl;OperandImpl;class;7;35;2;0;40;12;3;224;
org.eclipse.sirius13265370;org.eclipse.sirius.tests.unit.diagram.filter.DiagramListenersTests;DiagramListenersTests;class;15;17;5;0;9;3;7;131;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.description.style.provider.ContainerStyleDescriptionItemProvider;ContainerStyleDescriptionItemProvider;class;7;37;3;2;171;19;0;314;
org.eclipse.sirius13265370;org.eclipse.sirius.business.api.query.AirDResouceQuery;AirDResouceQuery;class;6;11;1;0;0;3;2;70;
org.eclipse.sirius13265370;org.eclipse.sirius.tests.swtbot.tree.TreeItemMappingTest;TreeItemMappingTest;class;11;25;4;0;0;10;20;376;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.tools.api.layout.PinHelper;PinHelper;class;11;24;1;0;22;6;1;178;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.ui.tools.api.part.DiagramEditPartService;DiagramEditPartService;class;36;99;2;0;186;20;3;563;
org.eclipse.sirius13265370;org.eclipse.sirius.common.tools.api.interpreter.VariableManager;VariableManager;class;3;21;1;0;0;8;1;120;
org.eclipse.sirius13265370;org.eclipse.sirius.tests.unit.diagram.modeler.ecore.documentation.EntitiesDiagramDropTests;EntitiesDiagramDropTests;class;4;2;5;0;1;2;0;53;
org.eclipse.sirius13265370;org.eclipse.sirius.properties.provider.ViewExtensionDescriptionItemProviderSpec;ViewExtensionDescriptionItemProviderSpec;class;5;4;3;0;3;3;0;52;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.description.tool.TargetEdgeViewCreationVariable;TargetEdgeViewCreationVariable;interface;2;0;1;0;0;0;0;25;
org.eclipse.sirius13265370;org.eclipse.sirius.editor.properties.filters.description.computedcolor.ComputedColorRedFilter;ComputedColorRedFilter;class;4;2;2;0;1;2;0;34;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.sequence.template.provider.TSequenceDiagramItemProvider;TSequenceDiagramItemProvider;class;11;21;3;0;55;11;0;189;
org.eclipse.sirius13265370;org.eclipse.sirius.business.api.query.ResourceQuery;ResourceQuery;class;7;13;1;1;0;6;1;122;
org.eclipse.sirius13265370;org.eclipse.sirius.editor.properties.filters.style.labelborderstyledescription.LabelBorderStyleDescriptionIdFilter;LabelBorderStyleDescriptionIdFilter;class;4;2;2;0;1;2;0;34;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.tools.internal.command.builders.DirectEditCommandBuilder;DirectEditCommandBuilder;class;13;14;3;0;0;6;3;104;
org.eclipse.sirius13265370;org.eclipse.sirius.properties.impl.PageDescriptionImpl;PageDescriptionImpl;class;12;84;1;0;163;22;12;516;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.ui.tools.internal.layout.provider.ArrangeSelectionLayoutProvider;ArrangeSelectionLayoutProvider;class;22;34;3;0;27;9;4;234;
org.eclipse.sirius13265370;org.eclipse.sirius.tests.swtbot.sequence.ExecutionTests;ExecutionTests;class;16;23;5;0;247;23;2;963;
org.eclipse.sirius13265370;org.eclipse.sirius.ui.tools.internal.views.modelexplorer.RenameActionHandler;RenameActionHandler;class;11;8;2;0;4;3;1;71;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.ui.tools.internal.views.providers.outline.OutlineContentResourceSetListener;OutlineContentResourceSetListener;class;27;75;2;0;191;20;5;297;
org.eclipse.sirius13265370;org.eclipse.sirius.table.ui.tools.internal.editor.print.PaperClipsPrintHelper;PaperClipsPrintHelper;class;25;20;1;0;51;11;2;135;
org.eclipse.sirius13265370;org.eclipse.sirius.editor.properties.validation.SiriusInterpreterErrorDecorator;SiriusInterpreterErrorDecorator;class;20;47;2;0;70;12;8;236;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.business.internal.metamodel.description.spec.DiagramDescriptionSpec;DiagramDescriptionSpec;class;19;7;3;1;21;7;0;98;
org.eclipse.sirius13265370;org.eclipse.sirius.sample.interactions.impl.StateImpl;StateImpl;class;8;69;2;0;103;18;5;351;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.business.internal.metamodel.description.tool.spec.EdgeCreationDescriptionSpec;EdgeCreationDescriptionSpec;class;6;6;6;0;0;1;0;46;
org.eclipse.sirius13265370;org.eclipse.sirius.tree.impl.TreePackageImpl;TreePackageImpl;class;20;30;2;0;103;22;9;419;
org.eclipse.sirius13265370;org.eclipse.sirius.business.internal.session.parser.SiriusSaxParserNormalAbortException;SiriusSaxParserNormalAbortException;class;1;1;4;0;0;1;1;34;
org.eclipse.sirius13265370;org.eclipse.sirius.properties.provider.ListDescriptionItemProvider;ListDescriptionItemProvider;class;9;22;4;1;55;11;0;183;
org.eclipse.sirius13265370;org.eclipse.sirius.table.business.internal.metamodel.description.spec.CreateCellToolSpec;CreateCellToolSpec;class;5;3;3;0;0;1;0;35;
org.eclipse.sirius13265370;org.eclipse.sirius.tests.swtbot.sequence.AbstractActionDisabledOnSequenceDiagramTest;AbstractActionDisabledOnSequenceDiagramTest;class;9;20;5;2;78;13;0;159;
org.eclipse.sirius13265370;org.eclipse.sirius.tests.sample.docbook.parts.SimpleListPropertiesEditionPart;SimpleListPropertiesEditionPart;interface;0;1;1;0;0;1;0;29;
org.eclipse.sirius13265370;org.eclipse.sirius.business.internal.metamodel.helper.ComponentizationHelper;ComponentizationHelper;class;7;15;1;0;10;5;0;89;
org.eclipse.sirius13265370;org.eclipse.sirius.viewpoint.impl.DFeatureExtensionImpl;DFeatureExtensionImpl;class;6;23;1;0;24;9;1;158;
org.eclipse.sirius13265370;org.eclipse.sirius.editor.wizards.ToolModelWizard;ToolModelWizard;class;47;62;4;0;140;18;11;418;
org.eclipse.sirius13265370;org.eclipse.sirius.tests.unit.api.layers.MultipleMappingImportTests;MultipleMappingImportTests;class;16;33;5;0;210;20;0;368;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.ui.tools.internal.figure.ContainerWithTitleBlockFigure;ContainerWithTitleBlockFigure;class;17;28;2;0;21;10;2;198;
org.eclipse.sirius13265370;org.eclipse.sirius.sample.ecore.design.action.CreateDynamicInstanceAction;CreateDynamicInstanceAction;class;14;15;1;0;3;3;1;83;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.sequence.template.provider.TSourceTargetMessageMappingItemProvider;TSourceTargetMessageMappingItemProvider;class;7;15;5;0;36;9;0;153;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.ui.tools.internal.ruler.SiriusSnapToGeometry;SiriusSnapToGeometry;class;19;33;3;0;4;5;1;166;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.sequence.business.internal.RangeHelper;RangeHelper;class;8;14;1;0;91;14;0;125;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.ui.business.internal.migration.description.AcceleoExpressionsMigrationParticipant;AcceleoExpressionsMigrationParticipant;class;6;8;3;0;0;2;2;47;
org.eclipse.sirius13265370;org.eclipse.sirius.business.internal.migration.DRepresentationDescriptorCreationMigrationParticipant;DRepresentationDescriptorCreationMigrationParticipant;class;8;6;3;0;1;2;2;48;
org.eclipse.sirius13265370;org.eclipse.sirius.diagram.ui.internal.edit.parts.WorkspaceImageEditPart;WorkspaceImageEditPart;class;28;29;3;0;60;13;3;200;
org.eclipse.sirius13265370;org.eclipse.sirius.table.editor.properties.filters.description.linemapping.LineMappingDomainClassFilter;LineMappingDomainClassFilter;class;4;2;2;0;1;2;0;34;
org.eclipse.sirius13265370;org.eclipse.sirius.viewpoint.description.tool.provider.RepresentationCreationDescriptionItemProvider;RepresentationCreationDescriptionItemProvider;class;10;20;4;0;45;10;0;180;
org.eclipse.sirius13265370;org.eclipse.sirius.viewpoint.description.validation.ValidationRule;ValidationRule;interface;7;8;1;0;28;8;0;158;
