file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
photran2846665;org.eclipse.photran.internal.core.parser.ASTIfConstructNode;ASTIfConstructNode;class;10;44;2;0;39;14;5;111;
photran2846665;org.eclipse.photran.internal.ui.search.OpenSearchPageAction;OpenSearchPageAction;class;6;12;1;0;9;6;1;77;
photran2846665;org.eclipse.photran.internal.core.util.Worklist;Worklist;class;2;16;1;0;57;12;2;105;
photran2846665;org.eclipse.photran.internal.tests.parser.ParseRegressionTestFilesFree;ParseRegressionTestFilesFree;class;3;1;1;0;0;1;0;21;
photran2846665;org.eclipse.photran.internal.core.preprocessor.c.MacroExpansionTracker;MacroExpansionTracker;class;11;77;1;0;97;22;12;309;
photran2846665;org.eclipse.photran.internal.core.parser.ASTDataStmtConstantNode;ASTDataStmtConstantNode;class;5;28;2;0;6;8;4;80;
photran2846665;org.eclipse.photran.internal.core.parser.ASTElseWherePartNode;ASTElseWherePartNode;class;6;20;2;0;6;8;2;74;
photran2846665;org.eclipse.photran.internal.core.preprocessor.c.TokenUtil;TokenUtil;class;1;104;1;0;3;3;9;132;
photran2846665;org.eclipse.photran.internal.core.parser.ASTLblRefNode;ASTLblRefNode;class;4;12;2;0;3;6;1;62;
photran2846665;org.eclipse.photran.internal.core.parser.ASTMaskedElseWhereConstructNode;ASTMaskedElseWhereConstructNode;class;9;44;2;0;39;14;5;110;
photran2846665;org.eclipse.photran.internal.core.refactoring.CommonVarNamesRefactoring;CommonVarNamesRefactoring;class;19;61;9;0;188;24;17;330;
photran2846665;org.eclipse.photran.internal.core.parser.ASTHPStructureDeclNode;ASTHPStructureDeclNode;class;14;56;2;0;24;12;9;119;
photran2846665;org.eclipse.photran.internal.core.parser.ASTAllocatableStmtNode;ASTAllocatableStmtNode;class;7;36;2;0;6;8;6;87;
photran2846665;org.eclipse.photran.internal.core.preprocessor.c.InternalParserUtil;InternalParserUtil;class;3;4;2;0;0;1;0;34;
photran2846665;org.eclipse.photran.internal.core.refactoring.RemoveRealAndDoublePrecisionLoopCountersRefactoring;RemoveRealAndDoublePrecisionLoopCountersRefactoring;class;13;28;6;0;4;9;2;295;
photran2846665;org.eclipse.photran.internal.core.xlf.Activator;Activator;class;3;4;2;0;0;4;2;53;
photran2846665;org.eclipse.photran.internal.core.parser.ASTEnumDefNode;ASTEnumDefNode;class;8;28;2;0;13;10;3;87;
photran2846665;org.eclipse.photran.internal.core.parser.ASTPauseStmtNode;ASTPauseStmtNode;class;6;36;2;0;13;10;5;95;
photran2846665;org.eclipse.photran.internal.ui.refactoring.ReplaceDoLoopWithForallAction;ReplaceDoLoopWithForallAction;class;16;5;6;0;4;4;1;71;
photran2846665;org.eclipse.photran.internal.ui.refactoring.CommonVarNamesInputPage;CommonVarNamesInputPage;class;12;3;3;0;0;1;6;79;
photran2846665;org.eclipse.photran.internal.cdtinterface.ui.FortranView;FortranView;class;3;1;2;0;0;1;1;33;
photran2846665;org.eclipse.photran.internal.ui.editor_vpg.FortranVPGReconcilingStrategy;FortranVPGReconcilingStrategy;class;5;5;2;0;0;3;1;48;
photran2846665;org.eclipse.photran.internal.cdtinterface.ui.FViewLabelProvider;FViewLabelProvider;class;4;13;2;0;4;5;2;68;
photran2846665;org.eclipse.photran.internal.core.parser.ASTSubmoduleBlockNode;ASTSubmoduleBlockNode;class;6;20;2;0;6;8;2;74;
photran2846665;org.eclipse.photran.internal.core.preprocessor.c.CPreprocessor;CPreprocessor;class;56;441;1;0;989;51;57;1496;
photran2846665;org.eclipse.photran.internal.core.preprocessor.c.ILexerLog;ILexerLog;interface;2;4;1;0;6;4;1;39;
photran2846665;org.eclipse.photran.internal.core.refactoring.infrastructure.Messages;Messages;class;2;2;2;0;0;1;13;39;
photran2846665;org.eclipse.photran.internal.ui.refactoring.ExtractLocalVariableAction;ExtractLocalVariableAction;class;21;8;6;0;0;4;2;97;
photran2846665;org.eclipse.photran.internal.core.parser.ASTNamedConstantDefNode;ASTNamedConstantDefNode;class;5;24;2;0;6;8;3;77;
photran2846665;org.eclipse.photran.internal.ui.refactoring.AddVariableToDerivedDataTypeAction;AddVariableToDerivedDataTypeAction;class;21;7;6;0;0;4;3;105;
photran2846665;org.eclipse.photran.internal.core.parser.ASTLoopControlNode;ASTLoopControlNode;class;8;88;2;0;81;18;14;155;
photran2846665;org.eclipse.photran.internal.ui.views.vpgproblems.ErrorWarningFilterAction;ErrorWarningFilterAction;class;6;9;3;0;0;5;2;68;
photran2846665;org.eclipse.photran.internal.core.parser.ASTFmtSpecNode;ASTFmtSpecNode;class;5;32;2;0;13;10;4;89;
photran2846665;org.eclipse.photran.internal.core.parser.ASTOptionalStmtNode;ASTOptionalStmtNode;class;7;36;2;0;6;8;6;87;
photran2846665;org.eclipse.photran.internal.core.intel.IntelPlugin;IntelPlugin;class;3;4;2;0;0;4;1;45;
photran2846665;org.eclipse.photran.internal.core.preprocessor.c.LocationCtxFile;LocationCtxFile;class;10;30;3;0;32;9;2;109;
photran2846665;org.eclipse.photran.internal.core.parser.ASTTypeParamDeclNode;ASTTypeParamDeclNode;class;5;24;2;0;6;8;3;77;
photran2846665;org.eclipse.photran.internal.core.parser.ASTIntentParListNode;ASTIntentParListNode;class;4;16;2;0;3;6;2;65;
photran2846665;org.eclipse.photran.internal.core.preprocessor.c.ASTImageLocation;ASTImageLocation;class;31;73;8;0;1790;68;18;718;
photran2846665;org.eclipse.photran.internal.ui.editor.IDocumentCharSequence;IDocumentCharSequence;class;2;6;1;0;0;5;3;53;
photran2846665;org.eclipse.photran.internal.cdtinterface.templates.AddAllBinaryParsersProcessRunner;AddAllBinaryParsersProcessRunner;class;5;11;3;0;10;5;1;67;
photran2846665;org.eclipse.photran.internal.core.parser.ASTTypeSpecNode;ASTTypeSpecNode;class;8;141;2;0;378;33;20;238;
photran2846665;org.eclipse.photran.internal.ui.refactoring.PermuteSubroutineArgsInputPage;PermuteSubroutineArgsInputPage;class;23;71;3;0;44;13;7;289;
photran2846665;org.eclipse.photran.internal.cdtinterface.ui.editor.CDTBasedSourceViewerConfiguration;CDTBasedSourceViewerConfiguration;class;10;5;2;0;0;3;1;69;
photran2846665;org.eclipse.photran.internal.core.refactoring.IntroduceCallTreeRefactoring;IntroduceCallTreeRefactoring;class;13;50;5;0;28;8;0;186;
photran2846665;org.eclipse.photran.internal.core.parser.ASTMaskedElseWhereStmtNode;ASTMaskedElseWhereStmtNode;class;5;52;2;0;13;10;9;104;
photran2846665;org.eclipse.photran.internal.core.tests.preprocessor.c.source_reproduction.PrintBasicTestFiles;PrintBasicTestFiles;class;5;1;1;0;0;1;0;27;
photran2846665;org.eclipse.photran.internal.ui.properties.FortranSourceFormEditor;FortranSourceFormEditor;class;17;33;2;0;13;12;5;198;
photran2846665;org.eclipse.photran.internal.core.refactoring.SafeDeleteInternalSubprogramRefactoring;SafeDeleteInternalSubprogramRefactoring;class;16;32;6;0;9;6;1;126;
photran2846665;org.eclipse.photran.internal.core.util.StringUtil;StringUtil;class;1;32;1;0;66;12;0;136;
photran2846665;org.eclipse.photran.internal.core.refactoring.ExtractSubprogramToModuleRefactoring;ExtractSubprogramToModuleRefactoring;class;23;130;6;0;65;14;5;318;
photran2846665;org.eclipse.photran.internal.tests.lang.FortranLineScannerTests;FortranLineScannerTests;class;4;11;2;0;0;11;2;219;
photran2846665;org.eclipse.photran.internal.ui.menus.RefactorableResourcePropertyTester;RefactorableResourcePropertyTester;class;2;1;2;0;0;1;0;25;
