file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
picocontainer1307227;com.picocontainer.web.sample.struts.CheeseDao;CheeseDao;interface;1;4;1;0;6;4;0;21;
picocontainer1307227;com.picocontainer.web.sample.webwork1.selenium.ListAddCheese;ListAddCheese;class;2;1;1;0;0;1;0;16;
picocontainer1307227;com.picocontainer.gems.util.ConstructablePropertiesTest;ConstructablePropertiesTest;class;2;1;1;0;0;1;0;24;
picocontainer1307227;com.picocontainer.gems.behaviors.PoolingTestCase;PoolingTestCase;class;8;2;2;0;1;2;1;26;
picocontainer1307227;com.picocontainer.ChangedBehavior;ChangedBehavior;interface;3;0;1;0;0;0;0;20;
picocontainer1307227;com.picocontainer.visitors.AbstractPicoVisitor;AbstractPicoVisitor;class;3;16;5;1;0;3;1;86;
picocontainer1307227;com.picocontainer.testmodules.moduleTwo.ServiceTwo;ServiceTwo;interface;0;1;1;0;0;1;0;4;
picocontainer1307227;com.picocontainer.script.testmodel.CustomerEntityImpl;CustomerEntityImpl;class;1;1;1;0;0;1;0;17;
picocontainer1307227;com.picocontainer.injectors.JSR330AccessibleObjectOrderComparator;JSR330AccessibleObjectOrderComparator;class;1;36;1;0;21;7;0;126;
picocontainer1307227;com.picocontainer.containers.PropertiesPicoContainerTestCase;PropertiesPicoContainerTestCase;class;7;10;2;0;19;10;4;105;
picocontainer1307227;com.picocontainer.containers.CommandLinePicoContainerTestCase;CommandLinePicoContainerTestCase;class;10;19;1;0;101;18;10;174;
picocontainer1307227;com.picocontainer.security.PicoAccessPermission;PicoAccessPermission;class;1;61;2;0;0;9;13;167;
picocontainer1307227;com.picocontainer.injectors.AbstractInjector;AbstractInjector;class;18;150;23;2;888;44;11;596;
picocontainer1307227;com.picocontainer.gems.adapters.ThreadLocalReferenceTest;ThreadLocalReferenceTest;class;5;7;1;0;0;4;2;81;
picocontainer1307227;com.picocontainer.jetty.groovy.DependencyInjectionTestFilter2;DependencyInjectionTestFilter2;class;5;4;1;0;6;4;0;20;
picocontainer1307227;com.picocontainer.web.caching.JCacheProvider;JCacheProvider;class;4;4;2;0;3;1;1;27;
picocontainer1307227;com.picocontainer.web.chain.ContainerChain;ContainerChain;class;2;6;1;0;0;4;2;56;
picocontainer1307227;com.picocontainer.parameters.JSR330ComponentParameterTestCase;JSR330ComponentParameterTestCase;class;19;8;1;0;0;8;4;90;
picocontainer1307227;com.picocontainer.script.testmodel.ResourceBundleWebServerConfig;ResourceBundleWebServerConfig;class;1;5;1;0;0;3;2;34;
picocontainer1307227;com.picocontainer.defaults.issues.Issue0265TestCase;Issue0265TestCase;class;17;7;1;0;0;5;2;95;
picocontainer1307227;com.picocontainer.gems.jmx.mx4j.MX4JDynamicMBeanFactory;MX4JDynamicMBeanFactory;class;2;3;2;0;0;1;0;35;
picocontainer1307227;com.picocontainer.web.StringFromRequest;StringFromRequest;class;6;9;6;0;9;6;1;55;
picocontainer1307227;com.picocontainer.persistence.hibernate.annotations.ConstructableAnnotationConfigurationTestCase;ConstructableAnnotationConfigurationTestCase;class;5;1;2;0;0;1;0;25;
picocontainer1307227;com.picocontainer.script.testmodel.WebServerConfig;WebServerConfig;interface;0;2;1;0;1;2;0;21;
picocontainer1307227;com.picocontainer.script.AbstractContainerBuilder;AbstractContainerBuilder;class;10;22;1;2;8;5;1;92;
picocontainer1307227;com.picocontainer.script.groovy.nodes.ClasspathNode;ClasspathNode;class;3;3;2;0;1;3;2;37;
picocontainer1307227;com.picocontainer.PicoException;PicoException;class;0;4;4;10;6;4;0;53;
picocontainer1307227;com.picocontainer.injectors.TypedFieldInjection;TypedFieldInjection;class;13;23;6;0;77;12;2;146;
picocontainer1307227;com.picocontainer.adapters.InstanceAdapterTestCase;InstanceAdapterTestCase;class;17;17;2;0;108;16;1;171;
picocontainer1307227;com.picocontainer.script.xml.NonMutablePicoContainerContainerTestCase;NonMutablePicoContainerContainerTestCase;class;14;24;2;0;276;24;0;139;
picocontainer1307227;com.picocontainer.script.testmodel.WebServer;WebServer;interface;0;0;1;0;0;0;0;12;
picocontainer1307227;com.picocontainer.behaviors.AutomatingTestCase;AutomatingTestCase;class;12;11;1;0;0;11;1;145;
picocontainer1307227;com.picocontainer.monitors.NullComponentMonitorTestCase;NullComponentMonitorTestCase;class;7;6;1;0;8;5;1;56;
picocontainer1307227;com.picocontainer.modules.ModuleBuilderTestCase;ModuleBuilderTestCase;class;17;11;2;0;22;8;5;123;
picocontainer1307227;com.picocontainer.web.sample.webwork2.RemoveCheese;RemoveCheese;class;3;3;2;0;0;3;2;17;
picocontainer1307227;com.picocontainer.web.sample.ajaxemail.scenarios.pages.Main;Main;class;8;22;2;0;128;16;2;87;
picocontainer1307227;com.picocontainer.gems.behaviors.HotSwappingTestCase;HotSwappingTestCase;class;14;11;2;0;49;11;2;100;
picocontainer1307227;com.picocontainer.script.groovy.nodes.TestAppendContainerNode;TestAppendContainerNode;class;6;7;1;0;0;5;1;59;
picocontainer1307227;com.picocontainer.web.providers.defaults.NullMonitorProvider;NullMonitorProvider;class;3;1;1;0;0;1;0;16;
picocontainer1307227;com.picocontainer.web.chain.SilentChainMonitor;SilentChainMonitor;class;1;3;1;0;3;3;0;14;
picocontainer1307227;com.picocontainer.script.testmodel.TestInjection;TestInjection;class;8;2;3;0;0;2;1;27;
picocontainer1307227;com.picocontainer.script.testmodel.HasParams;HasParams;class;0;2;1;0;0;2;1;22;
picocontainer1307227;com.picocontainer.injectors.MultiInjection;MultiInjection;class;15;5;5;0;4;5;1;60;
picocontainer1307227;com.picocontainer.security.PicoAccessPermissionTestCase;PicoAccessPermissionTestCase;class;2;10;1;0;45;10;0;86;
picocontainer1307227;com.picocontainer.gems.jmx.mx4j.MX4JDynamicMBean;MX4JDynamicMBean;class;1;1;2;0;0;1;0;28;
picocontainer1307227;com.picocontainer.script.testmodel.StringBean;StringBean;class;0;5;1;0;6;5;2;31;
picocontainer1307227;com.picocontainer.behaviors.AbstractBehavior;AbstractBehavior;class;23;77;1;22;0;31;2;291;
picocontainer1307227;com.picocontainer.gems.jndi.JNDIExposing;JNDIExposing;class;13;8;4;0;15;6;0;99;
picocontainer1307227;com.picocontainer.security.SecurityWrappingPicoContainerTestCase;SecurityWrappingPicoContainerTestCase;class;30;35;1;0;179;23;5;432;
picocontainer1307227;com.picocontainer.injectors.MultiArgMemberInjector;MultiArgMemberInjector;class;17;28;8;0;47;11;3;150;
picocontainer1307227;com.picocontainer.script.testmodel.B;B;class;2;2;2;0;0;2;1;15;
picocontainer1307227;com.picocontainer.PicoLifecycleException;PicoLifecycleException;class;1;4;5;0;0;4;2;30;
picocontainer1307227;com.picocontainer.web.providers.defaults.DefaultParentPicoProvider;DefaultParentPicoProvider;class;4;1;1;0;0;1;0;10;
picocontainer1307227;com.picocontainer.defaults.SetterIntrospectorTestCase;SetterIntrospectorTestCase;class;1;13;1;0;78;13;0;57;
picocontainer1307227;com.picocontainer.web.remoting.PicoWebRemotingMonitor;PicoWebRemotingMonitor;interface;1;3;1;0;3;3;0;14;
picocontainer1307227;com.picocontainer.web.webwork2.PicoObjectFactoryTestCase;PicoObjectFactoryTestCase;class;9;3;1;0;0;2;4;43;
picocontainer1307227;com.picocontainer.injectors.packageseparatetests.PackageSeparateDerivedTestModel;PackageSeparateDerivedTestModel;class;2;2;2;0;1;2;1;12;
picocontainer1307227;com.picocontainer.logging.store.MalformedLoggerStore;MalformedLoggerStore;class;2;2;2;0;1;2;0;20;
picocontainer1307227;com.picocontainer.modules.defaults.PicoModuleSystemSPI;PicoModuleSystemSPI;interface;1;1;1;0;0;1;0;18;
picocontainer1307227;com.picocontainer.parameters.ConstantParameter;ConstantParameter;class;9;22;2;0;0;7;1;97;
picocontainer1307227;com.picocontainer.injectors.Reinjection;Reinjection;class;14;5;6;0;0;5;2;52;
picocontainer1307227;com.picocontainer.persistence.hibernate.ConstructableConfiguration;ConstructableConfiguration;class;2;5;2;0;10;5;0;37;
picocontainer1307227;com.picocontainer.script.JdkScriptingContainerBuilder;JdkScriptingContainerBuilder;class;4;27;3;0;22;5;1;160;
picocontainer1307227;com.picocontainer.jetty.groovy.TestHelper;TestHelper;class;1;5;1;0;0;1;0;17;
picocontainer1307227;com.picocontainer.injectors.NamedMethodInjectorTestCase;NamedMethodInjectorTestCase;class;5;8;1;0;3;6;1;85;
picocontainer1307227;com.picocontainer.behaviors.OptInCachingTestCase;OptInCachingTestCase;class;14;7;2;0;21;7;0;78;
picocontainer1307227;com.picocontainer.injectors.ProviderTestCase;ProviderTestCase;class;29;48;8;0;699;42;12;331;
picocontainer1307227;com.picocontainer.injectors.AnnotationInjectionUtils;AnnotationInjectionUtils;class;5;26;1;0;15;5;0;87;
picocontainer1307227;com.picocontainer.script.AbstractContainerBuilderTestCase;AbstractContainerBuilderTestCase;class;16;13;3;0;0;8;6;127;
picocontainer1307227;com.picocontainer.gems.monitors.prefuse.DependencySet;DependencySet;class;2;5;1;0;0;3;2;34;
picocontainer1307227;com.picocontainer.modules.maven.InPlaceModuleMojo;InPlaceModuleMojo;class;5;15;3;0;1;3;1;62;
picocontainer1307227;com.picocontainer.logging.store.AbstractTest;AbstractTest;class;9;22;1;3;41;10;3;168;
picocontainer1307227;com.picocontainer.gems.util.IllegalAccessRuntimeException;IllegalAccessRuntimeException;class;1;4;5;0;6;4;0;46;
picocontainer1307227;com.picocontainer.script.testmodel.X;X;class;2;5;1;0;0;5;1;33;
picocontainer1307227;com.picocontainer.lifecycle.MyStartableLifecycleStrategy;MyStartableLifecycleStrategy;class;3;6;3;0;15;6;0;28;
picocontainer1307227;com.picocontainer.behaviors.StoringTestCase;StoringTestCase;class;9;16;1;0;79;10;1;215;
picocontainer1307227;com.picocontainer.script.bsh.BeanShellScriptCompositionException;BeanShellScriptCompositionException;class;1;2;6;0;1;2;0;26;
picocontainer1307227;com.picocontainer.web.sample.ajaxemail.AjaxEmailWebRemotingMonitor;AjaxEmailWebRemotingMonitor;class;2;1;2;0;0;1;0;7;
