file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
pinternals_adapters23423115;com.pinternals.nulladapter.CCIConnectionMetaData;CCIConnectionMetaData;class;8;8;1;0;4;4;4;34;
pinternals_adapters23423115;com.pinternals.nulladapter.SPIConnectionManager;SPIConnectionManager;class;7;1;1;0;0;1;2;21;
pinternals_adapters23423115;com.pinternals.mailclientadapter.SPIManagedConnection;SPIManagedConnection;class;18;41;1;0;207;27;10;225;
pinternals_adapters23423115;com.pinternals.mailclientadapter.CCIResourceAdapterMetaData;CCIResourceAdapterMetaData;class;3;14;1;0;81;14;6;57;
pinternals_adapters23423115;com.pinternals.mailclientadapter.XISecurityUtilities;XISecurityUtilities;class;7;24;1;0;4;5;1;107;
pinternals_adapters23423115;com.pinternals.mailclientadapter.XIConfiguration;XIConfiguration;class;23;50;1;0;0;10;8;351;
pinternals_adapters23423115;com.pinternals.nulladapter.XIConst;XIConst;class;2;0;1;0;0;0;12;16;
pinternals_adapters23423115;com.pinternals.mailclientadapter.SPIManagedConnectionFactory;SPIManagedConnectionFactory;class;46;145;2;0;0;36;30;1344;
pinternals_adapters23423115;com.pinternals.nulladapter.SPIManagedConnectionMetaData;SPIManagedConnectionMetaData;class;5;9;1;0;8;5;4;37;
pinternals_adapters23423115;com.pinternals.nulladapter.CCIInteraction;CCIInteraction;class;42;87;1;0;6;12;6;666;
pinternals_adapters23423115;com.pinternals.nulladapter.SPIManagedConnection;SPIManagedConnection;class;19;41;1;0;207;27;10;226;
pinternals_adapters23423115;com.pinternals.nulladapter.XIConnectionEventListenerManager;XIConnectionEventListenerManager;class;7;18;1;0;0;4;3;72;
pinternals_adapters23423115;com.pinternals.nulladapter.CCIConnectionFactory;CCIConnectionFactory;class;24;23;1;0;0;11;6;130;
pinternals_adapters23423115;com.pinternals.mailclientadapter.CCIConnectionRequestInfo;CCIConnectionRequestInfo;class;3;11;1;0;0;7;4;51;
pinternals_adapters23423115;com.pinternals.mailclientadapter.SPIManagedConnectionMetaData;SPIManagedConnectionMetaData;class;4;9;1;0;8;5;4;36;
pinternals_adapters23423115;com.pinternals.nulladapter.XIInteractionSpecImpl;XIInteractionSpecImpl;class;6;19;1;0;0;7;5;82;
pinternals_adapters23423115;com.pinternals.mailclientadapter.XITrace;XITrace;class;3;141;1;0;0;38;14;300;
pinternals_adapters23423115;com.pinternals.mailclientadapter.XILocalizationUtilities;XILocalizationUtilities;class;4;1;1;0;0;1;0;9;
