file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
piraso2576181;org.piraso.io.IOEntrySource;IOEntrySource;interface;2;11;1;0;55;11;0;36;
piraso2576181;org.piraso.server.bridge.BridgeHttpHandlerFactory;BridgeHttpHandlerFactory;class;7;6;1;0;0;6;2;38;
piraso2576181;org.piraso.api.io.EntryReadAdapter;EntryReadAdapter;class;2;2;1;0;1;2;0;25;
piraso2576181;org.piraso.api.AbstractJacksonTest;AbstractJacksonTest;class;2;1;1;7;0;1;1;30;
piraso2576181;org.piraso.api.entry.EntryUtilsTest;EntryUtilsTest;class;2;5;1;0;10;5;0;62;
piraso2576181;org.piraso.proxy.ProxyInterceptorAware;ProxyInterceptorAware;class;2;3;1;0;0;3;2;35;
piraso2576181;org.piraso.headless.PirasoHeadless;PirasoHeadless;class;6;15;1;0;0;10;3;75;
piraso2576181;org.piraso.api.entry.MethodCallEntry;MethodCallEntry;class;8;24;2;0;205;23;9;109;
piraso2576181;org.piraso.headless.restriction.Restrictions;Restrictions;class;5;7;1;0;10;5;0;42;
piraso2576181;org.piraso.server.ContextLoggerBeanProcessor;ContextLoggerBeanProcessor;interface;3;2;1;0;1;2;0;41;
piraso2576181;org.piraso.api.entry.ElapseTimeEntry;ElapseTimeEntry;class;1;39;2;0;0;11;2;95;
piraso2576181;org.piraso.api.entry.MessageEntry;MessageEntry;class;4;9;2;0;0;9;2;52;
piraso2576181;org.piraso.headless.restriction.Restriction;Restriction;interface;1;1;1;0;0;1;0;25;
piraso2576181;org.piraso.api.PirasoConstants;PirasoConstants;class;0;0;1;0;0;0;23;56;
piraso2576181;org.piraso.server.PreferenceEvaluator;PreferenceEvaluator;class;3;7;1;0;0;5;1;43;
piraso2576181;org.piraso.server.service.AlternativeWatchedAddressProvider;AlternativeWatchedAddressProvider;interface;0;1;1;0;0;1;0;30;
piraso2576181;org.piraso.server.PirasoEntryPoint;PirasoEntryPoint;interface;0;2;1;0;1;2;0;25;
piraso2576181;org.piraso.server.bridge.HttpPirasoInitializer;HttpPirasoInitializer;interface;1;1;1;0;0;1;0;5;
piraso2576181;org.piraso.server.service.User;User;class;1;12;1;0;23;10;2;68;
piraso2576181;org.piraso.api.io.PirasoObjectLoaderRegistry;PirasoObjectLoaderRegistry;class;4;5;1;0;0;2;3;46;
piraso2576181;org.piraso.maven.util.WebappStructureSerializer;WebappStructureSerializer;class;6;8;1;0;1;3;1;104;
piraso2576181;org.piraso.api.LevelTest;LevelTest;class;2;4;1;0;6;4;0;51;
piraso2576181;org.piraso.headless.PirasoHeadlessException;PirasoHeadlessException;class;0;4;4;0;6;4;0;34;
piraso2576181;org.piraso.maven.overlay.InvalidOverlayConfigurationException;InvalidOverlayConfigurationException;class;1;2;2;0;1;2;0;39;
piraso2576181;org.piraso.api.entry.XMLAwareEntry;XMLAwareEntry;interface;0;1;1;0;0;1;0;24;
piraso2576181;org.piraso.api.converter.TypeConverterTest;TypeConverterTest;class;2;3;1;0;3;3;0;39;
piraso2576181;org.piraso.maven.WebXmlPirasoModifierTest;WebXmlPirasoModifierTest;class;3;6;1;0;1;2;0;61;
piraso2576181;org.piraso.io.IOEntryManager;IOEntryManager;class;5;22;1;0;0;10;3;89;
piraso2576181;org.piraso.maven.util.ClassesPackager;ClassesPackager;class;7;7;1;0;3;3;0;97;
piraso2576181;org.piraso.web.base.PirasoFilterTest;PirasoFilterTest;class;16;8;1;0;0;5;6;100;
piraso2576181;org.piraso.maven.util.WarUtils;WarUtils;class;4;56;1;0;3;3;0;143;
piraso2576181;org.piraso.maven.WebXmlPirasoModifier;WebXmlPirasoModifier;class;10;23;3;0;37;10;4;152;
piraso2576181;org.piraso.io.IOEntryReaderTest;IOEntryReaderTest;class;1;2;1;0;1;2;0;54;
piraso2576181;org.piraso.bridge.server.taglibs.ControlGroupStatus;ControlGroupStatus;class;1;2;1;0;0;2;1;14;
piraso2576181;org.piraso.io.impl.HttpEntrySourceTest;HttpEntrySourceTest;class;1;2;1;0;1;2;0;30;
piraso2576181;org.piraso.maven.packaging.AbstractWarPackagingTask;AbstractWarPackagingTask;class;10;37;1;5;105;10;5;380;
piraso2576181;org.piraso.server.PirasoEntryPointContext;PirasoEntryPointContext;class;4;19;1;0;45;10;0;94;
piraso2576181;org.piraso.server.PirasoContextIDGenerator;PirasoContextIDGenerator;enum;1;3;1;0;0;3;1;15;
piraso2576181;org.piraso.maven.AbstractXMLPirasoModifier;AbstractXMLPirasoModifier;class;6;6;2;2;1;3;1;62;
piraso2576181;org.piraso.web.base.PirasoHttpServletRequest;PirasoHttpServletRequest;class;5;11;1;0;0;6;1;63;
piraso2576181;org.piraso.api.entry.ResponseEntryTest;ResponseEntryTest;class;5;2;2;0;1;2;0;56;
piraso2576181;org.piraso.maven.packaging.WarPackagingTask;WarPackagingTask;interface;1;1;1;0;0;1;0;42;
piraso2576181;org.piraso.server.PirasoContextHolderTest;PirasoContextHolderTest;class;3;4;1;0;6;4;0;55;
piraso2576181;org.piraso.server.service.ResponseLoggerServiceImpl;ResponseLoggerServiceImpl;class;14;50;1;0;177;22;22;364;
piraso2576181;org.piraso.io.impl.FileEntrySourceTest;FileEntrySourceTest;class;1;2;1;0;1;2;0;30;
piraso2576181;org.piraso.client.net.HttpPirasoTestHandler;HttpPirasoTestHandler;class;13;15;2;0;19;11;6;101;
piraso2576181;org.piraso.api.entry.ThrowableEntry;ThrowableEntry;class;3;26;2;0;34;13;4;115;
piraso2576181;org.piraso.api.entry.GroupEntryTest;GroupEntryTest;class;3;2;2;0;0;1;0;40;
piraso2576181;org.piraso.proxy.RegexProxyFactory;RegexProxyFactory;class;11;23;2;0;3;15;7;122;
piraso2576181;org.piraso.bridge.server.taglibs.ScriptOutTag;ScriptOutTag;class;3;2;2;0;0;1;0;23;
piraso2576181;org.piraso.server.bridge.net.HttpPirasoIDRequestHandler;HttpPirasoIDRequestHandler;class;13;8;2;0;2;4;3;57;
piraso2576181;org.piraso.io.IOEntryVisitor;IOEntryVisitor;interface;1;1;1;0;0;1;0;25;
piraso2576181;org.piraso.server.logger.LoggerProxyFactoryTest;LoggerProxyFactoryTest;class;12;5;2;0;0;4;2;87;
piraso2576181;org.piraso.api.entry.HttpRequestEntryTest;HttpRequestEntryTest;class;4;2;2;0;1;2;0;56;
piraso2576181;org.piraso.api.entry.RegexLevelEntryAware;RegexLevelEntryAware;interface;0;0;1;0;0;0;0;24;
piraso2576181;org.piraso.server.spring.web.PirasoServlet;PirasoServlet;class;15;40;1;0;47;11;6;164;
piraso2576181;org.piraso.server.PirasoResponse;PirasoResponse;interface;0;3;1;0;3;3;0;28;
piraso2576181;org.piraso.io.IOEntryReader;IOEntryReader;class;10;32;1;0;39;19;5;132;
piraso2576181;org.piraso.proxy.RegexMethodInterceptor;RegexMethodInterceptor;class;9;25;1;0;1;7;2;117;
piraso2576181;org.piraso.server.PirasoContextHolder;PirasoContextHolder;class;1;4;1;0;0;4;1;55;
piraso2576181;org.piraso.server.GeneralPreferenceEvaluatorTest;GeneralPreferenceEvaluatorTest;class;4;3;1;0;0;3;2;46;
piraso2576181;org.piraso.proxy.RegexMethodInterceptorListener;RegexMethodInterceptorListener;interface;2;3;1;0;3;3;0;41;
piraso2576181;org.piraso.server.logger.MethodCallLoggerListener;MethodCallLoggerListener;class;10;6;1;0;0;4;5;60;
piraso2576181;org.piraso.server.bridge.BridgeLoggerServiceImpl;BridgeLoggerServiceImpl;class;15;24;2;0;78;17;5;92;
piraso2576181;org.piraso.proxy.RegexMethodInterceptorAdapter;RegexMethodInterceptorAdapter;class;3;3;1;1;3;3;0;35;
piraso2576181;org.piraso.maven.util.MappingUtils;MappingUtils;class;5;7;1;0;4;5;1;102;
piraso2576181;org.piraso.server.service.BridgeLogger;BridgeLogger;class;3;20;1;0;25;11;4;60;
piraso2576181;org.piraso.api.PirasoLogger;PirasoLogger;class;1;3;1;0;3;3;3;37;
piraso2576181;org.piraso.server.CommonMockObjects;CommonMockObjects;class;6;11;1;0;21;7;0;65;
piraso2576181;org.piraso.server.service.DefaultUserRegistryImpl;DefaultUserRegistryImpl;class;10;30;1;0;0;13;3;151;
piraso2576181;org.piraso.bridge.server.taglibs.ScriptContainer;ScriptContainer;class;4;8;1;0;0;4;2;64;
piraso2576181;org.piraso.headless.restriction.GroupRestriction;GroupRestriction;class;2;9;1;0;0;2;1;43;
piraso2576181;org.piraso.api.converter.ObjectConverter;ObjectConverter;interface;0;2;1;0;1;2;0;38;
piraso2576181;org.piraso.web.base.PirasoWebApplicationContext;PirasoWebApplicationContext;class;5;4;2;0;0;1;0;40;
piraso2576181;org.piraso.server.PirasoContext;PirasoContext;class;18;77;1;0;69;22;14;301;
piraso2576181;org.piraso.maven.WarMojo;WarMojo;class;11;43;3;0;307;27;12;346;
piraso2576181;org.piraso.api.NextGenerator;NextGenerator;interface;1;1;1;0;0;1;0;4;
piraso2576181;org.piraso.client.net.AbstractHttpAuthentication;AbstractHttpAuthentication;class;3;6;2;1;11;6;2;49;
piraso2576181;org.piraso.api.LongIDGeneratorTest;LongIDGeneratorTest;class;2;1;1;0;0;1;0;32;
piraso2576181;org.piraso.server.service.UserTest;UserTest;class;2;4;1;0;0;4;1;72;
piraso2576181;org.piraso.api.entry.StackTraceAwareEntry;StackTraceAwareEntry;interface;1;1;1;0;0;1;0;29;
piraso2576181;org.piraso.server.bridge.net.HttpPirasoGetBridgeRegistryHandler;HttpPirasoGetBridgeRegistryHandler;class;15;8;2;0;0;4;4;61;
piraso2576181;org.piraso.maven.SpringXmlPirasoModifier;SpringXmlPirasoModifier;class;8;17;3;0;0;4;3;88;
piraso2576181;org.piraso.headless.restriction.MessageRegexRestriction;MessageRegexRestriction;class;3;5;1;0;1;3;1;37;
piraso2576181;org.piraso.server.dispatcher.DispatcherForwardEvent;DispatcherForwardEvent;class;2;3;1;0;0;3;2;39;
piraso2576181;org.piraso.maven.Overlay;Overlay;class;2;55;1;0;422;32;13;242;
piraso2576181;org.piraso.api.PreferenceEnum;PreferenceEnum;interface;0;2;1;0;1;2;0;25;
piraso2576181;org.piraso.proxy.RegexProxyFactoryTest;RegexProxyFactoryTest;class;9;14;1;0;78;8;0;159;
piraso2576181;org.piraso.io.IOEntry;IOEntry;class;2;12;1;0;21;10;4;69;
piraso2576181;org.piraso.io.IOEntryEvent;IOEntryEvent;class;1;5;1;0;4;5;3;46;
piraso2576181;org.piraso.api.entry.ElapseTimeAware;ElapseTimeAware;interface;1;1;1;0;0;1;0;24;
piraso2576181;org.piraso.io.util.IOEntryRequest;IOEntryRequest;class;9;13;1;0;6;8;8;88;
piraso2576181;org.piraso.client.net.AbstractHttpHandler;AbstractHttpHandler;class;3;4;1;6;6;4;4;45;
piraso2576181;org.piraso.server.logger.SimpleMethodLoggerListener;SimpleMethodLoggerListener;class;7;7;1;0;0;5;4;59;
piraso2576181;org.piraso.headless.restriction.ClassRestriction;ClassRestriction;class;2;2;1;0;0;2;1;31;
piraso2576181;org.piraso.io.cache.IOEntryRequestCache;IOEntryRequestCache;class;2;3;1;0;0;3;3;39;
piraso2576181;org.piraso.api.io.EntryReadListener;EntryReadListener;interface;1;2;1;0;1;2;0;36;
piraso2576181;org.piraso.server.PirasoContextTest;PirasoContextTest;class;13;17;1;0;0;17;5;209;
piraso2576181;org.piraso.io.impl.FileEntrySource;FileEntrySource;class;4;23;1;0;18;13;5;112;
