file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
processing7807399;processing.mode.java.pdex.CompletionCandidate;CompletionCandidate;class;8;62;1;0;0;19;12;266;
processing7807399;processing.core.PMatrix3D;PMatrix3D;class;5;102;1;0;1010;61;5;696;
processing7807399;processing.app.syntax.TextAreaDefaults;TextAreaDefaults;class;2;0;1;0;0;0;19;38;
processing7807399;processing.data.Sort;Sort;class;0;16;1;0;21;7;0;35;
processing7807399;processing.opengl.PGraphics2D;PGraphics2D;class;6;67;4;0;1596;57;0;447;
processing7807399;processing.app.contrib.ContributionManager;ContributionManager;class;12;137;1;0;393;21;2;659;
processing7807399;processing.app.Messages;Messages;class;1;73;1;0;78;13;0;279;
processing7807399;processing.app.syntax.DefaultInputHandler;DefaultInputHandler;class;2;67;3;1;43;10;2;339;
processing7807399;processing.io.GPIO;GPIO;class;2;107;1;0;114;16;13;440;
processing7807399;processing.net.Server;Server;class;4;59;1;0;0;16;8;319;
processing7807399;processing.mode.java.tweak.TweakClient;TweakClient;class;1;24;1;0;0;6;7;158;
processing7807399;processing.mode.java.JavaEditor;JavaEditor;class;43;440;11;0;10426;98;35;2347;
processing7807399;ch.randelshofer.gui.datatransfer.CompositeTransferable;CompositeTransferable;class;0;10;1;0;0;5;2;67;
processing7807399;processing.app.exec.LineProcessor;LineProcessor;interface;0;1;1;0;0;1;0;4;
processing7807399;processing.core.PGraphics;PGraphics;class;20;922;2;3;53305;334;170;7188;
processing7807399;processing.app.ui.BufferedStyledDocument;BufferedStyledDocument;class;6;49;8;0;101;18;16;425;
processing7807399;processing.app.SketchReference;SketchReference;class;0;3;1;0;0;3;2;16;
processing7807399;processing.io.SPI;SPI;class;1;34;1;0;28;9;12;191;
processing7807399;processing.mode.java.pdex.SourceUtils;SourceUtils;class;10;84;1;0;91;12;8;301;
processing7807399;processing.app.contrib.AvailableContribution;AvailableContribution;class;9;70;2;0;4;5;2;306;
processing7807399;processing.app.Platform;Platform;class;3;74;1;0;218;27;5;320;
processing7807399;processing.mode.java.Compiler;Compiler;class;3;51;1;0;15;3;1;260;
processing7807399;processing.mode.java.pdex.JavaTextAreaPainter;JavaTextAreaPainter;class;8;65;6;0;120;13;9;303;
processing7807399;processing.app.ui.MarkerColumn;MarkerColumn;class;7;34;5;0;46;11;6;173;
processing7807399;processing.app.BaseSplash;BaseSplash;class;0;3;1;0;0;1;0;20;
processing7807399;processing.svg.PGraphicsSVG;PGraphicsSVG;class;8;42;4;0;402;29;2;421;
processing7807399;processing.app.Problem;Problem;interface;0;7;1;0;21;7;0;25;
processing7807399;processing.app.contrib.UpdateStatusPanel;UpdateStatusPanel;class;2;3;6;0;3;2;0;56;
processing7807399;processing.app.contrib.ContribProgressBar;ContribProgressBar;class;1;17;2;0;30;7;1;83;
processing7807399;processing.app.contrib.IgnorableException;IgnorableException;class;0;1;3;0;0;1;0;6;
processing7807399;processing.app.tools.Tool;Tool;interface;1;3;1;0;3;3;0;30;
processing7807399;processing.app.contrib.LocalContribution;LocalContribution;class;12;132;2;3;283;24;8;644;
processing7807399;processing.app.UpdateCheck;UpdateCheck;class;1;25;1;0;16;7;5;173;
processing7807399;test.processing.mode.java.UTCompiler;UTCompiler;class;3;19;1;0;0;2;1;68;
processing7807399;processing.data.Table;Table;class;22;1020;1;0;21424;241;40;4212;
processing7807399;processing.io.SoftwareServo;SoftwareServo;class;1;24;1;0;8;8;8;134;
processing7807399;processing.app.tools.InstallCommander;InstallCommander;class;4;15;1;0;8;4;1;134;
processing7807399;processing.app.ui.FindReplace;FindReplace;class;2;93;6;0;159;12;17;439;
processing7807399;processing.mode.java.JavaToolbar;JavaToolbar;class;4;21;6;0;39;9;3;136;
processing7807399;processing.app.exec.ProcessResult;ProcessResult;class;0;9;1;0;2;9;5;48;
