file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
qi4j-sandbox992023;org.qi4j.entitystore.coherence.CoherenceEntityStoreAssembler;CoherenceEntityStoreAssembler;class;7;2;1;0;0;2;1;41;
qi4j-sandbox992023;org.qi4j.library.thread.ThreadGroupServiceComposite;ThreadGroupServiceComposite;interface;4;0;1;0;0;0;0;24;
qi4j-sandbox992023;org.qi4j.library.validation.Validatable;Validatable;interface;3;2;1;0;1;2;0;26;
qi4j-sandbox992023;org.qi4j.entitystore.s3.S3EntityStoreService;S3EntityStoreService;interface;6;0;1;0;0;0;0;30;
qi4j-sandbox992023;org.qi4j.library.jini.importer.ImportExternalJiniServiceTest;ImportExternalJiniServiceTest;class;9;4;1;0;4;3;1;76;
qi4j-sandbox992023;org.qi4j.library.thread.NewThreadServiceMixin;NewThreadServiceMixin;class;9;6;1;0;0;4;5;65;
qi4j-sandbox992023;org.qi4j.entitystore.javaspaces.JavaSpacesEntityStoreService;JavaSpacesEntityStoreService;interface;12;0;1;0;0;0;0;37;
qi4j-sandbox992023;org.qi4j.osgi.internal.AnEntityComposite;AnEntityComposite;interface;2;0;1;0;0;0;0;22;
qi4j-sandbox992023;org.qi4j.entitystore.coherence.CoherenceEntityStoreMixin;CoherenceEntityStoreMixin;class;21;24;1;0;0;7;4;187;
qi4j-sandbox992023;org.qi4j.entitystore.coherence.CoherenceEntityStoreService;CoherenceEntityStoreService;interface;14;0;1;0;0;0;0;35;
qi4j-sandbox992023;org.qi4j.entitystore.swift.UndoExtendCommand;UndoExtendCommand;class;3;4;1;0;0;4;1;62;
qi4j-sandbox992023;org.qi4j.library.registry.RegistryObserver;RegistryObserver;interface;3;2;1;0;1;2;0;23;
qi4j-sandbox992023;org.qi4j.entitystore.jndi.JndiEntityState;JndiEntityState;class;8;17;1;0;82;17;9;135;
qi4j-sandbox992023;org.qi4j.library.registry.Registry;Registry;interface;3;5;1;0;10;5;0;26;
qi4j-sandbox992023;org.qi4j.library.spaces.SpaceException;SpaceException;class;0;1;4;0;0;1;0;25;
qi4j-sandbox992023;org.qi4j.entitystore.s3.S3EntityStoreTest;S3EntityStoreTest;class;7;2;2;0;1;2;0;43;
qi4j-sandbox992023;org.qi4j.library.executor.ExecutorMixin;ExecutorMixin;class;1;3;1;0;0;3;1;39;
qi4j-sandbox992023;org.qi4j.library.observations.ObservableMixin;ObservableMixin;class;10;20;1;0;0;3;3;93;
qi4j-sandbox992023;org.qi4j.library.beans.support.JavabeanProperty;JavabeanProperty;class;4;30;2;0;2;4;2;113;
qi4j-sandbox992023;org.qi4j.library.jini.transaction.JiniTransactionServiceAssembler;JiniTransactionServiceAssembler;class;6;1;1;0;0;1;0;34;
qi4j-sandbox992023;org.qi4j.library.rmi.remote.RemoteInterfaceImpl;RemoteInterfaceImpl;class;1;3;1;0;0;1;1;32;
qi4j-sandbox992023;org.qi4j.library.spaces.javaspaces.JavaSpacesClientService;JavaSpacesClientService;interface;5;0;1;0;0;0;0;26;
qi4j-sandbox992023;org.qi4j.entitystore.jndi.Group;Group;interface;1;1;1;0;0;1;0;23;
qi4j-sandbox992023;org.qi4j.library.rmi.remote.RemoteInterface;RemoteInterface;interface;1;1;1;0;0;1;0;25;
qi4j-sandbox992023;org.qi4j.entitystore.cassandra.CassandraEntityStoreService;CassandraEntityStoreService;interface;9;0;1;0;0;0;0;28;
qi4j-sandbox992023;org.qi4j.entitystore.cassandra.CassandraEntityStoreTest;CassandraEntityStoreTest;class;8;2;2;0;1;2;2;34;
qi4j-sandbox992023;org.qi4j.library.exception.ObservableExceptionHandlingService;ObservableExceptionHandlingService;interface;8;0;1;0;0;0;0;26;
qi4j-sandbox992023;org.qi4j.entitystore.rmi.RegistryConfiguration;RegistryConfiguration;interface;2;1;1;0;0;1;0;11;
qi4j-sandbox992023;org.qi4j.library.beans.support.JavabeanAssociation;JavabeanAssociation;class;8;13;1;0;2;9;3;90;
qi4j-sandbox992023;org.qi4j.library.jini.javaspaces.JavaSpacesService;JavaSpacesService;interface;4;0;1;0;0;0;0;25;
qi4j-sandbox992023;org.qi4j.entitystore.swift.StoreIterator;StoreIterator;class;3;14;1;0;5;6;5;97;
qi4j-sandbox992023;org.qi4j.entitystore.swift.SwiftEntityStoreService;SwiftEntityStoreService;interface;11;0;1;0;0;0;0;34;
qi4j-sandbox992023;org.qi4j.library.thread.NewThreadServiceComposite;NewThreadServiceComposite;interface;4;0;1;0;0;0;0;24;
qi4j-sandbox992023;org.qi4j.library.ldap.server.LdapService;LdapService;interface;4;0;1;0;0;0;0;24;
qi4j-sandbox992023;org.qi4j.library.jini.lookup.ResourceServletMixin;ResourceServletMixin;class;3;1;2;0;0;1;0;36;
qi4j-sandbox992023;org.qi4j.library.beans.support.JavabeanSupport;JavabeanSupport;interface;3;2;1;0;1;2;0;29;
qi4j-sandbox992023;org.qi4j.library.jini.lookup.ReggieDownloadServletService;ReggieDownloadServletService;interface;4;0;1;0;0;0;0;25;
qi4j-sandbox992023;org.qi4j.entitystore.jclouds.JCloudsMapEntityStoreMixin;JCloudsMapEntityStoreMixin;class;16;29;1;0;23;6;3;154;
qi4j-sandbox992023;org.qi4j.library.unitofwork.TransactionalTest;TransactionalTest;class;3;2;1;0;1;2;0;31;
qi4j-sandbox992023;org.qi4j.entitystore.jndi.JndiEntityStoreMixin;JndiEntityStoreMixin;class;19;17;1;0;15;6;2;117;
