file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
repast.simphony69601355;repast.simphony.dataLoader.gui.JDBCDataLoaderActionEditorCreator;JDBCDataLoaderActionEditorCreator;class;6;3;3;0;3;3;0;28;
repast.simphony69601355;repast.simphony.data2.DataTests;DataTests;class;44;75;1;0;577;35;6;643;
repast.simphony69601355;watcherOOP.test.OOPWatcherOnB;OOPWatcherOnB;class;2;4;1;0;0;4;1;27;
repast.simphony69601355;repast.simphony.agents.designer.ui.actions.AgentBuilderActionBarContributor;AgentBuilderActionBarContributor;class;12;4;2;0;6;4;0;115;
repast.simphony69601355;repast.simphony.visualization.editor.gis.SelectionDecorator;SelectionDecorator;class;27;32;1;0;141;19;7;181;
repast.simphony69601355;repast.simphony.context.ContextTest;ContextTest;class;3;2;2;0;1;2;0;81;
repast.simphony69601355;repast.simphony.scenario.ScenarioFileLoader;ScenarioFileLoader;class;11;18;3;0;4;4;7;126;
repast.simphony69601355;repast.simphony.relogo.ide.intf.NLButton;NLButton;class;1;20;2;0;8;8;9;75;
repast.simphony69601355;repast.simphony.batch.gui.HostsPanel;HostsPanel;class;12;55;10;0;77;18;10;342;
repast.simphony69601355;repast.simphony.data2.ObjectC;ObjectC;class;0;3;1;0;3;3;2;14;
repast.simphony69601355;repast.simphony.parameter.ParametersCreator;ParametersCreator;class;10;25;1;0;0;10;2;159;
repast.simphony69601355;repast.simphony.conversion.ScoreTransformTests;ScoreTransformTests;class;4;5;1;0;6;4;0;73;
repast.simphony69601355;sample1.chart.SC1OnEnterAction3;SC1OnEnterAction3;class;5;1;1;0;0;1;0;17;
repast.simphony69601355;repast.simphony.visualization.editor.GridAddHandler;GridAddHandler;class;13;19;2;0;18;8;5;89;
repast.simphony69601355;repast.simphony.ui.plugin.editor.PluginWizard;PluginWizard;class;3;2;2;0;1;2;1;20;
repast.simphony69601355;repast.simphony.relogo.ide.intf.NLPlot;NLPlot;class;2;6;2;0;0;6;10;58;
repast.simphony69601355;repast.simphony.systemdynamics.part.SystemDynamicsCreationWizardPage0;SystemDynamicsCreationWizardPage0;class;28;48;2;0;61;14;8;228;
repast.simphony69601355;repast.simphony.engine.schedule.ActionQueue;ActionQueue;class;5;59;3;0;105;23;8;255;
repast.simphony69601355;repast.simphony.visualization.engine.DisplayDescriptorValidator;DisplayDescriptorValidator;class;3;3;1;0;0;1;0;29;
repast.simphony69601355;repast.simphony.visualization.gis3D.LayerPanel;LayerPanel;class;4;25;6;0;25;10;9;133;
repast.simphony69601355;repast.simphony.parameter.ParametersParser;ParametersParser;class;8;39;3;0;0;4;3;118;
repast.simphony69601355;repast.simphony.relogo.ide.NewLinkWizardAction;NewLinkWizardAction;class;9;8;2;0;15;6;0;42;
repast.simphony69601355;repast.simphony.space.SpatialException;SpatialException;class;0;2;4;0;1;2;0;37;
repast.simphony69601355;repast.simphony.statecharts.navigator.StatechartDomainNavigatorContentProvider;StatechartDomainNavigatorContentProvider;class;19;35;1;0;139;13;6;193;
repast.simphony69601355;repast.simphony.engine.controller.ScheduledMethodControllerAction;ScheduledMethodControllerAction;class;19;83;1;0;93;23;23;332;
repast.simphony69601355;repast.simphony.relogo.styles.BoundingPPath;BoundingPPath;class;6;11;2;0;3;3;2;54;
repast.simphony69601355;repast.simphony.engine.graph.DefaultGraphScheduleFactory;DefaultGraphScheduleFactory;class;5;5;1;0;4;5;1;97;
