file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
rgg1696382;at.ac.arcs.rgg.element.h3.RH3;RH3;class;3;6;2;0;11;6;2;38;
rgg1696382;at.ac.arcs.rgg.element.radiobutton.RRadioButton;RRadioButton;class;3;35;2;0;112;25;9;131;
rgg1696382;at.ac.arcs.rgg.element.maimporter.RGGMAImporterFactory;RGGMAImporterFactory;class;7;15;2;0;0;1;1;51;
rgg1696382;at.ac.arcs.rgg.RGG;RGG;class;10;29;1;0;127;18;7;131;
rgg1696382;at.ac.arcs.rgg.element.maimporter.ui.arrayheaderselection.MyTableModel;MyTableModel;interface;0;4;1;0;6;4;0;15;
rgg1696382;at.ac.arcs.rgg.element.maimporter.ui.arrayheaderselection.ARCTable;ARCTable;class;5;5;5;0;0;5;3;53;
rgg1696382;at.ac.arcs.rgg.element.maimporter.ui.arrayheaderselection.LineNumberTable;LineNumberTable;class;0;5;5;0;8;5;1;55;
rgg1696382;at.ac.arcs.rgg.element.maimporter.VMAImporter;VMAImporter;class;5;34;2;0;88;17;9;111;
rgg1696382;at.ac.arcs.rgg.element.label.RLabel;RLabel;class;3;6;2;0;11;6;2;38;
rgg1696382;at.ac.arcs.rgg.element.vector.RGGVectorFactory;RGGVectorFactory;class;7;19;2;0;0;1;0;61;
rgg1696382;at.ac.arcs.rgg.element.slider.RGGSliderFactory;RGGSliderFactory;class;6;61;2;0;0;1;0;143;
rgg1696382;at.ac.arcs.rgg.element.maimporter.ui.inputselection.InputList;InputList;class;1;13;1;0;0;3;2;38;
rgg1696382;at.ac.arcs.rgg.element.combobox.VComboBox;VComboBox;class;1;25;2;0;14;17;6;101;
rgg1696382;at.ac.arcs.rgg.element.img.RGGImageFactory;RGGImageFactory;class;6;17;2;0;0;1;0;50;
rgg1696382;at.ac.arcs.rgg.element.vector.VVector;VVector;class;2;28;2;0;19;11;5;110;
rgg1696382;at.ac.arcs.rgg.element.filechooser.RGGFileChooserFactory;RGGFileChooserFactory;class;7;42;2;0;1;2;0;108;
rgg1696382;at.ac.arcs.rgg.element.radiobutton.RGGRadioButtonFactory;RGGRadioButtonFactory;class;8;37;2;0;0;1;0;105;
rgg1696382;at.ac.arcs.rgg.element.h3.VH3;VH3;class;1;8;2;0;0;6;4;43;
rgg1696382;at.ac.arcs.rgg.element.h6.RGGH6Factory;RGGH6Factory;class;8;25;2;0;0;1;0;73;
rgg1696382;at.ac.arcs.rgg.element.RElement;RElement;class;1;14;1;6;39;10;1;39;
rgg1696382;at.ac.arcs.rgg.element.h5.RGGH5Factory;RGGH5Factory;class;8;25;2;0;0;1;0;74;
rgg1696382;at.ac.arcs.rgg.element.maimporter.array.genepix.GenepixArrayRecognizer;GenepixArrayRecognizer;class;5;24;1;0;3;3;0;78;
rgg1696382;at.ac.arcs.rgg.element.combobox.RComboBox;RComboBox;class;3;37;2;0;52;24;8;125;
rgg1696382;at.ac.arcs.rgg.element.labelarea.RLabelArea;RLabelArea;class;3;6;2;0;11;6;2;38;
rgg1696382;at.ac.arcs.rgg.element.gaprow.RGGGapRowFactory;RGGGapRowFactory;class;6;7;2;0;0;1;0;37;
rgg1696382;at.ac.arcs.rgg.element.maimporter.ui.arrayheaderselection.JScrollPaneAdjuster;JScrollPaneAdjuster;class;1;40;1;0;0;10;5;96;
rgg1696382;at.ac.arcs.rgg.element.maimporter.array.agilent.AgilentArrayRecognizer;AgilentArrayRecognizer;class;5;42;1;0;15;6;0;118;
rgg1696382;at.ac.arcs.rgg.util.tablerowheader.JTableRowHeaderResizer;JTableRowHeaderResizer;class;0;45;3;0;24;13;13;125;
rgg1696382;at.ac.arcs.rgg.element.h4.RGGH4Factory;RGGH4Factory;class;8;25;2;0;0;1;0;73;
rgg1696382;at.ac.arcs.rgg.element.img.VImage;VImage;class;1;8;2;0;0;5;3;51;
rgg1696382;at.ac.arcs.rgg.element.maimporter.ui.model.ArrayHeaderChangedEvent;ArrayHeaderChangedEvent;class;0;2;2;0;0;2;1;19;
rgg1696382;at.ac.arcs.rgg.util.tablerowheader.RowHeaderRenderer;RowHeaderRenderer;class;1;16;6;0;0;4;1;83;
rgg1696382;at.ac.arcs.rgg.element.group.RGGGroupFactory;RGGGroupFactory;class;9;11;2;0;1;2;0;57;
rgg1696382;at.ac.arcs.rgg.element.maimporter.array.ArrayChannelInfo;ArrayChannelInfo;enum;0;0;1;0;0;0;0;11;
rgg1696382;at.ac.arcs.rgg.element.maimporter.array.ArrayCreator;ArrayCreator;class;2;2;1;2;1;2;0;18;
rgg1696382;at.ac.arcs.rgg.element.twopanellistbox.RTwoPanelListBox;RTwoPanelListBox;class;3;38;2;0;85;19;6;122;
rgg1696382;at.ac.arcs.rgg.element.group.RGroup;RGroup;class;5;8;2;0;12;8;4;55;
rgg1696382;at.ac.arcs.rgg.component.VisualComponent;VisualComponent;class;1;9;1;25;2;5;2;36;
rgg1696382;at.ac.arcs.rgg.util.RGGFileExtensionFilter;RGGFileExtensionFilter;class;0;12;2;0;0;3;2;48;
