file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
tgspu1371131;graf.PriorityQueue;PriorityQueue;class;1;10;1;0;0;5;1;28;
tgspu1371131;laboration15.AnstalldLon;AnstalldLon;class;1;5;1;3;4;5;1;33;
tgspu1371131;laboration5.PersonnummerVaxande;PersonnummerVaxande;class;1;1;1;0;0;1;0;9;
tgspu1371131;laboration7.Program7e;Program7e;class;0;7;1;0;0;1;0;27;
tgspu1371131;laboration9.Uppgift1;Uppgift1;class;0;1;1;0;0;1;0;8;
tgspu1371131;labA.Foto;Foto;class;0;9;1;0;3;7;5;34;
tgspu1371131;laboration3.Uppgift8;Uppgift8;class;1;4;1;0;1;2;0;24;
tgspu1371131;RiskyHash.Entry;Entry;class;3;2;1;0;0;2;2;14;
tgspu1371131;p3.RockPaperScissor;RockPaperScissor;class;5;1;1;0;0;1;0;12;
tgspu1371131;p1.Road;Road;class;0;5;1;0;0;5;3;23;
tgspu1371131;p4.CountryIO;CountryIO;class;2;13;1;0;9;7;1;97;
tgspu1371131;p1.CandyShop;CandyShop;class;2;10;1;0;15;7;1;69;
tgspu1371131;laboration2.Uppgift4;Uppgift4;class;0;6;1;0;3;3;0;25;
tgspu1371131;laboration13.Uppgift13d;Uppgift13d;class;2;3;1;0;1;2;0;15;
tgspu1371131;p3.RPSController;RPSController;class;3;33;1;0;0;11;7;148;
tgspu1371131;labD.UDPReceiverB;UDPReceiverB;class;2;6;1;0;0;4;1;33;
tgspu1371131;laboration14.Bok;Bok;class;1;4;2;0;0;4;1;21;
tgspu1371131;laboration9.Uppgift9d;Uppgift9d;class;2;2;1;0;1;2;0;14;
tgspu1371131;labC.Uppgift2;Uppgift2;class;2;13;1;0;9;7;1;96;
tgspu1371131;laboration10.Uppgift10a;Uppgift10a;class;1;1;1;0;0;1;0;16;
tgspu1371131;p4.CountryViewer;CountryViewer;class;1;3;6;0;0;2;3;42;
tgspu1371131;labC.Vara;Vara;class;0;10;1;0;3;10;4;41;
