file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
watchdog9054458;nl.tudelft.watchdog.plugin.commands.ResetHandler;ResetHandler;class;4;4;1;0;6;4;0;18;
watchdog9054458;nl.tudelft.watchdog.document.IDocument;IDocument;interface;1;4;1;0;6;4;0;8;
watchdog9054458;nl.tudelft.watchdog.eclipseUIReader.IUIListener;IUIListener;interface;0;1;1;0;0;1;0;4;
watchdog9054458;nl.tudelft.watchdog.plugin.commands.StartUpHandler;StartUpHandler;class;5;6;1;0;6;2;0;45;
watchdog9054458;nl.tudelft.watchdog.interval.recorded.IInterval;IInterval;interface;3;7;1;0;21;7;0;15;
watchdog9054458;nl.tudelft.watchdog.interval.activityCheckers.ReadingCheckerTask;ReadingCheckerTask;class;14;19;2;0;0;5;7;103;
watchdog9054458;nl.tudelft.watchdog.interval.recorded.IRecordedIntervalSerializationManager;IRecordedIntervalSerializationManager;interface;1;2;1;0;1;2;0;8;
watchdog9054458;nl.tudelft.watchdog.interval.activityCheckers.OnInactiveCallBack;OnInactiveCallBack;interface;0;1;1;0;0;1;0;4;
watchdog9054458;nl.tudelft.watchdog.interval.activityCheckers.UpdateChecker;UpdateChecker;class;3;5;1;0;0;2;3;34;
watchdog9054458;nl.tudelft.watchdog.plugin.logging.MessageConsoleManager;MessageConsoleManager;class;3;4;1;0;0;2;1;19;
watchdog9054458;nl.tudelft.watchdog.plugin.Activator;Activator;class;3;5;2;0;4;4;2;49;
watchdog9054458;nl.tudelft.watchdog.plugin.PrefPage;PrefPage;class;5;9;2;0;0;4;3;37;
watchdog9054458;nl.tudelft.watchdog.eclipseUIReader.UIListener;UIListener;class;11;11;1;0;13;4;1;54;
watchdog9054458;nl.tudelft.watchdog.interval.events.IIntervalListener;IIntervalListener;interface;2;2;1;0;1;2;0;6;
watchdog9054458;nl.tudelft.watchdog.exceptions.ContentReaderException;ContentReaderException;class;0;2;3;0;1;2;0;10;
watchdog9054458;nl.tudelft.watchdog.eclipseUIReader.UIComponentListeners.PartListener;PartListener;class;5;11;1;0;10;5;0;37;
watchdog9054458;nl.tudelft.watchdog.eclipseUIReader.UIComponentListeners.WindowListener;WindowListener;class;3;6;1;0;10;5;0;27;
watchdog9054458;nl.tudelft.watchdog.test.document.DocumentClassifierTest;DocumentClassifierTest;class;2;4;1;0;6;4;0;50;
watchdog9054458;nl.tudelft.watchdog.test.suite.AllTests;AllTests;class;6;0;1;0;0;0;0;11;
watchdog9054458;nl.tudelft.watchdog.interval.active.ActiveInterval;ActiveInterval;class;5;10;1;1;31;10;5;44;
watchdog9054458;nl.tudelft.watchdog.eclipseUIReader.DocChangeListenerAttacher;DocChangeListenerAttacher;class;7;7;1;0;1;1;1;37;
watchdog9054458;nl.tudelft.watchdog.exceptions.EditorClosedPrematurelyException;EditorClosedPrematurelyException;class;0;2;3;0;1;2;0;10;
watchdog9054458;nl.tudelft.watchdog.plugin.commands.ExportHandler;ExportHandler;class;9;9;1;0;13;6;1;55;
watchdog9054458;nl.tudelft.watchdog.eclipseUIReader.UIComponentListeners.PageListener;PageListener;class;3;4;1;0;6;4;0;17;
watchdog9054458;nl.tudelft.watchdog.interval.ActivityType;ActivityType;enum;0;0;1;0;0;0;0;4;
watchdog9054458;nl.tudelft.watchdog.interval.events.ClosingIntervalEvent;ClosingIntervalEvent;class;1;2;1;0;0;2;1;14;
watchdog9054458;com.wouterwillems.watchdog.tools.readers.WatchDogXmlReader;WatchDogXmlReader;class;8;30;1;0;6;4;0;133;
watchdog9054458;nl.tudelft.watchdog.document.DocumentType;DocumentType;enum;0;0;1;0;0;0;0;4;
watchdog9054458;nl.tudelft.watchdog.document.IDocumentFactory;IDocumentFactory;interface;2;1;1;0;0;1;0;5;
watchdog9054458;nl.tudelft.watchdog.eclipseUIReader.Events.IDocumentAttentionListener;IDocumentAttentionListener;interface;2;4;1;0;6;4;0;8;
watchdog9054458;nl.tudelft.watchdog.document.DocumentClassifier;DocumentClassifier;class;1;14;1;0;6;4;0;35;
watchdog9054458;nl.tudelft.watchdog.eclipseUIReader.Events.DocumentActivateEvent;DocumentActivateEvent;class;3;3;1;0;0;3;2;20;
watchdog9054458;nl.tudelft.watchdog.interval.IIntervalKeeper;IIntervalKeeper;interface;2;5;1;0;10;5;0;14;
watchdog9054458;com.wouterwillems.watchdog.tools.models.ActivityType;ActivityType;enum;0;0;1;0;0;0;0;4;
watchdog9054458;nl.tudelft.watchdog.interval.active.ActiveEditingInterval;ActiveEditingInterval;class;5;4;2;0;4;4;1;31;
watchdog9054458;nl.tudelft.watchdog.timingOutput.IntervalsToXMLWriter;IntervalsToXMLWriter;class;4;9;1;0;3;3;0;71;
watchdog9054458;watchdogtest.Activator;Activator;class;3;4;2;0;0;4;2;41;
watchdog9054458;nl.tudelft.watchdog.plugin.logging.WDLogger;WDLogger;class;1;9;1;0;0;7;1;34;
watchdog9054458;nl.tudelft.watchdog.exceptions.FileSavingFailedException;FileSavingFailedException;class;0;3;3;0;3;3;0;13;
watchdog9054458;nl.tudelft.watchdog.document.DocumentFactory;DocumentFactory;class;9;10;1;0;0;1;0;48;
watchdog9054458;nl.tudelft.watchdog.test.document.DocumentFactoryTest;DocumentFactoryTest;class;6;1;1;0;0;1;0;25;
watchdog9054458;nl.tudelft.watchdog.timingOutput.IIntervalWriter;IIntervalWriter;interface;1;1;1;0;0;1;0;13;
watchdog9054458;nl.tudelft.watchdog.interval.active.ActiveReadingInterval;ActiveReadingInterval;class;5;4;2;0;4;4;1;31;
watchdog9054458;nl.tudelft.watchdog.interval.recorded.RecordedIntervalSerializationManager;RecordedIntervalSerializationManager;class;2;12;1;0;1;2;0;72;
watchdog9054458;nl.tudelft.watchdog.eclipseUIReader.Events.DocumentDeActivateEvent;DocumentDeActivateEvent;class;3;3;1;0;0;3;2;20;
watchdog9054458;nl.tudelft.watchdog.eclipseUIReader.Events.DocumentNotifier;DocumentNotifier;class;3;18;1;0;0;6;1;54;
watchdog9054458;nl.tudelft.watchdog.test.interval.ActiveEditingIntervalTest;ActiveEditingIntervalTest;class;10;7;1;0;9;5;4;59;
watchdog9054458;nl.tudelft.watchdog.document.Document;Document;class;2;5;1;0;0;5;4;28;
watchdog9054458;nl.tudelft.watchdog.interval.activityCheckers.EditingCheckerTask;EditingCheckerTask;class;11;9;2;0;4;3;4;57;
watchdog9054458;nl.tudelft.watchdog.util.WatchDogUtil;WatchDogUtil;class;6;16;1;0;3;3;0;66;
watchdog9054458;nl.tudelft.watchdog.util.EditorContentsRetrieved;EditorContentsRetrieved;interface;0;1;1;0;0;1;0;4;
watchdog9054458;nl.tudelft.watchdog.interval.activityCheckers.IUpdateChecker;IUpdateChecker;interface;0;1;1;0;0;1;0;6;
watchdog9054458;nl.tudelft.watchdog.plugin.prompts.UserPrompter;UserPrompter;class;8;6;1;0;0;2;2;49;
watchdog9054458;nl.tudelft.watchdog.test.timingOutput.IntervalsToXMLWriterTest;IntervalsToXMLWriterTest;class;5;2;1;0;0;1;0;31;
watchdog9054458;nl.tudelft.watchdog.interval.IntervalKeeper;IntervalKeeper;class;20;37;2;0;100;12;6;136;
watchdog9054458;nl.tudelft.watchdog.interval.events.IntervalNotifier;IntervalNotifier;class;3;10;1;1;0;4;1;34;
watchdog9054458;nl.tudelft.watchdog.interval.events.NewIntervalEvent;NewIntervalEvent;class;1;2;1;0;0;2;1;14;
watchdog9054458;com.wouterwillems.watchdog.tools.models.DayActivity;DayActivity;class;1;6;1;0;9;6;3;25;
watchdog9054458;nl.tudelft.watchdog.interval.recorded.RecordedInterval;RecordedInterval;class;6;11;1;0;21;10;6;65;
