file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Diploma-work2519381;com.mycompany.textanalyzer.psql.v2.dictionary.Grammem;Grammem;class;0;130;1;0;0;2;35;466
Diploma-work2519381;com.mycompany.textanalyzer.AnalyzerInterface;AnalyzerInterface;interface;0;1;1;0;0;1;0;9
Diploma-work2519381;com.mycompany.textanalyzer.psql.v1.dictionary.GrammaReader;GrammaReader;class;0;5;1;0;0;1;1;39
Diploma-work2519381;com.mycompany.textanalyzer.psql.v2.analyzer.Analyzer;Analyzer;class;4;36;1;0;0;7;11;226
Diploma-work2519381;com.mycompany.textanalyzer.Tokenizer;Tokenizer;class;1;13;1;0;0;3;4;49
Diploma-work2519381;com.mycompany.textanalyzer.psql.v2.dictionary.GrammaReader;GrammaReader;class;1;5;1;0;0;2;1;34
Diploma-work2519381;com.mycompany.textanalyzer.psql.v2.dictionary.DictionaryReader;DictionaryReader;class;2;27;1;0;24;9;6;107
Diploma-work2519381;com.mycompany.textanalyzer.psql.v1.dictionary.DictionaryReader;DictionaryReader;class;0;22;1;0;2;5;6;130
Diploma-work2519381;com.mycompany.textanalyzer.psql.v3.dictionary.DBWriter;DBWriter;class;5;24;1;0;0;5;14;219
Diploma-work2519381;com.mycompany.textanalyzer.psql.v3.dictionary.PSQLConnection;PSQLConnection;class;0;9;1;0;1;2;7;43
Diploma-work2519381;com.mycompany.textanalyzer.psql.v3.dictionary.Grammem;Grammem;class;0;130;1;0;0;2;35;466
Diploma-work2519381;com.mycompany.textanalyzer.Statistics;Statistics;class;0;10;1;0;14;8;7;64
Diploma-work2519381;com.mycompany.textanalyzer.ChoiceRunner;ChoiceRunner;class;8;8;1;0;0;1;5;49
Diploma-work2519381;com.mycompany.textanalyzer.psql.v1.analyzer.DictionaryInitiation;DictionaryInitiation;class;3;8;1;0;0;6;6;81
Diploma-work2519381;com.mycompany.textanalyzer.analyzer.Analyzer;Analyzer;class;8;31;1;0;0;7;4;112
Diploma-work2519381;com.mycompany.textanalyzer.dictionary.WordCard;WordCard;class;1;13;1;0;32;13;5;63
Diploma-work2519381;com.mycompany.textanalyzer.dictionary.DictionaryReader;DictionaryReader;class;2;23;1;0;15;7;4;92
Diploma-work2519381;com.mycompany.textanalyzer.psql.v3.analyzer.DictionaryInitiation;DictionaryInitiation;class;2;8;1;0;5;6;6;87
Diploma-work2519381;com.mycompany.textanalyzer.psql.v3_2.analyzer.Analyzer;Analyzer;class;4;31;1;0;0;7;13;167
Diploma-work2519381;com.mycompany.textanalyzer.dictionary.GrammaReader;GrammaReader;class;0;5;1;0;0;2;1;32
Diploma-work2519381;com.mycompany.textanalyzer.dictionary.FlexiaModel;FlexiaModel;class;0;7;1;0;0;7;2;35
Diploma-work2519381;com.mycompany.textanalyzer.psql.v3.analyzer.Analyzer;Analyzer;class;4;36;1;0;0;7;11;230
Diploma-work2519381;com.mycompany.textanalyzer.psql.v1.dictionary.PSQLConnection;PSQLConnection;class;0;9;1;0;1;2;7;43
Diploma-work2519381;com.mycompany.textanalyzer.analyzer.DictionaryInitiation;DictionaryInitiation;class;2;15;1;0;2;5;8;58
Diploma-work2519381;com.mycompany.textanalyzer.psql.v2.dictionary.DBWriter;DBWriter;class;5;17;1;0;0;3;9;147
Diploma-work2519381;com.mycompany.textanalyzer.psql.v3.dictionary.DictionaryReader;DictionaryReader;class;2;28;1;0;24;9;6;111
Diploma-work2519381;com.mycompany.textanalyzer.psql.v1.analyzer.Analyzer;Analyzer;class;4;31;1;0;0;7;13;161
Diploma-work2519381;com.mycompany.textanalyzer.psql.v2.dictionary.PSQLConnection;PSQLConnection;class;0;9;1;0;1;2;7;43
Diploma-work2519381;com.mycompany.textanalyzer.FileReader;FileReader;class;0;7;1;0;0;2;1;31
Diploma-work2519381;com.mycompany.textanalyzer.psql.v2.analyzer.DictionaryInitiation;DictionaryInitiation;class;2;8;1;0;5;6;6;75
Diploma-work2519381;com.mycompany.textanalyzer.psql.v3.dictionary.GrammaReader;GrammaReader;class;1;8;1;0;0;2;1;43
Diploma-work2519381;com.mycompany.textanalyzer.psql.v3_1.analyzer.Analyzer;Analyzer;class;4;35;1;0;0;7;8;201
