file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
ProjectIT37280141;beans.LoginBean;LoginBean;class;5;5;1;0;0;5;3;37
ProjectIT37280141;objects.Stats;Stats;class;2;4;1;0;0;4;3;26
ProjectIT37280141;beans.LanguageBean;LanguageBean;class;2;9;1;0;0;4;2;38
ProjectIT37280141;daoimpl.DictionaryDB;DictionaryDB;class;4;54;2;0;45;10;0;197
ProjectIT37280141;objects.StatEntry;StatEntry;class;0;14;1;0;29;14;4;67
ProjectIT37280141;objects.Test;Test;class;3;21;1;0;12;12;6;129
ProjectIT37280141;beans.TestFormBean;TestFormBean;class;2;10;1;0;33;10;4;53
ProjectIT37280141;daoimpl.NavigationDB;NavigationDB;class;2;11;2;0;1;2;1;75
ProjectIT37280141;objects.UserDictionary;UserDictionary;class;3;6;1;0;0;6;5;39
ProjectIT37280141;controllers.LoginController;LoginController;class;8;24;1;0;35;14;12;131
ProjectIT37280141;controllers.DictionaryController;DictionaryController;class;9;40;1;0;79;19;20;202
ProjectIT37280141;beans.HeaderBean;HeaderBean;class;4;5;1;0;2;5;3;44
ProjectIT37280141;objects.Navigation;Navigation;class;2;7;1;0;0;4;3;34
ProjectIT37280141;beans.QuestionBean;QuestionBean;class;6;25;1;0;232;25;6;120
ProjectIT37280141;beans.NavigationBean;NavigationBean;class;3;8;1;0;0;5;3;40
ProjectIT37280141;controllers.QuestionController;QuestionController;class;9;22;1;0;25;14;8;138
ProjectIT37280141;daoimpl.UserDB;UserDB;class;2;16;2;0;6;4;0;102
ProjectIT37280141;objects.Page;Page;class;2;19;1;0;25;15;5;104
ProjectIT37280141;controllers.TestFormController;TestFormController;class;12;17;1;0;13;7;8;105
ProjectIT37280141;controllers.NavigationController;NavigationController;class;9;28;1;0;13;18;7;159
ProjectIT37280141;objects.DictionaryEntry;DictionaryEntry;class;2;15;1;0;24;12;7;70
ProjectIT37280141;objects.User;User;class;0;16;1;0;48;16;3;71
ProjectIT37280141;beans.DictionaryBean;DictionaryBean;class;3;3;1;0;0;3;2;25
ProjectIT37280141;db.DBQuery;DBQuery;class;3;30;1;0;27;11;6;144
ProjectIT37280141;beans.ContentBean;ContentBean;class;4;3;1;0;0;3;2;30
ProjectIT37280141;daoimpl.StatsDB;StatsDB;class;2;11;2;0;1;2;0;81
ProjectIT37280141;util.UtilFunctions;UtilFunctions;class;3;39;1;0;190;20;0;205
ProjectIT37280141;beans.StatsBean;StatsBean;class;6;5;1;0;0;5;3;42
ProjectIT37280141;db.DBConnection;DBConnection;class;0;13;1;0;0;4;7;61
