file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Quicktionary29306601;org.quicktionary.backend.Configs;Configs;class;1;76;1;0;60;13;2;308
Quicktionary29306601;org.quicktionary.backend.database.DataStoreIO;DataStoreIO;class;4;43;1;0;0;14;6;220
Quicktionary29306601;org.quicktionary.backend.database.WordDatabase;WordDatabase;class;3;33;1;0;0;12;5;171
Quicktionary29306601;org.quicktionary.gui.PageArea;PageArea;class;4;41;5;0;17;7;5;164
Quicktionary29306601;org.quicktionary.gui.dialogs.SettingsDialog;SettingsDialog;class;1;11;6;0;8;5;6;109
Quicktionary29306601;org.quicktionary.backend.WikiDBReader;WikiDBReader;class;5;32;1;0;0;6;10;157
Quicktionary29306601;org.quicktionary.gui.SearchBox;SearchBox;class;2;21;8;0;42;13;11;117
Quicktionary29306601;org.quicktionary.gui.theme.HeaderButton;HeaderButton;class;0;8;6;0;0;4;2;68
Quicktionary29306601;org.quicktionary.backend.Searcher;Searcher;class;5;31;1;0;15;11;7;179
Quicktionary29306601;org.quicktionary.backend.parsers.XMLParserTest;XMLParserTest;class;6;63;1;0;0;63;3;444
Quicktionary29306601;org.quicktionary.gui.Application;Application;class;12;51;1;0;0;14;4;194
Quicktionary29306601;org.quicktionary.backend.History;History;class;1;21;1;0;0;7;2;90
Quicktionary29306601;org.quicktionary.gui.Main;Main;class;3;18;2;0;4;5;1;94
Quicktionary29306601;org.quicktionary.gui.PageLoadHistoryEvent;PageLoadHistoryEvent;class;2;5;1;0;4;5;1;37
Quicktionary29306601;org.quicktionary.backend.HistoryTest;HistoryTest;class;5;17;1;0;14;17;3;118
Quicktionary29306601;org.quicktionary.backend.Test;Test;class;8;69;1;0;49;59;7;575
Quicktionary29306601;org.quicktionary.backend.SearchResultListener;SearchResultListener;interface;1;6;1;0;15;6;0;37
Quicktionary29306601;org.quicktionary.gui.PageLoadEvent;PageLoadEvent;class;1;4;3;0;0;4;4;45
Quicktionary29306601;org.quicktionary.backend.database.TextNodeIO;TextNodeIO;class;2;22;1;0;6;4;0;123
Quicktionary29306601;org.quicktionary.backend.parsers.WikiMarkup;WikiMarkup;class;5;253;2;0;254;41;18;853
Quicktionary29306601;org.quicktionary.backend.TextNode;TextNode;class;1;59;1;0;0;16;24;210
Quicktionary29306601;org.quicktionary.backend.WordDatabaseTest;WordDatabaseTest;class;0;1;1;0;0;1;0;17
Quicktionary29306601;org.quicktionary.backend.WikiDBReaderTest;WikiDBReaderTest;class;4;4;1;0;0;4;2;56
Quicktionary29306601;org.quicktionary.backend.parsers.Parser;Parser;class;1;32;3;2;17;14;8;176
Quicktionary29306601;org.quicktionary.backend.parsers.XMLParser;XMLParser;class;5;164;2;0;190;32;17;667
Quicktionary29306601;org.quicktionary.gui.MainWindow;MainWindow;class;12;36;6;0;39;14;14;287
Quicktionary29306601;org.quicktionary.backend.Quicktionary;Quicktionary;class;8;24;1;0;54;16;4;179
Quicktionary29306601;org.quicktionary.backend.SearchItem;SearchItem;class;1;4;1;0;0;4;2;40
Quicktionary29306601;org.quicktionary.backend.database.IndexIO;IndexIO;class;9;40;4;0;191;23;5;226
Quicktionary29306601;org.quicktionary.gui.dialogs.ReadDatabaseDialog;ReadDatabaseDialog;class;1;18;6;0;0;6;6;136
Quicktionary29306601;org.quicktionary.backend.WordEntry;WordEntry;class;2;35;1;0;45;15;6;123
Quicktionary29306601;org.quicktionary.backend.parsers.TextNodeTest;TextNodeTest;class;4;24;1;0;274;24;1;204
Quicktionary29306601;org.quicktionary.gui.SettingsButton;SettingsButton;class;3;21;9;0;22;9;14;154
Quicktionary29306601;org.quicktionary.backend.QuicktionaryTest;QuicktionaryTest;class;7;26;1;0;42;20;4;137
Quicktionary29306601;org.quicktionary.backend.parsers.WikiMarkupTest;WikiMarkupTest;class;6;47;1;0;0;40;3;552
Quicktionary29306601;org.quicktionary.backend.SearcherTest;SearcherTest;class;7;21;1;0;0;18;6;152
Quicktionary29306601;org.quicktionary.gui.RoundedBorder;RoundedBorder;class;2;59;2;0;0;9;12;184
Quicktionary29306601;org.quicktionary.backend.database.WordEntryIO;WordEntryIO;class;3;19;1;0;0;5;3;116
Quicktionary29306601;org.quicktionary.gui.theme.StyleManager;StyleManager;class;1;25;1;0;19;10;2;122
Quicktionary29306601;org.quicktionary.gui.SearchResults;SearchResults;class;10;46;13;0;114;21;13;241
Quicktionary29306601;org.quicktionary.backend.HistoryEvent;HistoryEvent;interface;0;3;1;0;3;3;0;22
