file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
akademiwolof79801833;org.akaademiwolof.Dao.GenericApplicationRepository;GenericApplicationRepository;interface;3;0;1;0;0;0;0;67
akademiwolof79801833;org.akaademiwolof.Dao.WordSenseRepository;WordSenseRepository;interface;3;1;1;0;0;1;0;14
akademiwolof79801833;org.akaademiwolof.entity.Example;Example;class;9;8;1;0;18;8;4;47
akademiwolof79801833;org.akaademiwolof.serviceImpl.ImportDataServiceImpl;ImportDataServiceImpl;class;10;3;1;0;0;1;1;50
akademiwolof79801833;org.akaademiwolof.serviceInterface.WordTypeService;WordTypeService;interface;2;1;1;0;0;1;0;10
akademiwolof79801833;org.akaademiwolof.ConfigurationTests;ConfigurationTests;class;10;1;1;0;0;1;3;52
akademiwolof79801833;org.akaademiwolof.serviceInterface.GenericService;GenericService;interface;6;13;1;0;78;13;0;24
akademiwolof79801833;org.akaademiwolof.WordTests;WordTests;class;17;9;1;0;9;7;4;111
akademiwolof79801833;org.akaademiwolof.serviceInterface.LanguageService;LanguageService;interface;2;1;1;0;0;1;0;10
akademiwolof79801833;org.akaademiwolof.entity.Definition;Definition;class;10;8;1;0;18;8;4;48
akademiwolof79801833;org.akaademiwolof.Dao.ExampleRepository;ExampleRepository;interface;3;0;1;0;0;0;0;13
akademiwolof79801833;org.akaademiwolof.entity.Language;Language;class;9;15;1;0;83;15;5;78
akademiwolof79801833;org.akaademiwolof.Dao.GenericReadOnlyApplicationRepository;GenericReadOnlyApplicationRepository;interface;3;0;1;0;0;0;0;15
akademiwolof79801833;org.akaademiwolof.Dao.WordTypeRepository;WordTypeRepository;interface;3;1;1;0;0;1;0;15
akademiwolof79801833;org.akaademiwolof.manager.SearchManager;SearchManager;class;7;11;1;0;45;11;5;60
akademiwolof79801833;org.akaademiwolof.serviceImpl.GenericServiceImpl;GenericServiceImpl;class;10;14;1;3;0;14;1;71
akademiwolof79801833;org.akaademiwolof.serviceInterface.ImportDataService;ImportDataService;interface;0;1;1;0;0;1;0;4
akademiwolof79801833;org.akaademiwolof.serviceImpl.WordSenseServiceImpl;WordSenseServiceImpl;class;6;1;2;0;0;1;1;20
akademiwolof79801833;org.akaademiwolof.MainConfiguration;MainConfiguration;class;2;1;1;0;0;1;0;9
akademiwolof79801833;org.akaademiwolof.serviceImpl.LanguageServiceImpl;LanguageServiceImpl;class;6;2;2;0;1;2;1;24
akademiwolof79801833;org.akaademiwolof.serviceImpl.WordTypeServiceImpl;WordTypeServiceImpl;class;6;2;2;0;1;2;1;24
akademiwolof79801833;org.akaademiwolof.Dao.DefinitionRepository;DefinitionRepository;interface;3;0;1;0;0;0;0;15
akademiwolof79801833;org.akaademiwolof.Dao.LanguageRepository;LanguageRepository;interface;3;1;1;0;0;1;0;16
akademiwolof79801833;org.akaademiwolof.serviceInterface.WordSenseService;WordSenseService;interface;2;1;1;0;0;1;0;13
akademiwolof79801833;org.akaademiwolof.common.ReadExcellFile;ReadExcellFile;class;7;10;1;0;1;2;0;77
akademiwolof79801833;org.akaademiwolof.config.MainController;MainController;class;12;7;1;0;0;3;1;59
akademiwolof79801833;org.akaademiwolof.serviceImpl.DefinitionServiceImpl;DefinitionServiceImpl;class;4;0;2;0;0;0;0;12
akademiwolof79801833;org.akaademiwolof.serviceImpl.ExampleServiceImpl;ExampleServiceImpl;class;4;0;2;0;0;0;0;18
akademiwolof79801833;org.akaademiwolof.serviceInterface.ExampleService;ExampleService;interface;2;0;1;0;0;0;0;10
akademiwolof79801833;org.akaademiwolof.entity.WordSens;WordSens;class;17;29;1;0;370;29;15;183
akademiwolof79801833;org.akaademiwolof.entity.WordType;WordType;class;11;12;1;0;50;12;5;68
akademiwolof79801833;org.akaademiwolof.common.RowObject;RowObject;class;0;22;1;0;209;22;11;80
akademiwolof79801833;org.akaademiwolof.serviceInterface.DefinitionService;DefinitionService;interface;2;0;1;0;0;0;0;9
