file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.persistence.domain.Product;Product;class;2;8;1;0;0;8;3;35
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.core.domain.Product;Product;class;0;8;1;0;20;8;4;31
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.CreateEvent;CreateEvent;class;0;0;1;2;0;0;0;3
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.DeletedEvent;DeletedEvent;class;0;1;1;1;0;1;1;7
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.OrderStatusEvent;OrderStatusEvent;class;3;5;2;0;0;5;2;25
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.product.ProductDetailsEvent;ProductDetailsEvent;class;3;5;2;0;2;5;2;23
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.config.CoreConfig;CoreConfig;class;8;2;1;0;1;2;0;22
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.web.controller.StoreController;StoreController;class;12;4;1;0;3;3;3;43
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.OrderUpdatedEvent;OrderUpdatedEvent;class;3;5;2;0;0;5;2;25
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.web.domain.CustomerInfo;CustomerInfo;class;2;6;1;0;9;6;3;36
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.web.controller.SiteController;SiteController;class;9;5;1;0;3;3;3;41
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.ReadEvent;ReadEvent;class;0;1;1;0;0;1;1;7
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.web.controller.BasketQueryController;BasketQueryController;class;8;2;1;0;1;2;2;25
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.web.controller.AdminController;AdminController;class;15;12;1;0;11;7;2;87
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.web.controller.OrderStatusController;OrderStatusController;class;13;2;1;0;1;2;2;39
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.core.domain.PaymentStatus;PaymentStatus;class;0;0;1;0;0;0;0;3
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.OrderDetailsEvent;OrderDetailsEvent;class;3;5;2;0;0;5;2;25
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.core.domain.OrderStatus;OrderStatus;class;2;7;1;0;3;7;4;36
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.product.RequestAllProductsEvent;RequestAllProductsEvent;class;1;0;2;0;0;0;0;4
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.config.WebConfig;WebConfig;class;21;7;2;0;21;7;0;79
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.OrderDeletedEvent;OrderDeletedEvent;class;3;7;2;0;0;7;3;36
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.core.services.ProductService;ProductService;interface;5;3;1;0;3;3;0;11
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.PaymentDetails;PaymentDetails;class;0;6;1;0;1;6;2;25
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.RequestOrderDetailsEvent;RequestOrderDetailsEvent;class;1;2;2;0;0;2;1;12
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.web.controller.BasketCommandController;BasketCommandController;class;8;4;1;0;0;4;2;38
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.config.PersistenceConfig;PersistenceConfig;class;15;7;1;0;21;7;0;110
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.core.services.OrderEventHandler;OrderEventHandler;class;17;11;1;0;0;7;1;66
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.CreateOrderEvent;CreateOrderEvent;class;2;2;2;0;0;2;1;11
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.UpdateEvent;UpdateEvent;class;0;0;1;0;0;0;0;3
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.core.domain.Order;Order;class;5;16;1;0;88;16;8;80
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.persistence.services.OrderPersistenceEventHandler;OrderPersistenceEventHandler;class;19;17;1;0;0;8;2;87
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.RequestOrderStatusEvent;RequestOrderStatusEvent;class;1;2;2;0;0;2;1;12
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.SetOrderStatusEvent;SetOrderStatusEvent;class;2;3;2;0;0;3;2;17
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.web.domain.Product;Product;class;2;7;1;0;15;7;3;31
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.product.CreateProductEvent;CreateProductEvent;class;2;2;2;0;0;2;1;11
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.persistence.repository.OrderStatusRepository;OrderStatusRepository;interface;1;4;1;0;6;4;0;10
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.web.domain.OrderStatus;OrderStatus;class;0;6;1;0;9;6;3;24
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.persistence.services.OrderPersistenceService;OrderPersistenceService;interface;13;7;1;0;21;7;0;23
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.OrderStatusDetails;OrderStatusDetails;class;0;5;1;0;2;5;4;28
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.SetOrderPaymentEvent;SetOrderPaymentEvent;class;2;3;2;0;0;3;2;17
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.persistence.domain.OrderStatus;OrderStatus;class;2;7;1;0;3;7;4;36
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.config.SecurityConfig;SecurityConfig;class;8;3;2;0;3;3;0;54
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.core.domain.Customer;Customer;class;0;10;1;0;35;10;5;38
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.persistence.repository.OrderStatusMemoryRepository;OrderStatusMemoryRepository;class;2;7;1;0;0;4;1;32
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.product.RequestProductDetailsEvent;RequestProductDetailsEvent;class;1;2;2;0;0;2;1;11
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.RequestReadEvent;RequestReadEvent;class;0;0;1;0;0;0;0;3
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.RequestAllOrdersEvent;RequestAllOrdersEvent;class;1;0;2;0;0;0;0;4
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.core.domain.PaymentDetails;PaymentDetails;class;0;0;1;0;0;0;0;3
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.DeleteOrderEvent;DeleteOrderEvent;class;1;2;2;0;0;2;1;12
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.persistence.repository.OrdersMemoryRepository;OrdersMemoryRepository;class;2;7;1;0;0;5;1;37
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.product.ProductDetails;ProductDetails;class;0;7;1;0;3;7;3;29
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.core.services.ProductEventHandler;ProductEventHandler;class;7;4;1;0;0;4;1;31
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.CreatedEvent;CreatedEvent;class;0;0;1;1;0;0;0;3
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.AllOrdersEvent;AllOrdersEvent;class;2;2;2;0;0;2;1;14
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.core.services.OrderService;OrderService;interface;12;6;1;0;15;6;0;24
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.persistence.domain.Order;Order;class;3;20;1;0;123;18;9;86
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.core.domain.Payment;Payment;class;0;0;1;0;0;0;0;3
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.UpdatedEvent;UpdatedEvent;class;0;1;1;0;0;1;1;7
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.OrderDetails;OrderDetails;class;1;24;1;0;178;21;9;93
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.config.WebAppInitializer;WebAppInitializer;class;8;4;2;0;6;4;0;30
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.DeleteEvent;DeleteEvent;class;0;0;1;1;0;0;0;3
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.product.AllProductsEvent;AllProductsEvent;class;2;2;2;0;0;2;1;12
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.events.orders.OrderCreatedEvent;OrderCreatedEvent;class;2;3;2;0;0;3;2;17
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.persistence.services.ProductPersistenceService;ProductPersistenceService;interface;5;3;1;0;3;3;0;11
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.persistence.services.ProductPersistenceEventHandler;ProductPersistenceEventHandler;class;9;7;1;0;0;4;1;44
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.config.SecurityWebAppInitializer;SecurityWebAppInitializer;class;2;0;2;0;0;0;0;6
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.persistence.repository.OrdersRepository;OrdersRepository;interface;1;4;1;0;6;4;0;9
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.web.controller.CheckoutController;CheckoutController;class;15;7;1;0;4;5;3;65
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.web.controller.LoginController;LoginController;class;3;2;1;0;1;2;0;18
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.persistence.repository.ProductMemoryRepository;ProductMemoryRepository;class;2;9;1;0;0;6;1;36
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.persistence.repository.ProductRepository;ProductRepository;interface;1;4;1;0;6;4;0;8
SpringMVC_KSU-eCommerce54602546;com.ksuclothing.web.domain.Basket;Basket;class;7;15;1;0;0;11;3;70
