file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
eCommerce_LinkedData_Exporter29994862;de.fuberlin.wiwiss.d2rq.nodes.NodeSetFilter;NodeSetFilter;interface;7;11;1;0;55;11;0;78
eCommerce_LinkedData_Exporter29994862;de.fuberlin.wiwiss.d2rq.map.CompileTest;CompileTest;class;10;11;2;0;13;10;10;105
eCommerce_LinkedData_Exporter29994862;de.fuberlin.wiwiss.d2rq.engine.OpUnionTableSQL;OpUnionTableSQL;class;15;19;2;0;0;8;2;92
eCommerce_LinkedData_Exporter29994862;de.fuberlin.wiwiss.d2rq.expr.Constant;Constant;class;6;25;2;1;0;11;2;80
eCommerce_LinkedData_Exporter29994862;de.fuberlin.wiwiss.d2rq.dbschema.DatabaseSchemaInspector;DatabaseSchemaInspector;class;9;64;1;0;0;15;7;296
eCommerce_LinkedData_Exporter29994862;de.fuberlin.wiwiss.d2rq.engine.QueryEngineD2RQ;QueryEngineD2RQ;class;15;16;2;0;48;12;3;103
eCommerce_LinkedData_Exporter29994862;com.eislabgroupb.util.ValidatorTest;ValidatorTest;class;1;1;1;0;0;1;0;10
eCommerce_LinkedData_Exporter29994862;de.fuberlin.wiwiss.d2rq.mapgen.Filter;Filter;class;5;36;1;5;465;25;3;79
eCommerce_LinkedData_Exporter29994862;de.fuberlin.wiwiss.d2rq.D2RQTestSuite;D2RQTestSuite;class;5;3;1;0;3;3;3;49
eCommerce_LinkedData_Exporter29994862;de.fuberlin.wiwiss.d2rq.expr.Equality;Equality;class;8;22;2;0;2;13;3;78
eCommerce_LinkedData_Exporter29994862;de.fuberlin.wiwiss.d2rq.engine.TransformOpBGP;TransformOpBGP;class;15;27;2;0;0;5;4;97
eCommerce_LinkedData_Exporter29994862;de.fuberlin.wiwiss.d2rq.parser.URITest;URITest;class;1;4;2;0;6;4;0;20
eCommerce_LinkedData_Exporter29994862;de.fuberlin.wiwiss.d2rq.sql.types.SQLBinary;SQLBinary;class;4;13;2;0;17;7;2;50
