file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Education31279288;Class1;Class1;class;2;5;1;0;8;5;1;52;
Education31279288;Suit;Suit;enum;0;0;1;0;0;0;0;9;
Education31279288;com.patterns.mvc.controller.Controller;Controller;class;4;2;1;0;1;2;2;20;
Education31279288;A;A;class;0;1;1;1;0;1;0;6;
Education31279288;products.Pizza;Pizza;class;0;6;1;0;8;5;4;32;
Education31279288;NotRecursionMS;NotRecursionMS;class;0;19;1;0;6;4;0;35;
Education31279288;QuickSort;QuickSort;class;0;15;1;0;6;4;0;33;
Education31279288;MergeSort;MergeSort;class;0;22;1;0;10;5;0;39;
Education31279288;Dollar;Dollar;class;2;2;1;0;0;2;1;13;
Education31279288;BSTDepth;BSTDepth;class;2;19;1;0;0;5;4;58;
Education31279288;MainSnmp;MainSnmp;class;4;1;1;0;0;1;0;17;
Education31279288;B;B;class;1;2;3;0;1;2;0;11;
Education31279288;PizzaTestDrive;PizzaTestDrive;class;4;1;1;0;0;1;0;17;
Education31279288;Main;Main;class;0;6;1;0;0;1;0;18;
Education31279288;Croc;Croc;class;1;11;1;0;4;4;2;40;
Education31279288;Test;Test;class;0;3;1;0;0;1;0;20;
Education31279288;LLStack;LLStack;class;2;7;1;0;0;4;3;34;
Education31279288;View.SnmpView;SnmpView;class;2;8;5;0;17;7;12;125;
Education31279288;stream.UpperCaseInputStream;UpperCaseInputStream;class;1;5;3;0;3;3;0;23;
Education31279288;Singleton;Singleton;class;1;6;1;0;4;4;2;14;
Education31279288;Card;Card;class;1;25;1;0;0;8;19;92;
Education31279288;Controller.ResponceWorker;ResponceWorker;class;19;16;1;0;13;7;4;100;
Education31279288;stream.InputTest;InputTest;class;1;4;1;0;0;1;0;19;
Education31279288;com.patterns.mvc.view.LoginFromEvent;LoginFromEvent;class;0;5;1;0;0;5;2;24;
Education31279288;CurrencyObserver;CurrencyObserver;interface;0;1;1;0;0;1;0;6;
Education31279288;creators.ChicagoPizzaStore;ChicagoPizzaStore;class;3;3;2;0;0;1;0;15;
Education31279288;creators.PizzaStore;PizzaStore;class;1;2;1;0;1;2;0;17;
Education31279288;com.patterns.mvc.model.Model;Model;class;0;0;1;0;0;0;0;6;
Education31279288;Factorial;Factorial;class;1;7;1;0;1;2;0;22;
Education31279288;Pizza;Pizza;class;1;0;1;0;0;0;2;7;
Education31279288;products.ChicagoStyleCheesePizza;ChicagoStyleCheesePizza;class;1;1;2;0;0;1;0;15;
Education31279288;creators.NYPizzaStore;NYPizzaStore;class;3;3;2;0;0;1;0;15;
Education31279288;products.NYStyleCheesePiza;NYStyleCheesePiza;class;1;1;2;0;0;1;0;12;
Education31279288;ArrayStack;ArrayStack;class;0;10;1;0;0;5;2;29;
Education31279288;Common3ArrElem;Common3ArrElem;class;0;10;1;0;0;1;0;35;
Education31279288;QuadrArea;QuadrArea;class;3;46;1;0;30;9;1;154;
Education31279288;SingletonPattern;SingletonPattern;class;1;2;1;0;0;1;0;15;
Education31279288;ReverseLL;ReverseLL;class;4;17;1;0;4;9;6;84;
Education31279288;RecursiaFactorial;RecursiaFactorial;class;1;3;1;0;1;2;0;12;
Education31279288;ResultData;ResultData;class;0;6;1;0;0;6;4;30;
Education31279288;Anagram;Anagram;class;2;9;1;0;6;4;0;36;
Education31279288;com.patterns.mvc.view.View;View;class;3;6;6;0;2;4;5;82;
Education31279288;CharSeqImpl;CharSeqImpl;class;2;11;1;0;3;6;1;40;
Education31279288;Model.InputData;InputData;class;0;10;1;0;9;6;3;28;
Education31279288;Observerable;Observerable;interface;0;1;1;0;0;1;0;6;
Education31279288;Euro;Euro;class;2;2;1;0;0;2;1;15;
Education31279288;Swap;Swap;class;1;3;1;0;1;3;2;23;
Education31279288;AuctionData;AuctionData;class;0;12;1;0;14;12;5;50;
Education31279288;Model.OidResult;OidResult;class;0;2;2;0;0;2;1;12;
Education31279288;TestCards;TestCards;class;2;1;1;0;0;1;0;12;
Education31279288;com.patterns.mvc.view.LoginListener;LoginListener;interface;1;1;1;0;0;1;0;7;
Education31279288;com.patterns.mvc.Application;Application;class;3;3;1;0;3;2;0;24;
Education31279288;Insertion;Insertion;class;0;10;1;0;0;4;1;38;
Education31279288;Deck;Deck;class;1;4;1;0;0;2;3;19;
Education31279288;Shape;Shape;class;0;4;1;0;2;4;2;19;
Education31279288;BinarySearchTree;BinarySearchTree;class;5;25;1;0;22;12;5;90;
Education31279288;DataStructure;DataStructure;class;4;25;1;0;57;12;4;132;
Education31279288;Shell;Shell;class;0;10;1;0;0;4;1;43;
Education31279288;Selection;Selection;class;0;10;1;0;0;4;1;42;
Education31279288;Moex;Moex;class;9;89;1;0;16;8;6;252;
Education31279288;Rank;Rank;enum;0;0;1;0;0;0;0;6;
Education31279288;CurrencySubject;CurrencySubject;class;2;5;1;0;2;4;2;24;
Education31279288;CurrencyTest;CurrencyTest;class;3;1;1;0;0;1;0;13;
Education31279288;RemoveObjFromAL;RemoveObjFromAL;class;0;6;1;0;0;1;0;35;
Education31279288;C;C;class;1;1;2;0;0;1;1;7;
