file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Educational-Game-for-Kids-Using-Adaptive-Learning10724115;mathgame.BackGroundPanel;BackGroundPanel;class;4;169;8;0;182;26;54;659;
Educational-Game-for-Kids-Using-Adaptive-Learning10724115;Final.RandomNumberGenerator;RandomNumberGenerator;class;1;5;1;0;1;3;1;29;
Educational-Game-for-Kids-Using-Adaptive-Learning10724115;Final.Specific_Random;Specific_Random;class;1;5;1;0;1;3;1;29;
Educational-Game-for-Kids-Using-Adaptive-Learning10724115;memory_game.BackGroundPanel;BackGroundPanel;class;4;217;8;0;209;26;40;795;
Educational-Game-for-Kids-Using-Adaptive-Learning10724115;enggame.BackGroundPanel;BackGroundPanel;class;2;49;8;0;101;16;38;410;
Educational-Game-for-Kids-Using-Adaptive-Learning10724115;Final.Mapp;Mapp;class;1;6;1;0;1;2;0;98;
Educational-Game-for-Kids-Using-Adaptive-Learning10724115;mathgame.Calculate;Calculate;class;0;23;1;0;0;1;0;66;
Educational-Game-for-Kids-Using-Adaptive-Learning10724115;Final.BackGroundPanel;BackGroundPanel;class;3;78;8;0;141;24;57;463;
Educational-Game-for-Kids-Using-Adaptive-Learning10724115;mathgame.Gen_ran;Gen_ran;class;1;55;1;0;1;3;4;157;
Educational-Game-for-Kids-Using-Adaptive-Learning10724115;memory_game.Pic_no;Pic_no;class;2;22;1;0;3;6;6;95;
Educational-Game-for-Kids-Using-Adaptive-Learning10724115;sample.BackGroundPanel;BackGroundPanel;class;1;20;8;0;36;10;11;148;
Educational-Game-for-Kids-Using-Adaptive-Learning10724115;mathgame.random_without_rep;random_without_rep;class;1;5;1;0;1;2;0;41;
