file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.view.AddNewBookView;AddNewBookView;class;9;3;2;0;0;1;2;42;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.factory.LazyContainersFactoryImpl;LazyContainersFactoryImpl;class;6;2;1;0;0;2;1;25;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.user.client.ui.MenuBar_Resources_default_InlineClientBundleGenerator;MenuBar_Resources_default_InlineClientBundleGenerator;class;6;12;1;0;9;6;5;50;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.repository.BookRepository;BookRepository;interface;3;1;1;0;0;1;0;18;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.i18n.client.impl.LocaleInfoImpl_;LocaleInfoImpl_;class;5;4;3;0;6;4;0;25;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.view.AddNewStudentView;AddNewStudentView;class;11;3;2;0;0;1;2;50;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.useragent.client.UserAgentImplGecko1_8;UserAgentImplGecko1_8;class;1;2;1;0;1;2;0;26;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.useragent.client.UserAgentImplIe8;UserAgentImplIe8;class;1;2;1;0;1;2;0;26;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.useragent.client.UserAgentImplIe10;UserAgentImplIe10;class;1;2;1;0;1;2;0;26;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.vaadin.client.ui.richtextarea.VRichTextToolbar_Strings_;VRichTextToolbar_Strings_;class;1;35;1;0;595;35;0;108;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.service.StudentService;StudentService;interface;1;4;1;0;6;4;0;9;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.configs.AppConfig;AppConfig;class;21;5;2;0;4;4;1;88;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.repository.StudentRepository;StudentRepository;interface;2;0;1;0;0;0;0;13;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.i18n.client.impl.LocaleInfoImpl_shared;LocaleInfoImpl_shared;class;2;11;2;0;8;5;2;40;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.vaadin.client.ui.richtextarea.VRichTextToolbar_Images_default_InlineClientBundleGenerator;VRichTextToolbar_Images_default_InlineClientBundleGenerator;class;6;79;1;0;1284;57;38;440;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.model.Student;Student;class;8;40;1;0;18;13;4;100;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.model.Book;Book;class;9;41;1;0;7;14;4;107;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.vaadin.client.metadata.ConnectorBundleLoaderImpl;ConnectorBundleLoaderImpl;class;131;571;2;0;116403;1;0;5835;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.service.BookServiceImpl;BookServiceImpl;class;8;8;1;0;0;6;1;52;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.useragent.client.UserAgentImplIe9;UserAgentImplIe9;class;1;2;1;0;1;2;0;26;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.vaadin.client.debug.internal.theme.DebugWindowStyles_default_InlineClientBundleGenerator;DebugWindowStyles_default_InlineClientBundleGenerator;class;7;33;1;0;182;18;8;149;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.vaadin.client.ui.dd.VAcceptCriterionFactoryImpl;VAcceptCriterionFactoryImpl;class;15;29;2;0;0;1;0;22;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.factory.LazyContainersFactory;LazyContainersFactory;interface;2;2;1;0;1;2;0;11;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.service.BookService;BookService;interface;1;6;1;0;15;6;0;21;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.i18n.client.constants.NumberConstantsImpl_;NumberConstantsImpl_;class;1;19;1;0;171;19;0;60;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.lang.vaadin_00046VaadinSpring_00046MyAppWidgetset__EntryMethodHolder;vaadin_00046VaadinSpring_00046MyAppWidgetset__EntryMethodHolder;class;0;1;1;0;0;1;0;6;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.service.StudentServiceImpl;StudentServiceImpl;class;5;6;1;0;0;4;1;31;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.user.client.impl.WindowImplIE_Resources_default_InlineClientBundleGenerator;WindowImplIE_Resources_default_InlineClientBundleGenerator;class;6;25;1;0;141;12;5;107;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.user.client.ui.impl.ClippedImageImpl_TemplateImpl;ClippedImageImpl_TemplateImpl;class;6;1;1;0;0;1;0;12;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.ui.MyUI;MyUI;class;13;1;3;0;0;1;2;55;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.user.client.ui.impl.ClippedImageImpl_DraggableTemplateImpl;ClippedImageImpl_DraggableTemplateImpl;class;6;1;1;0;0;1;0;12;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.i18n.client.CurrencyList_;CurrencyList_;class;5;5;2;0;10;5;0;1215;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.user.client.DocumentModeAsserter_DocumentModeProperty;DocumentModeAsserter_DocumentModeProperty;class;2;2;1;0;1;2;0;12;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.view.StudentView;StudentView;class;16;4;2;0;4;4;5;105;
EducationalProject-Vaadin-Spring-Hibernate-61108159;demo.view.MainView;MainView;class;19;7;2;0;15;4;6;119;
EducationalProject-Vaadin-Spring-Hibernate-61108159;com.google.gwt.useragent.client.UserAgentImplSafari;UserAgentImplSafari;class;1;2;1;0;1;2;0;26;
