file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
J2DGLibrary46563442;Hero;Hero;class;5;22;1;0;15;4;0;65;
J2DGLibrary46563442;J2DGLibrary.Events.CollisionListener;CollisionListener;interface;1;3;1;0;3;3;0;9;
J2DGLibrary46563442;com.asap.JGLibrary.core.GameObjects.Sprites.StaticSprite;StaticSprite;class;2;3;2;0;0;2;1;29;
J2DGLibrary46563442;J2DGLibrary.core.GameObjects.PhysicalObject;PhysicalObject;class;5;50;1;1;108;15;12;179;
J2DGLibrary46563442;com.asap.JGLibrary.core.Game;Game;class;2;37;3;0;77;12;8;192;
J2DGLibrary46563442;com.asap.JGLibrary.Events.CollisionListener;CollisionListener;interface;1;3;1;0;3;3;0;9;
J2DGLibrary46563442;J2DGLibrary.Events.CollisionEvent;CollisionEvent;class;1;1;1;0;0;1;1;11;
J2DGLibrary46563442;com.asap.JGLibrary.Events.CollisionEvent;CollisionEvent;class;1;1;1;0;0;1;1;11;
J2DGLibrary46563442;com.asap.JGLibrary.core.GameObjects.Sprites.AnimatedSprite;AnimatedSprite;class;1;9;2;0;9;6;5;46;
J2DGLibrary46563442;J2DGLibrary.core.Game;Game;class;2;37;3;1;77;12;8;191;
J2DGLibrary46563442;J2DGLibrary.Events.CollisionAdapter;CollisionAdapter;class;2;3;1;0;3;3;0;17;
J2DGLibrary46563442;com.asap.JGLibrary.Utils.Input;Input;class;2;15;1;0;2;8;3;67;
J2DGLibrary46563442;Personnage;Personnage;class;1;2;1;0;1;2;0;191;
J2DGLibrary46563442;J2DGLibrary.core.GameObjects.Sprites.Sprite;Sprite;class;1;9;1;1;4;4;1;54;
J2DGLibrary46563442;Floor;Floor;class;3;2;1;0;1;2;0;22;
J2DGLibrary46563442;com.asap.JGLibrary.core.GameObjects.PhysicalObject;PhysicalObject;class;5;44;1;0;98;14;12;159;
J2DGLibrary46563442;J2DGLibrary.core.GameObjects.Sprites.StaticSprite;StaticSprite;class;2;3;2;0;0;2;1;29;
J2DGLibrary46563442;J2DGLibrary.core.GameObjects.GameObject;GameObject;class;5;30;1;2;145;19;7;126;
J2DGLibrary46563442;com.asap.JGLibrary.core.GameObjects.GameObject;GameObject;class;5;30;1;2;145;19;7;127;
J2DGLibrary46563442;J2DGLibrary.core.GameObjects.VisualObject;VisualObject;class;1;2;1;0;1;2;0;12;
J2DGLibrary46563442;com.asap.JGLibrary.core.GameObjects.Sprites.Sprite;Sprite;class;1;9;1;1;4;4;1;54;
J2DGLibrary46563442;J2DGLibrary.Utils.AsapError;AsapError;class;0;2;1;0;0;2;1;15;
J2DGLibrary46563442;com.asap.JGLibrary.HitBox;HitBox;class;5;36;3;0;77;15;7;158;
J2DGLibrary46563442;Background;Background;class;2;2;1;0;1;2;0;12;
J2DGLibrary46563442;BufferedImageDrawing;BufferedImageDrawing;class;1;3;2;0;0;2;3;40;
J2DGLibrary46563442;J2DGLibrary.Utils.Vector2D;Vector2D;class;1;17;1;0;67;15;2;87;
J2DGLibrary46563442;Ninjama;Ninjama;class;4;3;4;0;3;3;1;21;
J2DGLibrary46563442;com.asap.JGLibrary.Utils.Vector2D;Vector2D;class;1;10;1;0;0;10;2;54;
J2DGLibrary46563442;com.asap.JGLibrary.Events.CollisionAdapter;CollisionAdapter;class;2;3;1;0;3;3;0;17;
J2DGLibrary46563442;J2DGLibrary.Utils.Input;Input;class;2;15;1;0;2;8;3;67;
J2DGLibrary46563442;J2DGLibrary.HitBox;HitBox;class;5;37;3;0;90;16;7;162;
J2DGLibrary46563442;com.asap.JGLibrary.core.GameObjects.VisualObject;VisualObject;class;1;2;1;0;1;2;0;12;
J2DGLibrary46563442;com.asap.JGLibrary.Utils.AsapError;AsapError;class;0;2;1;0;0;2;1;15;
J2DGLibrary46563442;J2DGLibrary.core.GameObjects.Sprites.AnimatedSprite;AnimatedSprite;class;1;9;2;0;9;6;5;46;
