file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
JavaSEtraining49764272;training.PrintMatrix;PrintMatrix;class;1;6;1;0;0;1;0;41;
JavaSEtraining49764272;com.jse.fundamentals.syntax.DecimalToHexadecimal;DecimalToHexadecimal;class;0;1;1;0;0;1;0;11;
JavaSEtraining49764272;tutorials._exceptionhandling.ExpressionParseException;ExpressionParseException;class;0;2;2;0;1;2;0;8;
JavaSEtraining49764272;tutorials._exceptionhandling.ReadFileNew;ReadFileNew;class;0;4;1;0;0;1;0;21;
JavaSEtraining49764272;com.softuni.jse.coding101.StupidPasswordsGenerator;StupidPasswordsGenerator;class;0;6;1;0;0;1;0;28;
JavaSEtraining49764272;tutorials._classes.Boo;Boo;class;1;3;1;0;3;3;1;15;
JavaSEtraining49764272;com.softuni.jse.fundamentals.ExactSumOfRealNumbers;ExactSumOfRealNumbers;class;0;2;1;0;0;1;0;23;
JavaSEtraining49764272;com.tutorials.patterns.design.ShapeFactory;ShapeFactory;class;4;9;1;0;0;1;0;16;
JavaSEtraining49764272;com.jse.tutorials.algorithms.searching.graphs.Node;Node;class;0;6;1;0;3;6;2;23;
JavaSEtraining49764272;com.jse.hackerrank.tasks01.SomeSnippetsTemplates18;SomeSnippetsTemplates18;class;0;8;1;0;0;1;0;66;
JavaSEtraining49764272;training.ReverseArray;ReverseArray;class;1;2;1;0;0;1;0;14;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.behavioural.command.Order;Order;interface;0;1;1;0;0;1;0;4;
JavaSEtraining49764272;training.ClassObjectPackage;ClassObjectPackage;class;1;2;1;0;0;1;0;27;
JavaSEtraining49764272;com.softuni.jse.fundamentals.CountLettersInString;CountLettersInString;class;1;5;1;0;0;1;0;33;
JavaSEtraining49764272;com.jse.hackerrank.tasks03.SomeSnippetsTemplates33;SomeSnippetsTemplates33;class;1;5;1;0;0;1;0;33;
JavaSEtraining49764272;com.jse.hackerrank.tasks07.SomeSnippetsTemplates78;SomeSnippetsTemplates78;class;1;7;1;0;4;4;2;46;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.creational.abstract_factory.Green;Green;class;1;1;1;0;0;1;0;7;
JavaSEtraining49764272;com.jse.tutorials.data_structures.doubly_linked_list.DoublyLinkedList;DoublyLinkedList;class;0;1;1;0;0;1;0;5;
JavaSEtraining49764272;com.jse.tutorials.data_structures.tree.Tree;Tree;class;2;1;1;0;0;1;1;7;
JavaSEtraining49764272;com.jse.hackerrank.tasks00.SomeSnippetsTemplates07;SomeSnippetsTemplates07;class;0;8;1;0;1;2;0;36;
JavaSEtraining49764272;com.jse.tutorials.algorithms.searching.BinarySearch;BinarySearch;class;1;11;1;0;1;2;0;51;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.behavioural.observer.HexObserver;HexObserver;class;2;2;2;0;1;2;0;12;
JavaSEtraining49764272;com.softuni.jse.coding101.RadiansToDegrees;RadiansToDegrees;class;0;1;1;0;0;1;0;11;
JavaSEtraining49764272;com.jse.tutorials.multithreading.threads.Thread1;Thread1;class;0;2;2;0;0;1;0;10;
JavaSEtraining49764272;com.jse.tutorials.multithreading.threads.ThreadUsage;ThreadUsage;class;2;1;1;0;0;1;0;9;
JavaSEtraining49764272;tutorials.oop.FactoryMethod;FactoryMethod;class;2;1;2;0;0;1;0;7;
JavaSEtraining49764272;com.softuni.jse.coding101.NumbersFromNTo1;NumbersFromNTo1;class;0;2;1;0;0;1;0;12;
JavaSEtraining49764272;tutorials.datastructures.DirectoryTraverserDFS;DirectoryTraverserDFS;class;0;6;1;0;3;3;0;36;
JavaSEtraining49764272;com.softuni.jse.fundamentals.LargestCommonEnd;LargestCommonEnd;class;0;9;1;0;1;2;0;34;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.creational.prototype.Square;Square;class;1;2;2;0;1;2;0;10;
JavaSEtraining49764272;com.jse.fundamentals.collections.SequencesOfEqualStrings;SequencesOfEqualStrings;class;0;4;1;0;0;1;0;20;
JavaSEtraining49764272;com.softuni.jse.coding101.InchesToCentimeters;InchesToCentimeters;class;0;1;1;0;0;1;0;12;
JavaSEtraining49764272;com.softuni.jse.coding101.Histogram;Histogram;class;0;12;1;0;0;1;0;48;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.creational.builder.MealBuilder;MealBuilder;class;5;2;1;0;1;2;0;15;
JavaSEtraining49764272;com.jse.tutorials.language.exceptions.ExceptionsUsage;ExceptionsUsage;class;0;2;1;0;0;1;0;17;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.structural.composite.Employee;Employee;class;1;5;1;0;0;5;4;29;
JavaSEtraining49764272;tutorials.othersingleexamples.RecursiveFactorial;RecursiveFactorial;class;0;4;1;0;1;2;0;19;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.behavioural.interpreter.Expression;Expression;interface;0;1;1;0;0;1;0;4;
JavaSEtraining49764272;testing.unit.Money;Money;class;2;9;1;0;6;5;2;44;
JavaSEtraining49764272;tutorials.othersingleexamples.Triangle;Triangle;class;0;6;1;0;3;3;0;26;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.behavioural._null_object.RealCustomer;RealCustomer;class;1;3;2;0;3;3;0;14;
JavaSEtraining49764272;testing.unit.AssertTests;AssertTests;class;2;4;1;0;0;4;3;28;
JavaSEtraining49764272;com.company.games.Game;Game;class;4;33;1;0;86;16;7;133;
JavaSEtraining49764272;snippets.Printer;Printer;class;1;1;1;0;0;1;0;7;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.behavioural.observer.OctalObserver;OctalObserver;class;2;2;2;0;1;2;0;12;
JavaSEtraining49764272;com.jse.hackerrank.tasks02.SomeSnippetsTemplates22;SomeSnippetsTemplates22;class;2;8;1;0;1;2;0;28;
JavaSEtraining49764272;com.softuni.jse.coding101.GreetingByName;GreetingByName;class;0;1;1;0;0;1;0;11;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.structural.adapter.MP4Player;MP4Player;class;1;2;1;0;1;2;0;9;
JavaSEtraining49764272;com.jse.hackerrank.tasks08.SomeSnippetsTemplates89;SomeSnippetsTemplates89;class;3;13;1;0;10;5;0;50;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.behavioural.chain_of_responsibility.FileLogger;FileLogger;class;1;2;2;0;1;2;0;10;
JavaSEtraining49764272;com.softuni.jse.coding101.Volleyball;Volleyball;class;0;3;1;0;0;1;0;20;
JavaSEtraining49764272;snippets.Felidae;Felidae;class;1;9;2;1;28;9;2;27;
JavaSEtraining49764272;tutorials.othersingleexamples.DataValidation;DataValidation;class;0;5;1;0;3;3;0;26;
JavaSEtraining49764272;com.softuni.jse.coding101.PersonalTitles;PersonalTitles;class;0;11;1;0;0;1;0;23;
JavaSEtraining49764272;com.training.gui.TestApplicationUI;TestApplicationUI;class;1;5;1;0;4;3;1;35;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.behavioural._null_object.CustomerFactory;CustomerFactory;class;3;4;1;0;0;1;1;12;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.structural.flyweight.Shape;Shape;interface;0;1;1;0;0;1;0;4;
JavaSEtraining49764272;tutorials.exams.WordsCounter;WordsCounter;class;0;19;1;0;21;7;0;64;
JavaSEtraining49764272;com.jse.fundamentals.collections.SortArrayOfNumbers;SortArrayOfNumbers;class;1;3;1;0;0;1;0;21;
JavaSEtraining49764272;com.jse.hackerrank.tasks05.SomeSnippetsTemplates55;SomeSnippetsTemplates55;class;1;10;1;0;1;2;0;41;
JavaSEtraining49764272;com.softuni.jse.other.Min3Number;Min3Number;class;1;3;1;0;0;1;0;18;
JavaSEtraining49764272;com.tutorials.exam.preparation.Weightlifting;Weightlifting;class;0;8;1;0;0;1;0;40;
JavaSEtraining49764272;com.tutorials.multithreading.PrintDemo;PrintDemo;class;0;3;1;0;0;1;0;12;
JavaSEtraining49764272;com.jse.hackerrank.games.hangman.HangmanApplication;HangmanApplication;class;1;6;1;0;0;1;0;37;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.structural.facade.Square;Square;class;1;1;1;0;0;1;0;7;
JavaSEtraining49764272;com.jse.fundamentals.oop.items.Cuboid;Cuboid;class;4;7;3;0;0;7;3;42;
JavaSEtraining49764272;com.softuni.jse.fundamentals.MiddleElements;MiddleElements;class;1;9;1;0;1;2;0;34;
JavaSEtraining49764272;com.jse.fundamentals.loopsmethodsclasses.SymmetricNumbersInRange;SymmetricNumbersInRange;class;0;14;1;0;0;1;0;36;
JavaSEtraining49764272;snippets.ModifyArray;ModifyArray;class;1;2;1;0;1;2;0;17;
JavaSEtraining49764272;com.softuni.jse.fundamentals.AnimalType;AnimalType;class;0;5;1;0;0;1;0;23;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.behavioural.visitor.Monitor;Monitor;class;2;1;1;0;0;1;0;7;
JavaSEtraining49764272;com.jse.hackerrank.tasks10.SomeSnippetsTemplates105;SomeSnippetsTemplates105;class;1;4;1;0;3;3;0;18;
JavaSEtraining49764272;com.tutorials.game.states.MenuState;MenuState;class;1;3;2;0;3;3;0;9;
JavaSEtraining49764272;tutorials.exams.SchoolTest;SchoolTest;class;4;3;1;0;1;2;0;39;
JavaSEtraining49764272;tutorials.oop.Main;Main;class;3;1;1;0;0;1;0;9;
JavaSEtraining49764272;com.jse.tutorials.data_structures.priority_queue.PriorityQueue;PriorityQueue;class;0;1;1;0;0;1;0;5;
JavaSEtraining49764272;com.tutorials.algorithms.sorting.InsertionSort;InsertionSort;class;1;6;1;0;1;2;0;24;
JavaSEtraining49764272;snippets.Strings;Strings;class;0;3;1;0;0;1;0;63;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.behavioural.chain_of_responsibility.ErrorLogger;ErrorLogger;class;1;2;2;0;1;2;0;10;
JavaSEtraining49764272;com.jse.hackerrank.tasks08.SomeSnippetsTemplates82;SomeSnippetsTemplates82;class;1;44;1;0;0;14;3;159;
JavaSEtraining49764272;com.softuni.jse.coding101.NumberInRangeFrom1To100;NumberInRangeFrom1To100;class;0;2;1;0;0;1;0;15;
JavaSEtraining49764272;testing.unit.PrintMessageTests;PrintMessageTests;class;2;2;1;0;1;2;0;18;
JavaSEtraining49764272;com.softuni.jse.fundamentals.Largest3Numbers;Largest3Numbers;class;0;1;1;0;0;1;0;8;
JavaSEtraining49764272;com.jse.tutorials.data_structures.usage.list.LinkedListUsage;LinkedListUsage;class;0;1;1;0;0;1;0;13;
JavaSEtraining49764272;snippets.VariablesAdditional;VariablesAdditional;class;1;3;1;0;0;1;0;31;
JavaSEtraining49764272;com.softuni.jse.fundamentals.RotateAMatrix;RotateAMatrix;class;0;5;1;0;0;1;0;23;
JavaSEtraining49764272;com.tutorials.testing.unit.AllTests;AllTests;class;5;0;1;0;0;0;0;8;
JavaSEtraining49764272;com.tutorials._regex.RegexMatches;RegexMatches;class;0;3;1;0;0;1;0;18;
JavaSEtraining49764272;com.jse.tutorials.data_structures.usage.list.DequeueUsage;DequeueUsage;class;0;1;1;0;0;1;0;14;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.structural.filter.CriteriaMale;CriteriaMale;class;2;4;1;0;0;1;0;15;
JavaSEtraining49764272;com.tutorials._gui.address.view.PersonEditDialogController;PersonEditDialogController;class;5;26;1;0;3;7;9;128;
JavaSEtraining49764272;com.jse.hackerrank.tasks05.SomeSnippetsTemplates56;SomeSnippetsTemplates56;class;2;25;1;0;15;6;0;77;
JavaSEtraining49764272;snippets.MathTest;MathTest;class;0;1;1;0;0;1;0;15;
JavaSEtraining49764272;com.jse.codility.test.MaximumNumberOfWordsInASentence;MaximumNumberOfWordsInASentence;class;1;5;1;0;1;2;0;34;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.structural.bridge.DrawAPI;DrawAPI;interface;0;1;1;0;0;1;0;4;
JavaSEtraining49764272;com.jse.hackerrank.tasks08.SomeSnippetsTemplates81;SomeSnippetsTemplates81;class;6;22;9;0;3;7;7;111;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.behavioural.command.SellStock;SellStock;class;2;2;1;0;0;2;1;11;
JavaSEtraining49764272;com.softuni.jse.coding101.DateAfter5Days;DateAfter5Days;class;0;17;1;0;0;1;0;46;
JavaSEtraining49764272;tutorials._exceptionhandling.ThrowException;ThrowException;class;0;1;1;0;0;1;0;10;
JavaSEtraining49764272;com.jse.tutorials.algorithms.sequences.FibonacciRecursive;FibonacciRecursive;class;0;4;1;0;1;2;0;17;
JavaSEtraining49764272;snippets.Conditionals;Conditionals;class;0;1;1;0;0;1;0;11;
JavaSEtraining49764272;tutorials.othersingleexamples.SortNumbers;SortNumbers;class;1;7;1;0;1;2;0;27;
JavaSEtraining49764272;snippets.SubsetsQueue;SubsetsQueue;class;0;5;1;0;0;1;0;25;
JavaSEtraining49764272;tutorials._classes.OuterClass;OuterClass;class;2;4;1;0;0;4;2;22;
JavaSEtraining49764272;com.jse.hackerrank.tasks02.SomeSnippetsTemplates29;SomeSnippetsTemplates29;class;2;9;1;0;1;2;0;70;
JavaSEtraining49764272;com.softuni.jse.coding101.ChristmasTree;ChristmasTree;class;1;2;1;0;0;1;0;19;
JavaSEtraining49764272;com.tutorials.exam.preparation.ValidUsernames;ValidUsernames;class;0;7;1;0;0;1;0;32;
JavaSEtraining49764272;tutorials.othersingleexamples.CountWordOccurrences;CountWordOccurrences;class;0;7;1;0;0;1;0;35;
JavaSEtraining49764272;tutorials._exceptionhandling.ReadFile;ReadFile;class;0;2;1;0;0;1;0;17;
JavaSEtraining49764272;com.jse.hackerrank.tasks11.SomeSnippetsTemplates110;SomeSnippetsTemplates110;class;1;17;1;0;0;5;2;60;
JavaSEtraining49764272;com.jse.tutorials.design_patterns.structural.adapter.AdvancedMediaPlayer;AdvancedMediaPlayer;interface;0;2;1;0;1;2;0;5;
JavaSEtraining49764272;com.jse.hackerrank.tasks00.SomeSnippetsTemplates06;SomeSnippetsTemplates06;class;3;16;1;0;1;2;0;45;
JavaSEtraining49764272;snippets.TimeDate;TimeDate;class;0;1;1;0;0;1;0;12;
JavaSEtraining49764272;com.jse.hackerrank.tasks00.SomeSnippetsTemplates00;SomeSnippetsTemplates00;class;0;21;1;0;0;1;3;98;
