file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
SimplexSolver10159712;org.fmi.or.simplexator.algorithm.converter.tests.MProblemConversionTest;MProblemConversionTest;class;7;3;1;0;3;3;0;91;
SimplexSolver10159712;org.fmi.or.simplexator.client.Simplexator;Simplexator;class;16;11;1;0;21;1;2;137;
SimplexSolver10159712;org.fmi.or.simplexator.service.serializable.LaTeXBuilder;LaTeXBuilder;class;3;24;1;0;0;9;1;104;
SimplexSolver10159712;org.fmi.or.simplexator.algorithm.computation.SimplexMethodSolver;SimplexMethodSolver;class;13;6;1;0;0;1;0;76;
SimplexSolver10159712;org.fmi.or.simplexator.algorithm.converter.Fraction;Fraction;class;1;53;1;0;21;22;4;162;
SimplexSolver10159712;org.fmi.or.simplexator.algorithm.computation.ProblemIteration;ProblemIteration;class;7;23;1;0;0;5;3;106;
SimplexSolver10159712;org.fmi.or.simplexator.shared.FieldVerifier;FieldVerifier;class;0;3;1;0;0;1;0;40;
SimplexSolver10159712;org.fmi.or.simplexator.service.serializable.VisualRestriction;VisualRestriction;class;2;9;1;0;0;8;3;43;
SimplexSolver10159712;org.fmi.or.simplexator.algorithm.answerer.AnswerSearcher;AnswerSearcher;class;4;2;1;0;0;2;3;34;
SimplexSolver10159712;org.fmi.or.simplexator.algorithm.answerer.Answer;Answer;class;5;17;1;0;12;12;5;78;
SimplexSolver10159712;org.fmi.or.simplexator.algorithm.computation.tests.ProblemIterationTest;ProblemIterationTest;class;10;4;1;0;1;2;0;55;
SimplexSolver10159712;org.fmi.or.simplexator.algorithm.computation.Pair;Pair;class;3;12;1;0;0;8;2;41;
SimplexSolver10159712;org.fmi.or.simplexator.service.serializable.tests.TransformationStepTest;TransformationStepTest;class;7;1;1;0;0;1;0;53;
SimplexSolver10159712;org.fmi.or.simplexator.answerqueue.SolvingQueue;SolvingQueue;class;0;4;1;0;0;3;2;24;
SimplexSolver10159712;org.fmi.or.simplexator.algorithm.computation.Table;Table;class;1;9;1;0;0;4;1;28;
SimplexSolver10159712;org.fmi.or.simplexator.server.GreetingServiceImpl;GreetingServiceImpl;class;2;6;2;0;1;2;0;41;
SimplexSolver10159712;org.fmi.or.simplexator.service.serializable.tests.TestConvertProblem;TestConvertProblem;class;3;2;1;0;1;2;0;35;
SimplexSolver10159712;org.fmi.or.simplexator.algorithm.answerer.tests.AnswererTest;AnswererTest;class;17;23;1;0;15;6;0;363;
SimplexSolver10159712;org.fmi.or.simplexator.algorithm.converter.EquationSign;EquationSign;enum;1;7;1;0;1;2;0;33;
SimplexSolver10159712;org.fmi.or.simplexator.algorithm.converter.Restriction;Restriction;class;4;26;1;0;0;12;3;105;
SimplexSolver10159712;org.fmi.or.simplexator.service.serializable.IterationStep;IterationStep;class;5;26;1;0;130;20;9;121;
SimplexSolver10159712;org.fmi.or.simplexator.algorithm.converter.tests.TestConstructors;TestConstructors;class;5;1;1;0;0;1;0;26;
