file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
ecesis8036590;org.eclipse.lifegame.domain.Rule;Rule;class;0;4;1;3;0;4;1;24;
ecesis8036590;org.eclipse.lifegame.domain.TwoDimensionalGame;TwoDimensionalGame;class;6;5;2;0;1;3;1;22;
ecesis8036590;org.eclipse.lifegame.domain.Board;Board;class;2;7;1;1;9;7;1;38;
ecesis8036590;org.eclipse.course.ui.TrafficLightView;TrafficLightView;class;28;34;6;0;160;19;9;216;
ecesis8036590;org.eclipse.lifegame.domain.TwoDimensionalDeathRule;TwoDimensionalDeathRule;class;4;5;3;0;1;2;0;26;
ecesis8036590;RallyCarTest;RallyCarTest;class;2;2;2;0;0;2;1;26;
ecesis8036590;RallyCarTest1;RallyCarTest1;class;2;2;2;0;0;2;1;26;
ecesis8036590;org.eclipse.lifegame.support.LifeGameException;LifeGameException;class;0;2;3;0;1;2;0;11;
ecesis8036590;org.eclipse.plugins.labs.coderally.actions.TestAction;TestAction;class;6;5;1;0;10;5;1;36;
ecesis8036590;org.eclipse.course.ui.SecondToDoListView;SecondToDoListView;class;23;30;5;0;140;20;9;170;
ecesis8036590;org.eclipse.lifegame.domain.TwoDimensionalBirthRule;TwoDimensionalBirthRule;class;3;73;3;0;10;5;0;115;
ecesis8036590;org.eclipse.plugins.labs.CodeRallyScoreboardPlugin;CodeRallyScoreboardPlugin;class;3;9;2;0;11;6;2;61;
ecesis8036590;org.eclipse.plugins.labs.CodeRallyScoreboard;CodeRallyScoreboard;class;0;9;1;0;2;5;2;70;
ecesis8036590;org.eclipse.lifegame.domain.TwoDimensionalRule;TwoDimensionalRule;interface;1;2;1;0;1;2;0;8;
ecesis8036590;com.ibm.rally.ICar;ICar;interface;1;9;1;0;36;9;0;72;
ecesis8036590;org.eclipse.course.demo.ToDoListView;ToDoListView;class;22;28;4;0;105;18;9;155;
ecesis8036590;org.eclipse.course.ui.TrafficLight;TrafficLight;class;0;13;1;0;16;8;1;44;
ecesis8036590;org.eclipse.plugins.labs.CodeRallyScoreboardView;CodeRallyScoreboardView;class;12;10;3;0;39;10;1;88;
ecesis8036590;org.eclipse.plugins.labs.coderally.perspective.CodeRallyPerspectivePlugin;CodeRallyPerspectivePlugin;class;4;5;2;0;4;5;1;46;
ecesis8036590;org.eclipse.lifegame.domain.SurvivalRule;SurvivalRule;class;1;0;2;0;0;0;0;6;
ecesis8036590;org.eclipse.lifegame.domain.TwoDimensionalBoard;TwoDimensionalBoard;class;4;21;2;0;1;7;1;70;
ecesis8036590;com.ibm.rally.Car;Car;class;3;36;1;1;630;36;11;311;
ecesis8036590;com.ibm.rally.IObject;IObject;interface;1;6;1;0;15;6;0;51;
ecesis8036590;org.eclipse.lifegame.domain.Game;Game;class;1;6;1;1;3;6;2;39;
ecesis8036590;org.eclipse.lifegame.domain.TwoDimensionalSurvivalRule;TwoDimensionalSurvivalRule;class;3;100;3;0;28;8;0;148;
ecesis8036590;org.eclipse.lifegame.domain.BirthRule;BirthRule;class;1;0;2;0;0;0;0;6;
ecesis8036590;RallyCar;RallyCar;class;2;5;2;0;10;5;0;41;
ecesis8036590;org.eclipse.lifegame.test.LifeGameTester;LifeGameTester;class;1;1;1;0;0;1;0;11;
ecesis8036590;org.eclipse.plugins.labs.coderally.perspective.CodeRallyPerspective;CodeRallyPerspective;class;3;1;1;0;0;1;0;44;
ecesis8036590;com.ibm.rally.ISpareTire;ISpareTire;interface;1;2;1;0;1;2;0;20;
ecesis8036590;RallyCarTestSuite;RallyCarTestSuite;class;4;1;1;0;0;1;0;25;
ecesis8036590;org.eclipse.lifegame.domain.DeathRule;DeathRule;class;1;0;2;0;0;0;0;6;
