file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
education52070988;main.CountryFormat;CountryFormat;class;1;0;1;0;0;0;2;15;
education52070988;main.DogStart;DogStart;class;9;28;1;0;0;4;4;119;
education52070988;graphic.Game;Game;class;9;21;2;0;0;5;8;85;
education52070988;main.SortByNameAsc;SortByNameAsc;class;1;1;1;0;0;1;0;8;
education52070988;main.Measure;Measure;class;4;15;1;0;0;4;4;86;
education52070988;tGame.Disc;Disc;class;1;37;1;0;101;19;10;104;
education52070988;towers.Tower;Tower;class;1;5;1;0;0;3;4;22;
education52070988;main.Search;Search;class;3;14;1;0;3;3;0;53;
education52070988;main.SortBySizeDesc;SortBySizeDesc;class;1;2;1;0;0;1;0;10;
education52070988;tGame.WHS;WHS;class;1;4;1;0;0;4;2;26;
education52070988;tGame.Game;Game;class;9;35;2;0;0;5;23;173;
education52070988;main.Start;Start;class;2;5;1;0;0;4;1;26;
education52070988;main.CountMin;CountMin;class;1;1;1;0;0;1;0;8;
education52070988;textReader.TextGo;TextGo;class;0;14;1;0;0;3;4;51;
education52070988;main.Rectangle;Rectangle;class;2;9;2;0;0;7;2;42;
education52070988;main.ArrayGo;ArrayGo;class;4;11;1;0;0;2;3;61;
education52070988;textReader.Start;Start;class;1;1;1;0;0;1;0;10;
education52070988;main.SortByAgeDesc;SortByAgeDesc;class;1;2;1;0;0;1;0;10;
education52070988;main.Dog;Dog;class;0;18;1;0;0;8;4;60;
education52070988;main.SortByNameDesc;SortByNameDesc;class;1;1;1;0;0;1;0;8;
education52070988;main.Point;Point;class;0;4;1;0;0;4;2;20;
education52070988;main.Country;Country;class;1;7;1;0;5;6;5;36;
education52070988;main.Sort;Sort;class;1;15;1;0;3;3;0;43;
education52070988;main.Generator;Generator;class;1;4;1;0;1;3;1;17;
education52070988;main.Circle;Circle;class;3;13;2;0;0;7;1;47;
education52070988;main.SortBySizeAsc;SortBySizeAsc;class;1;2;1;0;0;1;0;10;
education52070988;main.BasicObj;BasicObj;class;1;14;1;2;11;6;4;34;
education52070988;main.Entity;Entity;class;1;12;1;0;0;6;5;57;
education52070988;main.SortByAgeAsc;SortByAgeAsc;class;1;2;1;0;0;1;0;10;
education52070988;main.PhoneConverter;PhoneConverter;class;1;3;1;0;0;1;0;20;
education52070988;tools.Timer;Timer;class;0;3;1;0;0;3;3;17;
education52070988;main.NameGenerator;NameGenerator;class;0;0;1;0;0;0;2;14;
education52070988;tGame.Event;Event;class;0;4;1;0;0;4;3;18;
education52070988;main.MinGo;MinGo;class;0;10;1;0;4;5;5;45;
education52070988;main.DogTable;DogTable;class;1;22;1;0;0;5;3;95;
