file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
java-minute19083020;com.diosoft.springexample.MyResource3;MyResource3;class;2;1;1;0;0;1;0;8;
java-minute19083020;com.rodionbykov.userdirectory.controller.APIController;APIController;class;12;26;1;0;0;9;1;106;
java-minute19083020;com.rodionbykov.service.UserService;UserService;interface;1;6;1;0;15;6;0;11;
java-minute19083020;com.rodionbykov.userdirectory.model.User;User;class;9;14;1;0;77;14;7;75;
java-minute19083020;com.rodionbykov.strings.StringsMain;StringsMain;class;0;1;1;0;0;1;0;22;
java-minute19083020;com.diosoft.sample.calendar.datastore.PersonAdapter;PersonAdapter;class;2;33;1;0;0;13;4;72;
java-minute19083020;com.rodionbykov.Greeter;Greeter;class;0;1;1;0;0;1;0;6;
java-minute19083020;com.rodionbykov.CoffeeCupComparator;CoffeeCupComparator;class;1;3;1;0;0;1;0;8;
java-minute19083020;com.rodionbykov.Application;Application;class;9;2;1;0;1;2;0;17;
java-minute19083020;com.rodionbykov.calendar.Event;Event;class;1;32;1;0;27;14;5;70;
java-minute19083020;com.rodionbykov.MessagePrinter;MessagePrinter;class;3;2;1;0;0;2;1;14;
java-minute19083020;com.rodionbykov.booker.BookerMain;BookerMain;class;0;1;1;0;0;1;0;6;
java-minute19083020;com.rodionbykov.service.impl.UserServiceImpl;UserServiceImpl;class;5;6;1;0;0;6;1;51;
java-minute19083020;com.rodionbykov.hibernate.entity.Seller;Seller;class;0;9;1;0;4;9;3;39;
java-minute19083020;com.rodionbykov.test.DioArrayTest;DioArrayTest;class;2;9;1;0;36;9;0;84;
java-minute19083020;com.diosoft.sample.calendar.Main;Main;class;2;1;1;0;0;1;1;12;
java-minute19083020;com.diosoft.springexample.MyService;MyService;class;4;2;1;0;1;2;3;18;
java-minute19083020;com.rodionbykov.calendar.Calendar;Calendar;class;3;20;1;0;0;9;1;70;
java-minute19083020;com.diosoft.sample.calendar.datastore.CallendarAdapter;CallendarAdapter;class;2;14;1;0;0;6;1;36;
java-minute19083020;com.rodionbykov.DioArrayComparator;DioArrayComparator;class;0;8;1;0;28;8;0;43;
java-minute19083020;CoffeeCupTest;CoffeeCupTest;class;3;1;1;0;0;1;8;19;
java-minute19083020;com.rodionbykov.userdirectory.repository.custom.UserRepositoryCustom;UserRepositoryCustom;interface;1;2;1;0;1;2;0;6;
java-minute19083020;com.rodionbykov.CoffeeType;CoffeeType;enum;0;0;1;0;0;0;0;7;
