file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.student.NavBar;NavBar;class;12;6;2;0;4;5;5;64;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.Student;Student;class;0;12;1;0;36;12;6;68;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.Message;Message;class;2;7;1;0;15;7;4;45;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.TaskList;TaskList;class;1;10;1;0;2;8;3;52;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.Teacher;Teacher;class;0;12;1;0;36;12;6;66;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.student.Shortcuts;Shortcuts;class;8;1;2;0;0;1;4;49;
ludiuca37033719;es.ugr.rodgom.ludiuca.server.MessageServiceImpl;MessageServiceImpl;class;12;63;2;0;105;15;1;628;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.CourseList;CourseList;class;1;5;1;0;0;5;2;39;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.CustomComparatorTeacher;CustomComparatorTeacher;class;1;1;1;0;0;1;0;25;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.profesor.Admin;Admin;class;8;6;2;0;0;1;1;58;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.student.Admin;Admin;class;8;4;2;0;0;1;1;52;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.student.Courses;Courses;class;14;18;2;0;57;9;4;132;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.TeacherList;TeacherList;class;2;8;1;0;0;6;2;46;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.StudentList;StudentList;class;2;8;1;0;0;6;2;46;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.profesor.Shortcuts;Shortcuts;class;8;1;2;0;0;1;4;49;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.MessageServiceAsync;MessageServiceAsync;interface;12;15;1;0;105;15;0;39;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.profesor.Context;Context;class;8;19;1;0;153;19;16;96;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.student.CentralPan;CentralPan;class;28;106;2;0;842;40;34;675;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.student.StudentGUI;StudentGUI;class;16;2;2;0;0;2;4;77;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.profesor.NavBar;NavBar;class;12;6;2;0;4;5;5;64;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.Ludiuca;Ludiuca;class;2;1;1;0;0;1;0;25;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.profesor.ProfesorGUI;ProfesorGUI;class;16;2;2;0;0;2;4;77;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.profesor.SelectionHandlerLudiuca;SelectionHandlerLudiuca;class;5;2;1;0;1;2;1;32;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.Task;Task;class;0;21;1;0;77;18;8;105;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.profesor.Panel;Panel;class;13;12;2;0;24;3;2;98;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.student.SelectionHandlerLudiuca;SelectionHandlerLudiuca;class;5;2;1;0;1;2;1;32;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.student.Panel;Panel;class;13;10;2;0;24;3;2;101;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.profesor.Courses;Courses;class;14;18;2;0;57;9;4;133;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.VistaLogin;VistaLogin;class;17;11;2;0;15;3;7;102;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.CustomComparator;CustomComparator;class;1;1;1;0;0;1;0;25;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.profesor.CentralPan;CentralPan;class;31;114;2;0;854;41;38;723;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.MessageService;MessageService;interface;9;15;1;0;105;15;0;41;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.student.AboutDialog;AboutDialog;class;10;7;2;0;3;3;2;63;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.student.ContextStudent;ContextStudent;class;7;17;1;0;120;17;14;87;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.profesor.AboutDialog;AboutDialog;class;10;7;2;0;3;3;2;63;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.student.TopPanel;TopPanel;class;11;3;2;0;3;3;4;57;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.student.CourseListStud;CourseListStud;class;1;3;1;0;1;3;2;33;
ludiuca37033719;es.ugr.rodgom.ludiuca.shared.Course;Course;class;0;5;1;0;4;5;4;41;
ludiuca37033719;es.ugr.rodgom.ludiuca.client.profesor.TopPanel;TopPanel;class;11;3;2;0;3;3;4;57;
