file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
zoom1169309969;bean.ProspectBean;ProspectBean;class;8;18;1;0;25;14;5;91;
zoom1169309969;service.CoopAppActEvaluationFacadeREST;CoopAppActEvaluationFacadeREST;class;14;9;2;0;36;9;1;77;
zoom1169309969;model.CoopActivity;CoopActivity;class;17;29;1;0;206;24;10;168;
zoom1169309969;bean.ApplicantBean;ApplicantBean;class;44;176;1;0;2894;80;52;661;
zoom1169309969;service.AbstractFacade;AbstractFacade;class;3;9;1;23;16;9;1;51;
zoom1169309969;model.CoopLibraryMaterials;CoopLibraryMaterials;class;15;26;1;0;166;21;9;137;
zoom1169309969;service.CoopKeyFacadeREST;CoopKeyFacadeREST;class;14;9;2;0;36;9;1;77;
zoom1169309969;service.CoopInfoFacadeREST;CoopInfoFacadeREST;class;14;9;2;0;36;9;1;77;
zoom1169309969;service.CoopPmeSubjectFacadeREST;CoopPmeSubjectFacadeREST;class;14;9;2;0;36;9;1;77;
zoom1169309969;model.CoopAppSched;CoopAppSched;class;18;31;1;0;253;26;11;178;
zoom1169309969;model.CoopAppMaterial;CoopAppMaterial;class;14;20;1;0;67;15;6;111;
zoom1169309969;service.CoopApplicantFacadeREST;CoopApplicantFacadeREST;class;14;9;2;0;36;9;1;77;
zoom1169309969;model.CoopMaterialKey;CoopMaterialKey;class;13;16;1;0;21;11;4;88;
zoom1169309969;model.CoopKey;CoopKey;class;14;19;1;0;39;14;5;108;
zoom1169309969;service.CoopReportCircFacadeREST;CoopReportCircFacadeREST;class;14;9;2;0;36;9;1;77;
zoom1169309969;bean.returnObject;returnObject;class;4;2;1;0;1;2;1;28;
zoom1169309969;bean.UAgentInfo;UAgentInfo;class;0;255;1;0;0;65;92;1156;
zoom1169309969;service.CoopMaterialKeyFacadeREST;CoopMaterialKeyFacadeREST;class;14;9;2;0;36;9;1;77;
zoom1169309969;service.CoopOrgUnitFacadeREST;CoopOrgUnitFacadeREST;class;14;9;2;0;36;9;1;77;
zoom1169309969;model.CoopInfo;CoopInfo;class;13;29;1;0;214;24;10;156;
zoom1169309969;model.CoopReport;CoopReport;class;20;31;1;0;261;26;11;169;
zoom1169309969;service.CoopActivityTypeFacadeREST;CoopActivityTypeFacadeREST;class;14;9;2;0;36;9;1;77;
zoom1169309969;model.CoopMember;CoopMember;class;15;95;1;0;3829;90;43;516;
zoom1169309969;bean.pmeTypeListModel;pmeTypeListModel;class;8;22;1;0;56;12;6;73;
zoom1169309969;model.CoopReportType;CoopReportType;class;13;19;1;0;35;14;5;111;
zoom1169309969;model.CoopRepAct;CoopRepAct;class;13;16;1;0;21;11;4;88;
zoom1169309969;service.CoopApplicantOtherEducFacadeREST;CoopApplicantOtherEducFacadeREST;class;14;9;2;0;36;9;1;77;
