file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
JMediaPlayer26728743;javazoom.jl.decoder.JavaLayerUtils;JavaLayerUtils;class;2;35;1;0;22;8;1;175
JMediaPlayer26728743;javazoom.jl.player.advanced.jlap;jlap;class;5;13;2;0;36;8;0;104
JMediaPlayer26728743;javazoom.jl.decoder.SampleBuffer;SampleBuffer;class;4;16;2;0;19;11;4;111
JMediaPlayer26728743;javazoom.jl.player.FactoryRegistry;FactoryRegistry;class;5;18;2;0;0;7;2;110
JMediaPlayer26728743;javazoom.spi.mpeg.sampled.file.tag.MP3MetadataParser;MP3MetadataParser;interface;2;3;1;0;3;3;0;48
JMediaPlayer26728743;javazoom.jl.decoder.LayerIIIDecoder;LayerIIIDecoder;class;15;313;1;0;131;27;78;2125
JMediaPlayer26728743;PlayerTest;PlayerTest;class;3;25;2;0;8;5;5;141
JMediaPlayer26728743;me.Blackburn.JMP.Complex;Complex;class;1;24;1;0;0;18;2;112
JMediaPlayer26728743;javazoom.jl.player.PlayerApplet;PlayerApplet;class;2;31;5;0;79;14;4;222
JMediaPlayer26728743;javazoom.jl.decoder.huffcodetab;huffcodetab;class;3;50;1;0;1;3;36;555
JMediaPlayer26728743;me.Blackburn.JMP.MusicItem;MusicItem;class;0;5;1;0;0;5;2;22
JMediaPlayer26728743;javazoom.jl.decoder.Source;Source;interface;1;6;1;0;15;6;1;37
JMediaPlayer26728743;javazoom.jl.player.advanced.PlaybackEvent;PlaybackEvent;class;1;7;1;0;3;7;5;43
JMediaPlayer26728743;javazoom.jl.player.AudioDevice;AudioDevice;interface;2;6;1;0;15;6;0;93
JMediaPlayer26728743;javazoom.jl.player.jlpTest;jlpTest;class;2;5;2;0;4;4;2;81
JMediaPlayer26728743;javazoom.spi.mpeg.sampled.file.MpegAudioFileReader;MpegAudioFileReader;class;8;254;2;0;64;12;7;813
JMediaPlayer26728743;AllSPITests;AllSPITests;class;5;1;1;0;0;1;0;21
JMediaPlayer26728743;javazoom.jl.decoder.Control;Control;interface;0;7;1;0;21;7;0;44
JMediaPlayer26728743;javazoom.jl.decoder.DecoderErrors;DecoderErrors;interface;1;0;1;0;0;0;3;39
JMediaPlayer26728743;javazoom.jl.decoder.JavaLayerHook;JavaLayerHook;interface;0;1;1;0;0;1;0;32
JMediaPlayer26728743;AllTests;AllTests;class;4;1;1;0;0;1;0;37
JMediaPlayer26728743;javazoom.jl.decoder.Bitstream;Bitstream;class;6;89;1;0;196;24;18;587
JMediaPlayer26728743;javazoom.jl.decoder.JavaLayerException;JavaLayerException;class;0;8;3;0;9;6;1;65
JMediaPlayer26728743;me.Blackburn.JMP.MP3;MP3;class;1;8;1;0;0;3;2;32
JMediaPlayer26728743;javazoom.jl.decoder.LayerIIDecoder;LayerIIDecoder;class;12;154;7;0;17;23;48;992
JMediaPlayer26728743;javazoom.spi.mpeg.sampled.file.SkipTest;SkipTest;class;2;28;2;0;19;7;7;153
JMediaPlayer26728743;me.Blackburn.JMP.JMediaPlayer;JMediaPlayer;class;3;14;1;0;8;5;4;124
JMediaPlayer26728743;javazoom.jl.converter.Converter;Converter;class;9;68;1;0;140;20;9;347
JMediaPlayer26728743;me.Blackburn.JMP.MP3SPI;MP3SPI;class;8;57;1;0;109;16;8;392
JMediaPlayer26728743;javazoom.spi.mpeg.sampled.file.MpegEncoding;MpegEncoding;class;1;1;2;0;0;1;9;43
JMediaPlayer26728743;me.Blackburn.JMP.UI;UI;class;5;107;6;0;278;14;20;578
JMediaPlayer26728743;javazoom.spi.mpeg.sampled.file.MpegAudioFormat;MpegAudioFormat;class;1;2;2;0;1;2;0;61
JMediaPlayer26728743;javazoom.spi.mpeg.sampled.convert.DecodedMpegAudioInputStream;DecodedMpegAudioInputStream;class;14;66;3;0;90;17;20;318
JMediaPlayer26728743;javazoom.spi.mpeg.sampled.file.IcyListener;IcyListener;class;4;16;1;0;13;10;4;116
JMediaPlayer26728743;javazoom.jl.decoder.BitstreamErrors;BitstreamErrors;interface;1;0;1;0;0;0;7;61
JMediaPlayer26728743;javazoom.jl.decoder.InputStreamSource;InputStreamSource;class;2;9;1;0;19;7;1;69
JMediaPlayer26728743;me.Blackburn.JMP.FFT;FFT;class;1;23;1;0;10;5;0;114
JMediaPlayer26728743;javazoom.jl.decoder.Obuffer;Obuffer;class;1;10;1;1;21;7;2;81
JMediaPlayer26728743;javazoom.spi.mpeg.sampled.convert.MpegFormatConversionProvider;MpegFormatConversionProvider;class;3;15;2;0;3;3;4;105
JMediaPlayer26728743;javazoom.spi.mpeg.sampled.file.tag.MP3Tag;MP3Tag;class;0;4;1;0;2;4;2;50
JMediaPlayer26728743;javazoom.jl.player.advanced.AdvancedPlayer;AdvancedPlayer;class;8;35;1;0;40;13;7;216
JMediaPlayer26728743;javazoom.jl.decoder.DecoderException;DecoderException;class;2;4;4;0;0;4;1;50
JMediaPlayer26728743;javazoom.jl.player.JavaSoundAudioDeviceFactory;JavaSoundAudioDeviceFactory;class;4;9;2;0;3;3;2;76
JMediaPlayer26728743;javazoom.jl.decoder.JavaLayerError;JavaLayerError;class;0;0;3;0;0;0;0;29
JMediaPlayer26728743;javazoom.jl.player.NullAudioDevice;NullAudioDevice;class;1;1;2;0;0;1;0;34
JMediaPlayer26728743;javazoom.spi.mpeg.sampled.file.tag.IcyTag;IcyTag;class;2;2;2;0;1;2;0;41
JMediaPlayer26728743;javazoom.jl.decoder.OutputChannels;OutputChannels;class;1;15;1;0;0;6;9;122
JMediaPlayer26728743;javazoom.spi.mpeg.sampled.file.MpegAudioFileFormat;MpegAudioFileFormat;class;2;2;2;0;1;2;0;101
JMediaPlayer26728743;javazoom.spi.PropertiesContainer;PropertiesContainer;interface;0;1;1;0;0;1;0;28
JMediaPlayer26728743;javazoom.jl.player.jlp;jlp;class;4;26;1;0;41;11;2;159
JMediaPlayer26728743;javazoom.jl.decoder.Equalizer;Equalizer;class;3;33;1;0;17;14;4;188
JMediaPlayer26728743;javazoom.spi.mpeg.sampled.file.tag.StringableTag;StringableTag;interface;0;1;1;0;0;1;0;34
JMediaPlayer26728743;javazoom.jl.converter.WaveFileObuffer;WaveFileObuffer;class;3;10;2;0;5;6;5;122
JMediaPlayer26728743;javazoom.jl.decoder.Crc16;Crc16;class;0;6;1;0;0;3;2;66
JMediaPlayer26728743;javazoom.jl.decoder.LayerIDecoder;LayerIDecoder;class;11;83;6;1;0;27;25;401
JMediaPlayer26728743;javazoom.jl.decoder.SynthesisFilter;SynthesisFilter;class;2;83;1;0;0;28;43;1619
JMediaPlayer26728743;javazoom.jl.player.AudioDeviceBase;AudioDeviceBase;class;3;19;1;2;43;11;2;162
JMediaPlayer26728743;javazoom.spi.mpeg.sampled.file.tag.IcyInputStream;IcyInputStream;class;7;61;4;0;56;16;7;411
