file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
CardGames49781389;ch.qos.logback.access.pattern.PackageTest;PackageTest;class;4;0;1;0;0;0;0;21
CardGames49781389;ch.qos.logback.core.net.server.RemoteReceiverServerListener;RemoteReceiverServerListener;class;3;2;2;0;1;2;0;42
CardGames49781389;ch.qos.logback.core.db.BindDataSourceToJNDIAction;BindDataSourceToJNDIAction;class;4;11;3;0;1;2;4;72
CardGames49781389;ch.qos.logback.classic.issue.lbclassic203.ConcurrentSiftingTest;ConcurrentSiftingTest;class;7;4;1;0;3;3;8;53
CardGames49781389;ch.qos.logback.core.testUtil.DelayingListAppender;DelayingListAppender;class;2;2;4;0;0;1;2;30
CardGames49781389;ch.qos.logback.classic.turbo.lru.LRUCache;LRUCache;class;2;5;4;0;1;3;2;45
CardGames49781389;ch.qos.logback.core.net.ssl.SSLComponent;SSLComponent;interface;1;2;1;0;1;2;0;23
CardGames49781389;ch.qos.logback.core.read.ListAppender;ListAppender;class;2;1;3;1;0;1;1;23
CardGames49781389;com.github.oxo42.stateless4j.StateRepresentationTests;StateRepresentationTests;class;8;45;1;0;794;27;3;339
CardGames49781389;ch.qos.logback.access.sift.AppenderFactoryUsingJoran;AppenderFactoryUsingJoran;class;5;2;2;0;1;2;0;30
CardGames49781389;ch.qos.logback.core.net.server.RemoteReceiverClient;RemoteReceiverClient;interface;2;2;1;0;1;2;0;39
CardGames49781389;org.apache.commons.logging.LogFactory;LogFactory;class;3;24;1;0;175;22;12;365
CardGames49781389;ch.qos.logback.core.util.StatusPrinterTest;StatusPrinterTest;class;9;5;1;0;0;5;2;100
CardGames49781389;chapters.configuration.MyApp2;MyApp2;class;4;1;1;0;0;1;1;31
CardGames49781389;org.slf4j.FindStaticLoggerBinderPathsPerfTest;FindStaticLoggerBinderPathsPerfTest;class;3;5;2;0;6;4;0;41
CardGames49781389;ch.qos.logback.core.db.ConnectionSourceBase;ConnectionSourceBase;class;4;14;2;3;39;11;6;109
CardGames49781389;org.slf4j.dummyExt.MDCStrLookupTest;MDCStrLookupTest;class;2;1;1;0;0;1;0;42
CardGames49781389;org.apache.log4j.AppenderSkeleton;AppenderSkeleton;class;3;4;1;4;6;4;0;27
CardGames49781389;ch.qos.logback.classic.net.server.RemoteAppenderServerListener;RemoteAppenderServerListener;class;3;2;2;0;1;2;0;43
CardGames49781389;ch.qos.logback.core.BasicStatusManager;BasicStatusManager;class;6;22;1;0;13;10;9;121
CardGames49781389;ch.qos.logback.core.rolling.SizeBasedTriggeringPolicyTest;SizeBasedTriggeringPolicyTest;class;4;1;2;0;0;1;0;51
CardGames49781389;chapters.onJoran.implicit.PrintMeImplicitAction;PrintMeImplicitAction;class;4;3;4;0;3;3;0;37
CardGames49781389;ch.qos.logback.classic.util.TeztHelper;TeztHelper;class;1;14;1;0;7;6;2;68
CardGames49781389;chapters.appenders.CountingConsoleAppender;CountingConsoleAppender;class;3;12;3;0;0;6;4;60
CardGames49781389;org.slf4j.profiler.TimeInstrumentStatus;TimeInstrumentStatus;enum;0;0;1;0;0;0;0;37
CardGames49781389;ch.qos.logback.classic.spi.ContextListenerTest;ContextListenerTest;class;6;7;1;0;0;7;2;69
CardGames49781389;ch.qos.logback.core.pattern.parser.Node;Node;class;1;20;1;0;0;10;6;84
CardGames49781389;ch.qos.logback.core.joran.util.PropertySetterTest;PropertySetterTest;class;13;17;1;0;0;17;4;203
CardGames49781389;ch.qos.logback.core.db.dialect.HSQLDBDialect;HSQLDBDialect;class;1;1;1;0;0;1;1;25
CardGames49781389;chapters.migrationFromLog4j.TrivialLogbackAppender;TrivialLogbackAppender;class;3;8;3;0;0;4;1;51
CardGames49781389;org.slf4j.helpers.SubstituteLoggerFactoryTest;SubstituteLoggerFactoryTest;class;3;4;1;0;0;3;1;62
CardGames49781389;ch.qos.logback.core.status.ViewStatusMessagesServletBase;ViewStatusMessagesServletBase;class;7;26;2;0;33;10;5;163
CardGames49781389;ch.qos.logback.access.joran.PackageTest;PackageTest;class;2;0;1;0;0;0;0;23
CardGames49781389;ch.qos.logback.core.subst.ParserTest;ParserTest;class;5;13;1;0;66;12;0;162
CardGames49781389;org.slf4j.dummyExt.EventLoggerTest;EventLoggerTest;class;8;5;1;0;4;4;3;91
CardGames49781389;ch.qos.logback.core.appender.PackageTest;PackageTest;class;6;0;1;0;0;0;0;22
CardGames49781389;ch.qos.logback.access.filter.CountingFilter;CountingFilter;class;4;11;3;0;7;7;3;69
CardGames49781389;ch.qos.logback.core.spi.AppenderAttachable;AppenderAttachable;interface;2;7;1;0;21;7;0;53
CardGames49781389;org.slf4j.NDCTest;NDCTest;class;2;4;1;0;6;4;0;53
CardGames49781389;ch.qos.logback.core.boolex.EvaluationException;EvaluationException;class;0;3;3;0;3;3;1;31
CardGames49781389;ch.qos.logback.classic.LoggerContextDeadlockTest;LoggerContextDeadlockTest;class;6;10;2;0;0;5;4;59
CardGames49781389;ch.qos.logback.core.joran.replay.FruitFactory;FruitFactory;class;5;7;1;0;0;4;3;55
CardGames49781389;ch.qos.logback.core.util.InvocationGate;InvocationGate;class;0;6;1;0;0;2;6;50
CardGames49781389;ch.qos.logback.core.issue.LockingInJava;LockingInJava;class;1;14;1;0;9;6;6;82
CardGames49781389;ch.qos.logback.core.net.PackageTest;PackageTest;class;2;0;1;0;0;0;0;24
CardGames49781389;ch.qos.logback.core.rolling.helper.ArchiveRemover;ArchiveRemover;interface;1;2;1;0;1;2;0;25
CardGames49781389;ch.qos.logback.core.rolling.SizeBasedTriggeringPolicy;SizeBasedTriggeringPolicy;class;4;19;3;0;7;6;5;84
CardGames49781389;com.github.oxo42.stateless4j.DynamicTriggerTests;DynamicTriggerTests;class;8;5;1;0;6;2;0;38
CardGames49781389;ch.qos.logback.classic.net.mock.MockTopicPublisher;MockTopicPublisher;class;4;23;1;0;249;23;2;81
CardGames49781389;ch.qos.logback.core.joran.replay.FruitShellAction;FruitShellAction;class;6;9;3;0;0;2;2;69
CardGames49781389;ch.qos.logback.core.joran.PackageTest;PackageTest;class;12;0;1;0;0;0;0;30
CardGames49781389;ch.qos.logback.classic.turbo.ReconfigurePerf;ReconfigurePerf;class;9;8;1;0;8;5;9;82
CardGames49781389;ch.qos.logback.core.LayoutBase;LayoutBase;class;4;14;2;6;77;14;5;64
CardGames49781389;ch.qos.logback.core.net.ssl.SSLConfigurableSocket;SSLConfigurableSocket;class;1;9;1;0;0;9;1;50
CardGames49781389;com.github.oxo42.stateless4j.TransitionTests;TransitionTests;class;2;2;1;0;1;2;0;18
CardGames49781389;ch.qos.logback.access.pattern.ContentLengthConverter;ContentLengthConverter;class;2;3;5;0;0;1;0;26
CardGames49781389;ch.qos.logback.core.status.OnConsoleStatusListener;OnConsoleStatusListener;class;3;2;3;0;1;2;0;40
CardGames49781389;ch.qos.logback.access.pattern.RequestContentConverter;RequestContentConverter;class;2;1;5;0;0;1;0;30
CardGames49781389;ch.qos.logback.classic.spi.LoggerContextVO;LoggerContextVO;class;2;22;1;0;0;8;4;82
CardGames49781389;ch.qos.logback.core.joran.implicitAction.FruitContext;FruitContext;class;2;3;2;0;0;3;1;29
CardGames49781389;ch.qos.logback.access.tomcat.LogbackValve;LogbackValve;class;26;58;2;0;550;37;15;300
CardGames49781389;ch.qos.logback.core.joran.spi.DoNotAutoStart;DoNotAutoStart;class;2;3;1;0;0;3;1;28
CardGames49781389;ch.qos.logback.core.rolling.MultiThreadedRollingTest;MultiThreadedRollingTest;class;15;37;2;0;68;20;14;249
CardGames49781389;ch.qos.logback.classic.NoFilter;NoFilter;class;12;20;5;0;0;20;4;155
CardGames49781389;ch.qos.logback.classic.issue.lbclassic135.lbclassic139.Worker;Worker;class;3;7;2;0;6;5;4;65
CardGames49781389;ch.qos.logback.core.joran.action.NestedComplexPropertyIA;NestedComplexPropertyIA;class;9;29;4;0;0;3;1;158
CardGames49781389;chapters.layouts.CallerEvaluatorExample;CallerEvaluatorExample;class;4;5;1;0;0;1;0;42
CardGames49781389;ch.qos.logback.classic.issue.lbcore243.PerformanceComparatorLogback;PerformanceComparatorLogback;class;4;6;1;0;4;5;2;58
CardGames49781389;ch.qos.logback.classic.net.testObjectBuilders.LoggingEventBuilderInContext;LoggingEventBuilderInContext;class;5;2;1;0;0;2;3;34
CardGames49781389;org.slf4j.impl.SimpleLogger;SimpleLogger;class;2;110;3;0;773;46;34;575
CardGames49781389;ch.qos.logback.core.net.JMSAppenderBase;JMSAppenderBase;class;2;28;3;0;96;17;7;148
CardGames49781389;chapters.receivers.socket.ReceiverExample;ReceiverExample;class;3;6;1;0;1;2;0;46
CardGames49781389;ch.qos.logback.core.net.ssl.KeyManagerFactoryFactoryBeanTest;KeyManagerFactoryFactoryBeanTest;class;2;3;1;0;0;3;1;43
CardGames49781389;ch.qos.logback.core.db.ConnectionSource;ConnectionSource;interface;2;4;1;0;6;4;0;54
CardGames49781389;ch.qos.logback.access.boolex.PackageTest;PackageTest;class;5;0;2;0;0;0;0;22
CardGames49781389;ch.qos.logback.core.appender.ConsoleAppenderTest;ConsoleAppenderTest;class;12;10;2;0;13;10;2;138
CardGames49781389;ch.qos.logback.core.sift.AbstractAppenderFactoryUsingJoran;AbstractAppenderFactoryUsingJoran;class;6;5;1;0;0;5;3;48
CardGames49781389;ch.qos.logback.core.joran.action.IncludeActionTest;IncludeActionTest;class;13;16;1;0;0;15;22;187
CardGames49781389;org.slf4j.impl.RecursiveLBAppender;RecursiveLBAppender;class;4;6;3;0;4;4;3;47
CardGames49781389;ch.qos.logback.core.rolling.RollingPolicy;RollingPolicy;interface;3;4;1;0;6;4;0;60
CardGames49781389;org.slf4j.impl.SimpleLoggerTest;SimpleLoggerTest;class;4;7;1;0;19;7;1;66
CardGames49781389;ch.qos.logback.core.util.CoreTestConstants;CoreTestConstants;class;0;0;1;0;0;0;10;27
CardGames49781389;ch.qos.logback.access.pattern.RequestAttributeConverter;RequestAttributeConverter;class;2;6;5;0;0;2;1;35
CardGames49781389;org.slf4j.ext.LoggerWrapper;LoggerWrapper;class;4;264;1;1;0;62;3;752
CardGames49781389;ch.qos.logback.access.TeztConstants;TeztConstants;class;0;0;1;0;0;0;1;17
CardGames49781389;ch.qos.logback.classic.pattern.RelativeTimeConverter;RelativeTimeConverter;class;2;3;5;0;0;1;2;30
CardGames49781389;ch.qos.logback.core.encoder.ByteArrayUtilTest;ByteArrayUtilTest;class;2;4;1;0;0;3;3;42
CardGames49781389;org.slf4j.profiler.UtilTest;UtilTest;class;1;1;1;0;0;1;0;38
CardGames49781389;chapters.mdc.NumberCruncher;NumberCruncher;interface;1;1;1;0;0;1;0;26
CardGames49781389;ch.qos.logback.core.joran.action.ContextPropertyAction;ContextPropertyAction;class;3;2;3;0;1;2;0;30
CardGames49781389;ch.qos.logback.core.joran.spi.DefaultNestedComponentRegistryTest;DefaultNestedComponentRegistryTest;class;5;4;1;0;4;4;1;43
CardGames49781389;ch.qos.logback.core.encoder.EventObjectInputStream;EventObjectInputStream;class;3;29;2;0;19;11;3;137
CardGames49781389;ch.qos.logback.access.jetty.RequestLogRegistry;RequestLogRegistry;class;1;2;1;0;0;2;1;26
CardGames49781389;ch.qos.logback.core.rolling.helper.RollingCalendar;RollingCalendar;class;3;43;3;0;36;12;3;201
CardGames49781389;ch.qos.logback.core.joran.replay.FruitContext;FruitContext;class;2;3;2;0;0;3;1;29
CardGames49781389;ch.qos.logback.core.status.InfoStatus;InfoStatus;class;1;2;2;0;1;2;0;22
CardGames49781389;ch.qos.logback.classic.net.SocketReceiverTest;SocketReceiverTest;class;16;22;5;0;76;21;12;240
CardGames49781389;ch.qos.logback.core.net.ssl.KeyManagerFactoryFactoryBean;KeyManagerFactoryFactoryBean;class;0;8;1;1;6;5;2;80
CardGames49781389;org.slf4j.issues.Issue324Test;Issue324Test;class;3;1;2;0;0;1;0;12
CardGames49781389;ch.qos.logback.core.pattern.LiteralConverter;LiteralConverter;class;2;2;2;0;0;2;1;23
CardGames49781389;ch.qos.logback.classic.net.SSLSocketAppender;SSLSocketAppender;class;4;6;5;0;4;4;2;45
CardGames49781389;ch.qos.logback.classic.Logger;Logger;class;12;204;1;0;1507;95;11;674
CardGames49781389;ch.qos.logback.classic.spi.CPDCSpecial;CPDCSpecial;interface;1;3;1;0;3;3;0;19
CardGames49781389;ch.qos.logback.core.joran.action.ImplicitAction;ImplicitAction;class;4;1;3;3;0;1;0;39
CardGames49781389;ch.qos.logback.core.pattern.parser.SamplePatternLayoutTest;SamplePatternLayoutTest;class;6;7;2;0;1;7;1;75
CardGames49781389;ch.qos.logback.core.joran.replay.PackageTest;PackageTest;class;4;0;1;0;0;0;0;21
CardGames49781389;ch.qos.logback.core.pattern.util.AlmostAsIsEscapeUtil;AlmostAsIsEscapeUtil;class;1;1;2;0;0;1;0;42
CardGames49781389;ch.qos.logback.core.net.SMTPAppenderBase;SMTPAppenderBase;class;20;124;3;0;1396;56;27;567
CardGames49781389;org.slf4j.impl.AndroidLoggerAdapter;AndroidLoggerAdapter;class;2;41;3;0;595;35;1;515
CardGames49781389;org.slf4j.migrator.line.Log4jRuleSet;Log4jRuleSet;class;3;2;1;0;0;2;1;60
CardGames49781389;ch.qos.logback.classic.LoggerMessageFormattingTest;LoggerMessageFormattingTest;class;7;6;1;0;0;6;2;72
CardGames49781389;ch.qos.logback.core.pattern.color.WhiteCompositeConverter;WhiteCompositeConverter;class;2;1;6;0;0;1;0;26
CardGames49781389;com.github.oxo42.stateless4j.transitions.Transition;Transition;class;2;5;1;0;4;5;3;50
CardGames49781389;ch.qos.logback.core.spi.ContextAwareBase;ContextAwareBase;class;7;25;1;8;60;13;3;92
CardGames49781389;ch.qos.logback.core.rolling.helper.RollingCalendarTest;RollingCalendarTest;class;2;8;2;0;15;6;0;79
CardGames49781389;ch.qos.logback.core.spi.PropertyDefiner;PropertyDefiner;interface;1;1;1;0;0;1;0;22
CardGames49781389;org.slf4j.migrator.line.TrivialMatcher;TrivialMatcher;class;4;2;1;0;0;2;1;54
CardGames49781389;org.slf4j.migrator.ProjectConverter;ProjectConverter;class;6;17;1;0;14;7;3;113
CardGames49781389;ch.qos.logback.classic.spi.ThrowableProxyTest;ThrowableProxyTest;class;6;21;1;0;105;13;2;156
CardGames49781389;ch.qos.logback.core.spi.DeferredProcessingAware;DeferredProcessingAware;interface;0;1;1;0;0;1;0;17
CardGames49781389;com.github.oxo42.stateless4j.StateMachine;StateMachine;class;21;34;1;0;156;19;5;240
CardGames49781389;ch.qos.logback.core.testUtil.EnvUtilForTests;EnvUtilForTests;class;0;17;1;0;21;7;0;63
CardGames49781389;ch.qos.logback.classic.db.names.TableName;TableName;enum;0;0;1;0;0;0;0;23
CardGames49781389;org.apache.log4j.SimpleLayout;SimpleLayout;class;1;0;2;0;0;0;0;18
CardGames49781389;ch.qos.logback.classic.issue.lbcore243.Common;Common;class;0;0;1;0;0;0;1;18
CardGames49781389;ch.qos.logback.classic.spi.PubLoggingEventVO;PubLoggingEventVO;class;6;76;1;0;161;22;15;197
CardGames49781389;ch.qos.logback.core.net.ssl.ConfigurableSSLServerSocketFactory;ConfigurableSSLServerSocketFactory;class;2;4;2;0;0;4;2;80
CardGames49781389;org.apache.log4j.helpers.NullEnumeration;NullEnumeration;class;1;4;1;0;6;4;1;40
CardGames49781389;ch.qos.logback.classic.net.ReceiverBase;ReceiverBase;class;2;15;2;2;9;6;1;77
CardGames49781389;nl.mycompany.cardgames.model.Hand;Hand;class;1;9;1;0;0;9;1;63
CardGames49781389;ch.qos.logback.core.pattern.color.YellowCompositeConverter;YellowCompositeConverter;class;2;1;6;0;0;1;0;26
CardGames49781389;ch.qos.logback.access.sift.PackageTest;PackageTest;class;4;0;1;0;0;0;0;21
CardGames49781389;ch.qos.logback.core.pattern.ConverterHello;ConverterHello;class;1;1;4;0;0;1;0;20
CardGames49781389;ch.qos.logback.access.dummy.DummyServletOutputStream;DummyServletOutputStream;class;1;4;2;0;0;4;1;35
CardGames49781389;com.github.oxo42.stateless4j.graphviz.TestGenerateGraph;TestGenerateGraph;class;4;1;1;0;0;1;0;33
CardGames49781389;ch.qos.logback.classic.sift.MDCBasedDiscriminatorTest;MDCBasedDiscriminatorTest;class;7;4;1;0;0;4;8;65
CardGames49781389;ch.qos.logback.core.util.TeeOutputStream;TeeOutputStream;class;1;6;2;0;0;4;2;45
CardGames49781389;ch.qos.logback.classic.net.server.SSLServerSocketReceiverTest;SSLServerSocketReceiverTest;class;6;2;1;0;0;2;4;45
CardGames49781389;ch.qos.logback.core.joran.action.AppenderAction;AppenderAction;class;8;13;3;0;0;2;2;90
CardGames49781389;com.github.oxo42.stateless4j.State;State;enum;0;0;1;0;0;0;0;4
CardGames49781389;ch.qos.logback.core.hook.DelayingShutdownHook;DelayingShutdownHook;class;2;5;3;0;0;4;2;53
CardGames49781389;org.apache.log4j.PropertyConfigurator;PropertyConfigurator;class;2;8;1;0;28;8;0;41
CardGames49781389;ch.qos.logback.core.joran.conditional.PropertyWrapperForScripts;PropertyWrapperForScripts;class;1;7;1;0;0;5;2;43
CardGames49781389;ch.qos.logback.core.joran.SkippingInInterpreterTest;SkippingInInterpreterTest;class;14;8;1;0;15;6;3;96
CardGames49781389;ch.qos.logback.classic.util.LoggerNameUtil;LoggerNameUtil;class;0;13;1;0;3;3;0;55
CardGames49781389;ch.qos.logback.classic.pattern.ThrowableProxyConverterTest;ThrowableProxyConverterTest;class;7;18;1;0;61;15;4;193
CardGames49781389;ch.qos.logback.core.rolling.helper.SizeAndTimeBasedArchiveRemover;SizeAndTimeBasedArchiveRemover;class;3;7;3;0;1;2;0;45
CardGames49781389;ch.qos.logback.core.rolling.RollingPolicyBase;RollingPolicyBase;class;5;14;2;1;25;10;6;81
CardGames49781389;nl.mycompany.cardgames.model.CardGame;CardGame;enum;1;4;1;0;0;4;3;48
CardGames49781389;ch.qos.logback.core.encoder.EchoEncoder;EchoEncoder;class;2;7;3;0;3;3;2;40
CardGames49781389;ch.qos.logback.core.db.DBHelper;DBHelper;class;0;8;1;0;1;2;0;41
CardGames49781389;ch.qos.logback.core.testUtil.FileToBufferUtil;FileToBufferUtil;class;0;11;1;0;10;5;0;66
CardGames49781389;ch.qos.logback.classic.PatternLayoutTest;PatternLayoutTest;class;14;20;2;0;4;20;5;194
CardGames49781389;ch.qos.logback.classic.net.SimpleSocketServer;SimpleSocketServer;class;5;31;2;1;86;16;7;206
CardGames49781389;org.slf4j.helpers.SubstitutableLoggerTest;SubstitutableLoggerTest;class;5;17;1;0;7;6;2;96
CardGames49781389;ch.qos.logback.classic.pattern.NopThrowableInformationConverter;NopThrowableInformationConverter;class;2;1;6;0;0;1;0;37
CardGames49781389;ch.qos.logback.core.util.StringCollectionUtil;StringCollectionUtil;class;0;14;1;0;6;4;0;105
CardGames49781389;ch.qos.logback.core.sift.AppenderTracker;AppenderTracker;class;7;10;2;0;4;5;4;72
CardGames49781389;org.slf4j.helpers.NOPMDCAdapter;NOPMDCAdapter;class;1;6;1;0;15;6;0;53
CardGames49781389;ch.qos.logback.access.pattern.ServerNameConverter;ServerNameConverter;class;2;1;5;0;0;1;0;21
CardGames49781389;com.github.oxo42.stateless4j.TriggerBehaviourTests;TriggerBehaviourTests;class;4;3;1;0;3;3;0;27
CardGames49781389;ch.qos.logback.classic.turbo.DuplicateMessageFilterTest;DuplicateMessageFilterTest;class;2;7;1;0;6;4;0;80
CardGames49781389;ch.qos.logback.classic.joran.action.LoggerAction;LoggerAction;class;6;15;3;0;1;3;3;82
CardGames49781389;ch.qos.logback.core.rolling.SizeBasedRollingTest;SizeBasedRollingTest;class;7;10;2;0;11;7;4;98
CardGames49781389;ch.qos.logback.access.servlet.TeeHttpServletResponse;TeeHttpServletResponse;class;5;18;2;0;3;6;2;64
CardGames49781389;ch.qos.logback.core.joran.action.NOPAction;NOPAction;class;3;2;3;0;1;2;0;30
CardGames49781389;chapters.filters.SampleTurboFilter;SampleTurboFilter;class;5;10;3;0;0;4;2;49
CardGames49781389;ch.qos.logback.classic.html.HTMLLayoutTest;HTMLLayoutTest;class;22;13;1;0;0;12;3;216
CardGames49781389;ch.qos.logback.access.pattern.RequestProtocolConverter;RequestProtocolConverter;class;2;1;5;0;0;1;0;21
CardGames49781389;ch.qos.logback.core.sift.DefaultDiscriminator;DefaultDiscriminator;class;2;2;3;0;0;2;1;26
CardGames49781389;ch.qos.logback.access.pattern.EnsureLineSeparation;EnsureLineSeparation;class;4;5;1;0;0;1;0;35
CardGames49781389;ch.qos.logback.core.joran.util.PropertySetter;PropertySetter;class;6;113;2;0;222;25;4;427
CardGames49781389;ch.qos.logback.core.hook.ShutdownHookBase;ShutdownHookBase;class;4;4;2;0;1;2;0;37
CardGames49781389;ch.qos.logback.access.boolex.JaninoEventEvaluator;JaninoEventEvaluator;class;3;10;4;0;4;4;2;68
CardGames49781389;ch.qos.logback.access.net.PackageTest;PackageTest;class;5;0;2;0;0;0;0;22
CardGames49781389;ch.qos.logback.classic.boolex.PackageTest;PackageTest;class;5;0;1;0;0;0;0;21
CardGames49781389;ch.qos.logback.core.contention.ThreadedThroughputCalculator;ThreadedThroughputCalculator;class;1;6;3;0;3;3;0;41
CardGames49781389;ch.qos.logback.core.pattern.Converter123;Converter123;class;1;1;4;0;0;1;0;20
CardGames49781389;ch.qos.logback.classic.PatternLayout;PatternLayout;class;41;7;4;0;6;4;2;123
CardGames49781389;ch.qos.logback.classic.selector.DefaultContextSelector;DefaultContextSelector;class;2;8;1;0;0;6;1;42
CardGames49781389;ch.qos.logback.core.net.server.MockClientVisitor;MockClientVisitor;class;2;2;1;0;0;2;1;31
CardGames49781389;ch.qos.logback.classic.net.server.RemoteAppenderStreamClientTest;RemoteAppenderStreamClientTest;class;9;3;1;0;0;3;4;75
CardGames49781389;ch.qos.logback.core.rolling.RenameUtilTest;RenameUtilTest;class;9;5;1;0;2;5;7;86
CardGames49781389;chapters.migrationFromLog4j.TrivialLog4jLayout;TrivialLog4jLayout;class;2;3;2;0;3;3;0;36
CardGames49781389;org.slf4j.impl.AndroidLoggerFactory;AndroidLoggerFactory;class;3;18;1;0;1;3;3;112
CardGames49781389;ch.qos.logback.core.net.server.MockEventQueue;MockEventQueue;class;0;3;4;0;0;1;1;31
CardGames49781389;ch.qos.logback.classic.util.ContextInitializer;ContextInitializer;class;8;47;1;0;6;9;7;181
CardGames49781389;ch.qos.logback.classic.jmx.PackageTest;PackageTest;class;4;0;1;0;0;0;0;21
CardGames49781389;ch.qos.logback.classic.ClassicTestConstants;ClassicTestConstants;class;0;0;1;0;0;0;8;26
CardGames49781389;ch.qos.logback.core.layout.EchoLayout;EchoLayout;class;2;1;3;0;0;1;0;26
CardGames49781389;ch.qos.logback.classic.net.JMSTopicSink;JMSTopicSink;class;11;17;1;0;4;5;1;130
CardGames49781389;ch.qos.logback.core.net.ssl.TrustManagerFactoryFactoryBeanTest;TrustManagerFactoryFactoryBeanTest;class;2;3;1;0;0;3;1;43
CardGames49781389;ch.qos.logback.classic.control.ControlLoggerContext;ControlLoggerContext;class;1;16;1;0;0;5;2;98
CardGames49781389;ch.qos.logback.classic.encoder.PatternLayoutEncoder;PatternLayoutEncoder;class;3;1;5;0;0;1;0;29
CardGames49781389;ch.qos.logback.classic.spi.PackagingDataCalculatorTest;PackagingDataCalculatorTest;class;5;17;1;0;28;8;0;107
CardGames49781389;ch.qos.logback.access.jetty.PackageTest;PackageTest;class;4;0;1;0;0;0;0;21
CardGames49781389;ch.qos.logback.classic.pattern.ClassNameOnlyAbbreviator;ClassNameOnlyAbbreviator;class;1;3;1;0;0;1;0;34
CardGames49781389;ch.qos.logback.core.FileAppender;FileAppender;class;3;35;4;1;19;11;3;200
CardGames49781389;ch.qos.logback.core.joran.action.AppenderRefAction;AppenderRefAction;class;7;8;3;0;1;2;1;64
CardGames49781389;ch.qos.logback.classic.jul.PackageTest;PackageTest;class;4;0;1;0;0;0;0;21
CardGames49781389;ch.qos.logback.core.net.ssl.SecureRandomFactoryBean;SecureRandomFactoryBean;class;0;10;1;1;6;5;2;92
CardGames49781389;chapters.configuration.MyApp3;MyApp3;class;5;2;1;0;0;1;1;46
CardGames49781389;org.slf4j.helpers.Util;Util;class;2;26;2;0;34;9;2;114
CardGames49781389;ch.qos.logback.core.util.ContentTypeUtil;ContentTypeUtil;class;0;10;1;0;1;2;0;44
CardGames49781389;org.slf4j.helpers.BubbleSort;BubbleSort;class;1;6;1;0;1;2;0;48
CardGames49781389;chapters.mdc.NumberCruncherClient;NumberCruncherClient;class;2;12;1;0;3;3;0;74
CardGames49781389;org.apache.log4j.MDC;MDC;class;0;10;1;0;15;6;0;54
CardGames49781389;org.slf4j.impl.SimpleLoggerFactory;SimpleLoggerFactory;class;3;6;1;0;0;3;1;66
CardGames49781389;ch.qos.logback.access.pattern.RequestURIConverter;RequestURIConverter;class;2;1;5;0;0;1;0;26
CardGames49781389;ch.qos.logback.core.rolling.DefaultTimeBasedFileNamingAndTriggeringPolicy;DefaultTimeBasedFileNamingAndTriggeringPolicy;class;3;5;3;0;3;3;0;51
CardGames49781389;ch.qos.logback.classic.LoggerTest;LoggerTest;class;9;29;1;0;0;18;4;195
CardGames49781389;chapters.appenders.sift.SiftExample;SiftExample;class;4;4;1;0;1;2;0;44
CardGames49781389;ch.qos.logback.classic.util.MockConfigurator;MockConfigurator;class;3;1;2;0;0;1;1;23
CardGames49781389;ch.qos.logback.core.issue.LBCORE97;LBCORE97;class;2;22;1;0;24;12;7;164
CardGames49781389;ch.qos.logback.classic.db.names.DefaultDBNameResolverTest;DefaultDBNameResolverTest;class;3;5;1;0;0;5;1;56
