file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
DwGames46376299;br.senai.sc.tii20141n1.pw4.daniel.dwgames.model.dominio.Cliente;Cliente;class;1;8;1;0;20;8;5;33
DwGames46376299;br.senai.sc.tii2014n1.pw4.daniel.dwgames.mb.SessaoMB;SessaoMB;class;4;12;1;0;2;8;2;50
DwGames46376299;br.senai.sc.tii2014n1.pw4.daniel.dwgames.util.UploadImagemUtil;UploadImagemUtil;class;2;13;1;0;6;4;1;55
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.model.UserRn;UserRn;class;2;15;1;0;0;7;1;42
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.model.ClienteRn;ClienteRn;class;3;12;1;0;0;6;2;34
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.testeLogin;testeLogin;class;7;12;1;0;0;6;4;66
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.testeCadastroCliente;testeCadastroCliente;class;7;12;1;0;0;6;4;79
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.model.ProdutoRn;ProdutoRn;class;2;8;1;0;0;6;1;28
DwGames46376299;br.senai.sc.tii20141n1.pw4.daniel.dwgames.model.dominio.Compra;Compra;class;2;8;1;0;20;8;4;31
DwGames46376299;br.senai.sc.tii2014n1.pw4.daniel.dwgames.mb.ProdutoMB;ProdutoMB;class;4;14;1;0;1;10;4;68
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.dao.ProdutoDao;ProdutoDao;class;2;20;2;0;21;7;5;120
DwGames46376299;br.senai.sc.tii2014n1.pw4.daniel.dwgames.mb.CompraMB;CompraMB;class;7;14;1;0;1;10;4;72
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.util.SessaoFilter;SessaoFilter;class;9;5;1;0;3;3;0;36
DwGames46376299;br.senai.sc.tii2014n1.pw4.daniel.dwgames.mb.UserMB;UserMB;class;3;12;1;0;0;8;3;56
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.dao.UserDao;UserDao;class;2;20;2;0;28;8;6;104
DwGames46376299;br.senai.sc.tii20141n1.pw4.daniel.dwgames.model.dominio.User;User;class;0;10;1;0;35;10;6;40
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.dao.Dao;Dao;class;0;4;1;2;0;1;5;28
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.main.Main;Main;class;1;2;1;0;1;2;0;12
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.util.SessaoFilterAdmin;SessaoFilterAdmin;class;9;5;1;0;3;3;0;35
DwGames46376299;br.senai.sc.tii2014n1.pw4.daniel.dwgames.mb.ClienteMB;ClienteMB;class;4;12;1;0;0;8;3;59
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.dao.ClienteDao;ClienteDao;class;4;30;2;0;33;10;7;153
DwGames46376299;br.senai.sc.tii20141n1.pw4.daniel.dwgames.model.dominio.Produto;Produto;class;0;16;1;0;104;16;9;61
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.dao.CompraDao;CompraDao;class;6;27;2;0;27;10;7;141
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.testeCadastroClienteErro;testeCadastroClienteErro;class;7;12;1;0;0;6;4;86
DwGames46376299;br.senai.sc.ti2014n1.daniel.dwgames.model.CompraRn;CompraRn;class;4;9;1;0;0;5;3;29
