file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
FXGLGames48744267;com.almasb.flappy.ColorChangingControl;ColorChangingControl;class;6;6;2;0;0;2;3;32
FXGLGames48744267;com.almasb.pong.EntityFactory;EntityFactory;class;13;4;1;0;1;2;0;76
FXGLGames48744267;com.almasb.mario.GameState;GameState;class;9;18;1;0;10;12;6;98
FXGLGames48744267;com.almasb.mario.event.DeathEvent;DeathEvent;class;6;1;2;0;0;1;1;39
FXGLGames48744267;com.almasb.mario.control.AIProximityControl;AIProximityControl;class;3;2;2;0;1;2;3;51
FXGLGames48744267;com.almasb.tictactoe.TileCombo;TileCombo;class;2;16;1;0;5;10;2;73
FXGLGames48744267;com.almasb.geowars.component.OldPositionComponent;OldPositionComponent;class;2;1;2;0;0;1;0;36
FXGLGames48744267;com.almasb.slotmachine.SlotMachineApp;SlotMachineApp;class;7;17;2;0;70;13;3;102
FXGLGames48744267;com.almasb.pacman.collision.PlayerEnemyHandler;PlayerEnemyHandler;class;3;2;2;0;0;2;1;45
FXGLGames48744267;com.almasb.spaceinvaders.Config;Config;class;0;1;1;0;0;1;22;62
FXGLGames48744267;com.almasb.flappy.FlappyBirdApp;FlappyBirdApp;class;23;38;2;0;154;13;7;192
FXGLGames48744267;com.almasb.bomberman.control.PlayerControl;PlayerControl;class;4;10;2;0;0;8;3;55
FXGLGames48744267;com.almasb.mario.control.EnemyControl;EnemyControl;class;2;1;2;0;0;1;0;31
FXGLGames48744267;com.almasb.geowars.control.BulletControl;BulletControl;class;7;3;2;0;0;3;3;52
FXGLGames48744267;com.almasb.bomberman.EntityType;EntityType;enum;0;0;1;0;0;0;0;7
FXGLGames48744267;com.almasb.mario.collision.PlayerFinishHandler;PlayerFinishHandler;class;3;2;2;0;1;2;0;41
FXGLGames48744267;com.almasb.geowars.control.GraphicsUpdateControl;GraphicsUpdateControl;class;3;1;2;0;0;1;0;39
FXGLGames48744267;com.almasb.breakout.BreakoutFactory;BreakoutFactory;class;10;4;2;0;6;4;0;64
FXGLGames48744267;com.almasb.spaceinvaders.component.InvincibleComponent;InvincibleComponent;class;1;1;2;0;0;1;0;35
FXGLGames48744267;com.almasb.mario.collision.ProjectileEnemyHandler;ProjectileEnemyHandler;class;2;2;2;0;1;2;0;56
FXGLGames48744267;com.almasb.mario.control.PhysicsCarryControl;PhysicsCarryControl;class;7;8;2;0;0;3;4;54
FXGLGames48744267;com.almasb.spaceinvaders.control.MeteorControl;MeteorControl;class;8;4;2;0;0;2;3;54
FXGLGames48744267;com.almasb.td.event.EnemyReachedGoalEvent;EnemyReachedGoalEvent;class;4;1;2;0;0;1;1;13
FXGLGames48744267;com.almasb.spaceinvaders.component.SubTypeComponent;SubTypeComponent;class;2;1;2;0;0;1;0;35
FXGLGames48744267;com.almasb.drop.BucketControl;BucketControl;class;5;4;2;0;0;4;2;54
FXGLGames48744267;com.almasb.mario.control.EnemySnakeControl;EnemySnakeControl;class;0;0;1;0;0;0;0;28
FXGLGames48744267;com.almasb.geowars.grid.LineControl;LineControl;class;7;5;2;0;0;3;3;66
FXGLGames48744267;com.almasb.spaceinvaders.control.BulletControl;BulletControl;class;6;4;2;0;0;3;3;53
FXGLGames48744267;com.almasb.tictactoe.TileValueComponent;TileValueComponent;class;2;1;2;0;0;1;0;10
FXGLGames48744267;com.almasb.geowars.GeoWarsFactory;GeoWarsFactory;class;11;6;1;0;0;6;1;75
FXGLGames48744267;com.almasb.drop.DropletControl;DropletControl;class;5;2;2;0;0;2;1;48
FXGLGames48744267;com.almasb.pacman.EntityFactory;EntityFactory;class;17;11;1;0;20;8;3;136
FXGLGames48744267;com.almasb.bomberman.BombermanApp;BombermanApp;class;11;18;2;0;64;10;4;132
FXGLGames48744267;com.almasb.drop.EntityFactory;EntityFactory;class;5;2;1;0;1;2;0;58
FXGLGames48744267;com.almasb.geowars.grid.PointMass;PointMass;class;1;10;1;0;2;8;6;75
FXGLGames48744267;com.almasb.pacman.PacmanApp;PacmanApp;class;16;28;2;0;116;15;11;208
FXGLGames48744267;com.almasb.tictactoe.control.enemy.EnemyControl;EnemyControl;class;3;4;2;2;4;4;1;26
FXGLGames48744267;com.almasb.pacman.control.PaletteChangingControl;PaletteChangingControl;class;7;13;2;0;0;3;8;89
FXGLGames48744267;com.almasb.pacman.ai.RandomMoveAction;RandomMoveAction;class;7;27;2;0;11;10;5;124
FXGLGames48744267;com.almasb.flappy.PlayerControl;PlayerControl;class;5;7;2;0;0;3;2;32
FXGLGames48744267;com.almasb.tictactoe.TileEntity;TileEntity;class;5;3;2;0;3;3;0;23
FXGLGames48744267;com.almasb.spaceinvaders.tutorial.TutorialStep;TutorialStep;class;1;1;1;0;0;1;3;41
FXGLGames48744267;com.almasb.pacman.control.DiffEnemyControl;DiffEnemyControl;class;4;3;3;0;0;1;1;41
FXGLGames48744267;com.almasb.tictactoe.TicTacToeApp;TicTacToeApp;class;11;35;2;0;102;16;3;166
FXGLGames48744267;com.almasb.td.control.TowerControl;TowerControl;class;6;5;2;0;1;3;1;44
