file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
GameDev2161486;com.brackeen.javagamebook.sound.EchoFilter;EchoFilter;class;3;8;2;0;0;4;3;68
GameDev2161486;com.brackeen.javagamebook.sound.SoundManager;SoundManager;class;7;57;3;0;168;21;6;322
GameDev2161486;game.io.InputManager;InputManager;class;1;86;1;0;330;29;19;351
GameDev2161486;com.brackeen.javagamebook.graphics3D.texture.Texture;Texture;class;3;20;1;3;35;10;2;136
GameDev2161486;com.brackeen.javagamebook.game.GameObject;GameObject;class;4;18;1;10;29;14;5;139
GameDev2161486;deet.overlay.GameDetailsDisplay;GameDetailsDisplay;class;3;10;1;0;0;4;4;64
GameDev2161486;game.sound.MidiPlayer;MidiPlayer;class;0;31;1;0;1;10;4;130
GameDev2161486;deet.math3D.PolygonGroup;PolygonGroup;class;6;47;1;0;63;23;5;221
GameDev2161486;deet.math3D.ObjectLoader;ObjectLoader;class;8;46;1;0;0;8;11;262
GameDev2161486;com.brackeen.javagamebook.bsp2D.BSPRenderer;BSPRenderer;class;25;25;5;0;22;9;6;189
GameDev2161486;deet.input.GameAction;GameAction;class;0;18;1;0;25;10;9;109
GameDev2161486;com.brackeen.javagamebook.graphics.NullRepaintManager;NullRepaintManager;class;1;5;2;0;10;5;0;32
GameDev2161486;com.brackeen.javagamebook.graphics3D.texture.ShadedSurface;ShadedSurface;class;9;39;2;0;124;21;17;411
GameDev2161486;deet.ai.EvolutionBot;EvolutionBot;class;4;3;3;0;0;3;2;25
GameDev2161486;deet.scripting.GameObjectEventMulticaster;GameObjectEventMulticaster;class;2;21;1;0;0;10;1;111
GameDev2161486;com.hypefiend.javagamebook.chatterbox.ChatterClient;ChatterClient;class;2;34;3;0;18;12;13;187
GameDev2161486;game.tilegame.GameManager;GameManager;class;18;81;2;0;5;15;18;369
GameDev2161486;com.brackeen.javagamebook.ai.patterns.DodgePatternZigZag;DodgePatternZigZag;class;4;5;2;0;1;3;1;41
GameDev2161486;ClipTest;ClipTest;class;0;4;1;0;1;1;0;32
GameDev2161486;com.brackeen.javagamebook.path.PathBot;PathBot;class;4;27;1;1;48;13;13;127
GameDev2161486;com.brackeen.javagamebook.math3D.Polygon3D;Polygon3D;class;6;57;1;6;0;24;5;319
GameDev2161486;PathFindingTest;PathFindingTest;class;18;14;4;2;0;5;3;86
GameDev2161486;game.core.GameCore;GameCore;class;1;12;1;7;26;8;4;115
GameDev2161486;com.brackeen.javagamebook.math3D.PolygonGroup;PolygonGroup;class;6;46;1;0;61;22;5;215
GameDev2161486;deet.graphics3D.texture.ShadedSurface;ShadedSurface;class;9;39;2;0;124;21;17;411
GameDev2161486;com.brackeen.javagamebook.tilegame.TileMap;TileMap;class;1;12;1;0;11;10;3;88
GameDev2161486;com.brackeen.javagamebook.game.Physics;Physics;class;3;14;1;0;16;12;6;120
GameDev2161486;com.brackeen.javagamebook.math3D.PointLight3D;PointLight3D;class;2;14;2;0;11;10;3;96
GameDev2161486;com.brackeen.javagamebook.math3D.ViewWindow;ViewWindow;class;1;14;1;0;0;14;3;118
GameDev2161486;game.io.tests.MouseLookTest;MouseLookTest;class;2;24;2;0;12;9;7;139
GameDev2161486;deet.object.actor.Player;Player;class;5;8;1;0;12;8;7;71
GameDev2161486;game.tilegame.sprites.Grub;Grub;class;2;2;3;0;1;2;0;15
