file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Games62528542;com.terracore.wizards.BeginScreen;BeginScreen;class;0;1;1;0;0;1;2;44
Games62528542;com.terracore.handlers.ResourceManager;ResourceManager;class;0;2;1;1;0;2;1;11
Games62528542;com.terracore.storages.Cards;Cards;class;2;9;1;0;0;2;22;61
Games62528542;somethingRandom.MainWindow;MainWindow;class;1;1;1;0;0;1;0;6
Games62528542;somethingRandom.Window;Window;class;1;1;1;0;0;1;0;15
Games62528542;com.terracore.handlers.PauseMenuMouseHandler;PauseMenuMouseHandler;class;1;21;1;0;19;7;3;76
Games62528542;com.terracore.handlers.HordeKeyHandler;HordeKeyHandler;class;0;10;1;0;6;4;0;30
Games62528542;com.fourH.template.AgendaScreen;AgendaScreen;class;0;1;1;0;0;1;0;21
Games62528542;com.terracore.handlers.MouseHandler;MouseHandler;class;1;257;1;0;17;7;18;739
Games62528542;com.terracore.wizards.Wizards;Wizards;class;14;56;3;0;70;16;33;241
Games62528542;com.terracore.wizards.BuildScreen;BuildScreen;class;0;1;1;0;0;1;0;16
Games62528542;com.terracore.handlers.TextureHandler;TextureHandler;class;1;2;2;0;0;2;1;11
Games62528542;com.fourH.storages.Colorer;Colorer;class;0;0;1;0;0;0;3;8
Games62528542;com.fourH.handlers.TextureHandler;TextureHandler;class;1;2;2;0;0;2;1;11
Games62528542;mainPackage.ZeusStartTurn;ZeusStartTurn;class;1;4;6;0;1;2;0;46
Games62528542;com.terracore.players.Player;Player;class;0;6;1;0;5;6;5;30
Games62528542;somethingRandom.Drawing;Drawing;class;0;1;4;0;0;1;0;24
Games62528542;com.terracore.wizards.PlayScreenHorde;PlayScreenHorde;class;1;20;1;0;0;1;7;112
Games62528542;com.terracore.wizards.HelpScreen;HelpScreen;class;0;14;1;0;3;3;11;99
Games62528542;com.fourH.template.OldBusinessScreen;OldBusinessScreen;class;0;14;1;0;3;3;8;86
Games62528542;com.fourH.handlers.ResourceManager;ResourceManager;class;0;2;1;1;0;2;1;11
Games62528542;com.fourH.template.LoadingScreen;LoadingScreen;class;1;13;1;0;0;1;2;35
Games62528542;mainPackage.ZeusInterface;ZeusInterface;class;1;186;6;0;13;5;20;775
Games62528542;mainPackage.PoseidonWins;PoseidonWins;class;1;4;6;0;1;2;0;70
Games62528542;mainPackage.ZeusWins;ZeusWins;class;1;4;6;0;1;2;0;70
Games62528542;mainPackage.PoseidonStartTurn;PoseidonStartTurn;class;1;4;6;0;1;2;0;46
Games62528542;mainPackage.PoseidonChooseCard1;PoseidonChooseCard1;class;0;9;1;0;0;1;3;45
Games62528542;com.fourH.template.PledgeScreen;PledgeScreen;class;0;1;1;0;0;1;0;16
Games62528542;mainPackage.RulesFrame;RulesFrame;class;0;1;6;0;0;1;0;20
Games62528542;com.terracore.handlers.HordeMouseHandler;HordeMouseHandler;class;1;83;1;0;15;7;25;296
Games62528542;com.terracore.wizards.TitleScreen;TitleScreen;class;0;3;1;0;0;1;5;55
Games62528542;com.terracore.wizards.PauseMenuScreen;PauseMenuScreen;class;0;7;1;0;0;2;3;38
Games62528542;com.fourH.storages.Textures;Textures;class;1;1;1;0;0;1;12;61
Games62528542;com.terracore.wizards.CreditsScreen;CreditsScreen;class;0;3;1;0;0;2;6;43
Games62528542;com.fourH.handlers.NewBMouseHandler;NewBMouseHandler;class;0;47;1;0;19;7;1;113
Games62528542;mainPackage.PoseidonInterface;PoseidonInterface;class;4;188;6;0;13;5;56;888
Games62528542;com.terracore.cards.SpellCard;SpellCard;class;1;16;1;0;59;14;16;83
Games62528542;com.fourH.template.Template;Template;class;12;50;3;0;70;16;25;222
Games62528542;com.fourH.template.TitleScreen;TitleScreen;class;0;1;1;0;0;1;0;22
Games62528542;com.fourH.handlers.PledgeMouseHandler;PledgeMouseHandler;class;0;19;1;0;19;7;1;48
Games62528542;com.fourH.handlers.Texture;Texture;class;1;8;1;0;0;3;3;39
Games62528542;com.fourH.template.NewBusinessScreen;NewBusinessScreen;class;0;14;1;0;3;3;8;85
Games62528542;com.terracore.storages.Textures;Textures;class;1;1;1;0;0;1;22;111
Games62528542;mainPackage.GamePlay;GamePlay;class;0;2;6;0;1;2;0;29
Games62528542;com.fourH.handlers.AgendaMouseHandler;AgendaMouseHandler;class;0;31;1;0;19;7;1;89
Games62528542;com.terracore.handlers.AudioHandler;AudioHandler;class;0;12;1;0;0;3;1;51
Games62528542;com.terracore.storages.Colorer;Colorer;class;0;0;1;0;0;0;4;10
Games62528542;mainPackage.Main;Main;class;1;1;1;0;0;1;27;35
Games62528542;com.terracore.handlers.Texture;Texture;class;1;9;1;0;0;4;3;46
Games62528542;com.terracore.cards.CreatureCard;CreatureCard;class;1;16;1;0;61;14;16;81
Games62528542;mainPackage.BetaNotification;BetaNotification;class;1;4;6;0;1;2;0;46
Games62528542;mainPackage.StartFrame;StartFrame;class;2;6;6;0;0;2;1;71
Games62528542;com.fourH.handlers.MouseHandler;MouseHandler;class;0;31;1;0;19;7;1;89
Games62528542;com.terracore.wizards.LoadingScreen;LoadingScreen;class;1;13;1;0;0;1;2;35
Games62528542;com.fourH.handlers.OldBMouseHandler;OldBMouseHandler;class;0;47;1;0;19;7;1;113
Games62528542;mainPackage.BouncingBall;BouncingBall;class;1;6;4;0;4;4;4;42
