file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Gameserver5328237;common.GameTimer;GameTimer;interface;0;3;1;0;3;3;0;9
Gameserver5328237;straightedge.geom.util.TileBagIntersections;TileBagIntersections;class;7;58;1;0;175;35;4;258
Gameserver5328237;org.jfree.ui.StrokeSample;StrokeSample;class;1;10;4;0;1;6;2;161
Gameserver5328237;org.jfree.xml.attributehandlers.ByteAttributeHandler;ByteAttributeHandler;class;1;3;1;0;3;3;0;75
Gameserver5328237;straightedge.test.benchmark.CustomProgressPane;CustomProgressPane;class;1;2;5;0;0;1;4;62
Gameserver5328237;org.jfree.chart.urls.TimeSeriesURLGenerator;TimeSeriesURLGenerator;class;3;32;1;0;0;8;5;202
Gameserver5328237;javax.vecmath.TexCoord4f;TexCoord4f;class;1;6;2;0;15;6;1;93
Gameserver5328237;org.jfree.data.time.RegularTimePeriod;RegularTimePeriod;class;11;33;1;3;153;18;2;325
Gameserver5328237;org.jfree.xml.parser.coretypes.BasicStrokeReadHandler;BasicStrokeReadHandler;class;3;7;2;0;4;4;1;110
Gameserver5328237;org.jfree.base.config.PropertyFileConfiguration;PropertyFileConfiguration;class;2;10;2;0;6;4;0;131
Gameserver5328237;straightedge.geom.util.TileBag;TileBag;class;12;64;1;0;210;36;4;335
Gameserver5328237;org.jfree.data.general.SeriesDataset;SeriesDataset;interface;1;3;1;0;3;3;0;83
Gameserver5328237;javax.vecmath.Tuple3i;Tuple3i;class;1;88;1;0;0;37;4;499
Gameserver5328237;org.jfree.chart.plot.CombinedDomainXYPlot;CombinedDomainXYPlot;class;17;106;3;0;80;25;4;648
Gameserver5328237;org.jfree.xml.writer.coretypes.GradientPaintWriteHandler;GradientPaintWriteHandler;class;3;2;2;0;1;2;0;91
Gameserver5328237;org.jfree.ui.SortableTable;SortableTable;class;3;4;5;0;0;2;1;90
Gameserver5328237;org.jfree.chart.renderer.xy.XYStepRenderer;XYStepRenderer;class;15;41;4;0;24;9;2;342
Gameserver5328237;org.jfree.ui.ArrowPanel;ArrowPanel;class;0;7;5;0;8;5;4;130
Gameserver5328237;common.AttackMessage;AttackMessage;class;3;7;2;0;3;7;2;41
Gameserver5328237;org.jfree.ui.Drawable;Drawable;interface;0;1;1;0;0;1;0;58
Gameserver5328237;org.jfree.xml.parser.coretypes.NullReadHandler;NullReadHandler;class;1;2;2;0;1;2;0;65
Gameserver5328237;org.jfree.data.xy.DefaultXYDataset;DefaultXYDataset;class;7;43;4;0;0;15;2;353
Gameserver5328237;org.jfree.chart.axis.ModuloAxis;ModuloAxis;class;5;63;4;0;0;17;3;400
Gameserver5328237;org.jfree.chart.urls.CategoryURLGenerator;CategoryURLGenerator;interface;1;1;1;0;0;1;0;73
Gameserver5328237;org.jfree.chart.title.PaintScaleLegend;PaintScaleLegend;class;15;119;3;0;196;29;11;683
Gameserver5328237;org.jfree.ui.about.AboutPanel;AboutPanel;class;0;4;5;0;1;2;0;123
Gameserver5328237;org.jfree.data.statistics.StatisticalCategoryDataset;StatisticalCategoryDataset;interface;1;4;1;0;6;4;0;88
Gameserver5328237;org.jfree.chart.block.EntityBlockParams;EntityBlockParams;interface;0;1;1;0;0;1;0;54
Gameserver5328237;server.ChangeRequest;ChangeRequest;class;0;1;1;0;0;1;5;18
Gameserver5328237;org.jfree.data.statistics.Statistics;Statistics;class;1;88;1;0;78;13;0;455
Gameserver5328237;org.jfree.xml.generator.model.MultiplexMappingInfo;MultiplexMappingInfo;class;3;26;1;0;30;12;5;188
Gameserver5328237;org.jfree.chart.plot.PieLabelRecord;PieLabelRecord;class;2;42;1;0;32;16;8;256
Gameserver5328237;straightedge.test.VisionTest;VisionTest;class;7;11;1;0;0;2;6;129
Gameserver5328237;org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset;DefaultBoxAndWhiskerXYDataset;class;6;69;4;0;119;27;8;515
Gameserver5328237;org.jfree.chart.LegendRenderingOrder;LegendRenderingOrder;class;1;14;1;0;0;4;4;110
Gameserver5328237;server.ClientSimulator;ClientSimulator;class;2;3;1;0;0;3;2;17
Gameserver5328237;org.jfree.ui.SortableTableModel;SortableTableModel;class;0;8;2;0;0;6;2;112
Gameserver5328237;org.jfree.xml.Parser;Parser;class;6;25;3;0;108;17;4;289
Gameserver5328237;org.jfree.chart.block.EmptyBlock;EmptyBlock;class;5;5;2;0;10;5;1;117
Gameserver5328237;org.jfree.chart.needle.MiddlePinNeedle;MiddlePinNeedle;class;2;14;2;0;6;4;1;136
Gameserver5328237;org.jfree.data.RangeType;RangeType;class;1;17;1;0;0;5;5;124
Gameserver5328237;org.jfree.chart.block.CenterArrangement;CenterArrangement;class;7;49;1;0;78;13;1;303
Gameserver5328237;org.jfree.util.HashNMap;HashNMap;class;2;60;1;0;0;24;4;394
Gameserver5328237;org.jfree.ui.RefineryUtilities;RefineryUtilities;class;1;17;1;0;66;12;0;271
Gameserver5328237;org.jfree.util.StackableException;StackableException;class;0;11;3;2;19;7;1;158
Gameserver5328237;org.jfree.chart.labels.StandardPieToolTipGenerator;StandardPieToolTipGenerator;class;4;7;2;0;19;7;3;157
Gameserver5328237;straightedge.test.benchmark.Monster;Monster;interface;1;4;1;0;6;4;0;43
Gameserver5328237;org.jfree.chart.labels.MultipleXYSeriesLabelGenerator;MultipleXYSeriesLabelGenerator;class;4;31;1;0;0;9;5;221
Gameserver5328237;org.jfree.data.statistics.MultiValueCategoryDataset;MultiValueCategoryDataset;interface;1;2;1;0;1;2;0;69
Gameserver5328237;org.jfree.util.DefaultConfiguration;DefaultConfiguration;class;1;13;4;0;15;6;0;138
Gameserver5328237;org.jfree.xml.writer.AttributeList;AttributeList;class;2;37;1;0;1;15;4;248
Gameserver5328237;straightedge.geom.vision.PointShuffler;PointShuffler;class;2;17;1;0;6;8;3;109
Gameserver5328237;org.jfree.data.xy.VectorSeries;VectorSeries;class;3;9;3;0;36;9;0;158
Gameserver5328237;org.jfree.chart.axis.DateTickUnit;DateTickUnit;class;3;85;2;0;118;28;15;598
Gameserver5328237;org.jfree.data.xy.MatrixSeriesCollection;MatrixSeriesCollection;class;5;36;5;0;0;16;2;292
Gameserver5328237;org.jfree.data.xy.IntervalXYZDataset;IntervalXYZDataset;interface;1;6;1;0;15;6;0;100
Gameserver5328237;javax.vecmath.Point4d;Point4d;class;1;14;2;0;91;14;1;193
Gameserver5328237;org.jfree.chart.urls.StandardXYZURLGenerator;StandardXYZURLGenerator;class;3;1;2;0;0;1;0;59
Gameserver5328237;org.jfree.chart.block.Block;Block;interface;3;7;1;0;21;7;0;109
Gameserver5328237;org.jfree.xml.generator.model.PropertyInfo;PropertyInfo;class;2;15;2;0;62;13;6;170
Gameserver5328237;testrig.SetPlayerNumberMessage;SetPlayerNumberMessage;class;2;6;2;0;3;6;1;29
Gameserver5328237;org.jfree.chart.util.HexNumberFormat;HexNumberFormat;class;0;9;3;0;9;7;5;139
Gameserver5328237;org.jfree.xml.util.LookupDefinition;LookupDefinition;class;0;3;1;0;0;3;2;77
Gameserver5328237;org.jfree.chart.renderer.category.BarRenderer;BarRenderer;class;22;219;3;6;884;49;21;1306
Gameserver5328237;org.jfree.chart.renderer.category.StatisticalBarRenderer;StatisticalBarRenderer;class;15;101;4;0;0;11;3;558
Gameserver5328237;straightedge.test.experimental.map.Link;Link;class;2;15;1;0;37;11;7;83
Gameserver5328237;org.jfree.data.xy.Vector;Vector;class;1;15;1;0;0;7;2;133
Gameserver5328237;org.jfree.chart.renderer.xy.DeviationRenderer;DeviationRenderer;class;16;43;7;0;48;13;3;351
Gameserver5328237;client.ProjectileAttack;ProjectileAttack;class;3;4;1;0;0;2;3;23
Gameserver5328237;straightedge.test.demo.Bullet;Bullet;class;8;44;1;0;15;10;27;530
Gameserver5328237;org.jfree.layout.RadialLayout;RadialLayout;class;1;27;1;0;43;11;8;278
Gameserver5328237;straightedge.test.demo.WorldLoopAnimation;WorldLoopAnimation;class;3;4;1;0;0;4;2;26
Gameserver5328237;org.jfree.chart.entity.PieSectionEntity;PieSectionEntity;class;3;24;2;0;0;12;5;228
Gameserver5328237;org.jfree.data.statistics.Regression;Regression;class;2;16;1;0;6;4;0;199
Gameserver5328237;org.jfree.xml.parser.coretypes.ColorReadHandler;ColorReadHandler;class;2;5;2;0;1;3;1;84
Gameserver5328237;org.jfree.base.modules.ModuleInitializer;ModuleInitializer;interface;0;1;1;0;0;1;0;61
Gameserver5328237;org.jfree.chart.block.AbstractBlock;AbstractBlock;class;8;85;1;6;385;39;8;620
Gameserver5328237;org.jfree.xml.ElementDefinitionHandler;ElementDefinitionHandler;interface;3;4;1;0;6;4;0;87
Gameserver5328237;org.jfree.chart.labels.StandardContourToolTipGenerator;StandardContourToolTipGenerator;class;3;12;1;0;0;2;2;122
Gameserver5328237;org.jfree.xml.CommentHandler;CommentHandler;class;2;14;1;0;27;10;4;184
Gameserver5328237;straightedge.test.benchmark.event.PlayerEvent;PlayerEvent;class;2;8;1;4;6;4;3;62
Gameserver5328237;org.jfree.data.contour.DefaultContourDataset;DefaultContourDataset;class;6;73;5;1;191;26;6;468
Gameserver5328237;org.jfree.data.xy.XIntervalDataItem;XIntervalDataItem;class;2;11;2;0;10;5;0;109
Gameserver5328237;org.jfree.util.UnitType;UnitType;class;1;15;1;0;0;5;4;120
Gameserver5328237;straightedge.test.demo.WorldShapes;WorldShapes;class;5;7;2;0;1;2;0;74
Gameserver5328237;org.jfree.chart.labels.ContourToolTipGenerator;ContourToolTipGenerator;interface;1;1;1;0;0;1;0;64
Gameserver5328237;server.ConnectionInstance;ConnectionInstance;class;2;3;1;0;0;3;3;24
Gameserver5328237;client.OtherPlayerAttackedListener;OtherPlayerAttackedListener;interface;1;1;1;0;0;1;0;8
Gameserver5328237;org.jfree.data.time.TimeSeriesCollection;TimeSeriesCollection;class;13;87;5;0;245;34;5;618
Gameserver5328237;org.jfree.data.time.Year;Year;class;3;35;2;0;35;19;6;373
Gameserver5328237;straightedge.geom.vision.OccluderImpl;OccluderImpl;class;2;3;1;0;0;3;1;49
