file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
GdxStudio17777963;scene2d.EffectDuration;EffectDuration;enum;0;0;1;0;0;0;0;16
GdxStudio17777963;com.badlogic.gdx.tools.imagepacker.TexturePacker2;TexturePacker2;class;19;144;1;0;240;29;47;507
GdxStudio17777963;org.fife.rsta.ac.java.rjc.lang.Modifiers;Modifiers;class;1;32;1;0;27;11;15;152
GdxStudio17777963;com.github.axet.lookup.Capture;Capture;class;0;25;1;0;153;18;0;141
GdxStudio17777963;com.github.axet.lookup.OCR;OCR;class;8;39;2;0;91;14;0;180
GdxStudio17777963;gdxstudio.panel.DPanel;DPanel;class;0;2;5;0;0;1;9;23
GdxStudio17777963;com.badlogic.gdx.tools.hiero.unicodefont.effects.GradientEffect;GradientEffect;class;4;27;1;0;26;16;4;110
GdxStudio17777963;org.fife.rsta.ac.java.classreader.constantpool.ConstantFloatInfo;ConstantFloatInfo;class;1;4;2;0;0;4;1;50
GdxStudio17777963;com.github.axet.lookup.common.ImageBinaryFeature;ImageBinaryFeature;interface;1;5;1;0;10;5;0;16
GdxStudio17777963;org.fife.rsta.ac.java.rjc.lexer.Offset;Offset;interface;0;1;1;0;0;1;0;27
GdxStudio17777963;source.Menu;Menu;class;3;24;3;0;66;12;0;59
GdxStudio17777963;source.Options;Options;class;3;18;3;0;66;12;0;50
GdxStudio17777963;org.fife.rsta.ac.c.CCellRenderer;CCellRenderer;class;5;6;2;0;0;5;3;78
GdxStudio17777963;org.fife.rsta.ac.java.DocCommentCompletionProvider;DocCommentCompletionProvider;class;8;6;5;0;15;6;0;93
GdxStudio17777963;scene2d.Camera;Camera;class;11;71;2;0;175;26;24;246
GdxStudio17777963;com.badlogic.gdx.tools.hiero.unicodefont.effects.OutlineEffect;OutlineEffect;class;4;25;1;2;17;14;4;105
GdxStudio17777963;org.fife.rsta.ac.java.classreader.attributes.UnsupportedAttribute;UnsupportedAttribute;class;2;3;2;0;1;3;1;51
GdxStudio17777963;org.fife.rsta.ac.java.classreader.constantpool.ConstantDoubleInfo;ConstantDoubleInfo;class;1;5;2;0;0;5;2;57
GdxStudio17777963;gdxstudio.panel.ReplacePanel;ReplacePanel;class;1;1;5;0;0;1;5;25
GdxStudio17777963;org.fife.rsta.ac.java.rjc.lexer.SourceCodeScanner;SourceCodeScanner;class;5;320;1;0;364;33;33;1542
GdxStudio17777963;com.badlogic.gdx.tools.particleeditor.ParticleRenderer;ParticleRenderer;class;15;45;1;0;80;16;9;194
GdxStudio17777963;org.fife.rsta.ac.java.rjc.ast.CompilationUnit;CompilationUnit;class;13;48;2;0;177;22;6;218
GdxStudio17777963;org.fife.rsta.ac.java.rjc.lang.TypeArgument;TypeArgument;class;1;11;1;0;0;3;6;48
GdxStudio17777963;org.fife.rsta.ac.java.tree.JavaOutlineTree;JavaOutlineTree;class;24;69;6;0;71;14;4;331
GdxStudio17777963;com.github.axet.lookup.proc.NCC;NCC;class;7;29;1;0;66;12;0;124
GdxStudio17777963;org.fife.rsta.ac.java.classreader.AccessFlags;AccessFlags;interface;0;0;1;0;0;0;16;90
GdxStudio17777963;org.fife.rsta.ac.java.rjc.ast.Field;Field;class;5;9;3;0;13;7;4;48
GdxStudio17777963;com.github.axet.lookup.common.FontSymbol;FontSymbol;class;2;1;1;0;0;1;3;12
GdxStudio17777963;org.fife.rsta.ac.java.buildpath.DirSourceLocation;DirSourceLocation;class;5;8;1;0;0;4;1;76
GdxStudio17777963;org.fife.rsta.ac.AbstractLanguageSupport;AbstractLanguageSupport;class;7;44;1;3;82;20;7;284
GdxStudio17777963;org.fife.rsta.ac.java.buildpath.ClassEnumerationReader;ClassEnumerationReader;class;0;9;1;0;1;2;0;93
GdxStudio17777963;gdxstudio.MemoryBar;MemoryBar;class;3;51;9;0;592;25;15;310
GdxStudio17777963;org.fife.rsta.ac.java.PackageNameCompletion;PackageNameCompletion;class;3;5;3;0;10;5;0;39
GdxStudio17777963;org.fife.rsta.ac.java.rjc.ast.AbstractMember;AbstractMember;class;5;7;2;3;8;5;1;47
GdxStudio17777963;org.fife.rsta.ac.java.classreader.constantpool.ConstantStringInfo;ConstantStringInfo;class;2;4;2;0;2;4;2;53
GdxStudio17777963;org.fife.rsta.ac.java.tree.MemberTreeNode;MemberTreeNode;class;9;47;4;0;0;5;1;162
GdxStudio17777963;com.badlogic.gdx.tools.hiero.unicodefont.effects.EffectUtil;EffectUtil;class;4;64;6;0;395;15;4;251
GdxStudio17777963;com.badlogic.gdx.tools.particleeditor.CountPanel;CountPanel;class;3;4;6;0;0;2;1;64
GdxStudio17777963;com.badlogic.gdx.tools.particleeditor.OptionsPanel;OptionsPanel;class;3;7;6;0;0;2;5;122
GdxStudio17777963;gdxstudio.panel.PropertyRenderer;PropertyRenderer;class;17;97;12;0;15;6;6;307
GdxStudio17777963;gdxstudio.panel.EventPanel;EventPanel;class;3;23;6;0;0;4;4;77
GdxStudio17777963;gdxstudio.panel.StyleTable;StyleTable;class;5;13;16;0;74;13;8;88
GdxStudio17777963;scene2d.Config;Config;class;1;29;1;0;0;27;25;155
GdxStudio17777963;gdxstudio.parser.JavaParser;JavaParser;class;120;1942;103;0;316056;804;8;7507
GdxStudio17777963;com.badlogic.gdx.tools.particleeditor.RangedNumericPanel;RangedNumericPanel;class;3;11;6;0;0;2;4;85
GdxStudio17777963;com.badlogic.gdx.tools.hiero.unicodefont.UnicodeFontTest;UnicodeFontTest;class;5;7;1;0;19;7;1;71
GdxStudio17777963;com.github.axet.lookup.common.ImageMultiply;ImageMultiply;class;1;7;2;0;4;5;3;34
GdxStudio17777963;org.fife.rsta.ac.java.DecoratableIcon;DecoratableIcon;class;0;19;1;0;2;8;5;128
GdxStudio17777963;org.fife.rsta.ac.java.JavaTemplateCompletion;JavaTemplateCompletion;class;3;6;2;0;13;6;1;50
GdxStudio17777963;com.badlogic.gdx.tools.hiero.unicodefont.GlyphPage;GlyphPage;class;8;42;1;0;20;6;12;193
GdxStudio17777963;org.fife.rsta.ac.java.SourceCompletionProvider;SourceCompletionProvider;class;31;196;2;0;284;28;5;892
GdxStudio17777963;org.fife.rsta.ac.java.buildpath.DirLibraryInfo;DirLibraryInfo;class;4;37;2;0;0;13;1;158
GdxStudio17777963;org.fife.rsta.ac.LanguageSupport;LanguageSupport;interface;1;14;1;0;91;14;1;159
GdxStudio17777963;org.fife.rsta.ac.AbstractMarkupLanguageSupport;AbstractMarkupLanguageSupport;class;7;30;4;0;28;9;2;181
GdxStudio17777963;org.fife.rsta.ac.java.SourceParamChoicesProvider;SourceParamChoicesProvider;class;27;57;2;0;28;9;2;276
GdxStudio17777963;com.github.axet.lookup.common.IntegralImage;IntegralImage;class;1;5;2;0;3;3;0;24
GdxStudio17777963;org.fife.rsta.ac.SourceTreeNode;SourceTreeNode;class;1;69;2;0;132;21;5;325
GdxStudio17777963;com.badlogic.gdx.tools.particleeditor.ImagePanel;ImagePanel;class;3;9;6;0;1;1;4;88
GdxStudio17777963;scene2d.Sprite;Sprite;class;7;28;2;0;0;14;7;114
GdxStudio17777963;com.github.axet.lookup.common.IntegralImage2;IntegralImage2;class;2;12;2;0;45;10;0;79
GdxStudio17777963;org.fife.rsta.ac.java.MethodCompletion;MethodCompletion;class;15;48;2;0;64;16;3;263
GdxStudio17777963;com.badlogic.gdx.tools.imagepacker.TexturePackerFileProcessor;TexturePackerFileProcessor;class;11;39;2;0;15;5;6;139
GdxStudio17777963;org.fife.rsta.ac.java.classreader.ClassFile;ClassFile;class;13;96;1;0;720;40;21;632
GdxStudio17777963;scene2d.Scene;Scene;class;48;193;2;8;3150;82;51;826
GdxStudio17777963;com.github.axet.lookup.Lookup;Lookup;class;3;36;4;0;210;21;1;214
GdxStudio17777963;org.fife.rsta.ac.java.classreader.attributes.SourceFile;SourceFile;class;2;3;2;0;1;3;1;61
GdxStudio17777963;org.fife.rsta.ac.java.buildpath.ClasspathSourceLocation;ClasspathSourceLocation;class;5;4;1;0;1;2;0;56
