file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Java-Games60862744;Shield;Shield;class;3;14;2;0;4;5;2;42
Java-Games60862744;Star;Star;class;0;14;1;0;3;6;3;38
Java-Games60862744;PageElement;PageElement;interface;0;3;1;0;3;3;0;6
Java-Games60862744;Menu;Menu;class;7;18;1;0;0;7;5;49
Java-Games60862744;Automove;Automove;class;0;54;1;0;0;9;3;133
Java-Games60862744;Exploder;Exploder;class;3;13;2;0;4;4;5;41
Java-Games60862744;ArtPanel;ArtPanel;class;2;51;5;0;20;8;16;231
Java-Games60862744;MissileType;MissileType;enum;0;0;1;0;0;0;0;3
Java-Games60862744;Window;Window;class;5;4;1;0;4;3;7;40
Java-Games60862744;TowerSelectionPage;TowerSelectionPage;class;4;4;2;0;6;4;1;18
Java-Games60862744;Missile;Missile;class;1;26;1;1;0;9;9;113
Java-Games60862744;TimedEngine;TimedEngine;class;5;3;1;0;0;2;2;17
Java-Games60862744;CharType;CharType;enum;0;0;1;0;0;0;0;8
Java-Games60862744;Aircraft;Aircraft;class;5;20;1;0;14;9;7;79
Java-Games60862744;Beam;Beam;class;4;9;2;0;1;3;1;28
Java-Games60862744;Skill;Skill;class;1;13;1;2;0;5;6;34
Java-Games60862744;AutomaticPlayer;AutomaticPlayer;class;4;57;2;0;48;13;1;220
Java-Games60862744;Level;Level;class;1;43;1;0;0;11;5;125
Java-Games60862744;ArrowCoder;ArrowCoder;class;0;1;1;0;0;1;1;10
Java-Games60862744;Board;Board;class;2;64;1;0;3;10;12;209
Java-Games60862744;Archer;Archer;class;1;1;2;0;0;1;0;13
Java-Games60862744;Curse;Curse;class;0;4;1;0;0;4;1;14
Java-Games60862744;PageType;PageType;enum;0;0;1;0;0;0;0;3
Java-Games60862744;BlockMover;BlockMover;class;1;5;2;0;1;2;0;11
Java-Games60862744;World;World;class;1;12;1;0;0;4;1;29
Java-Games60862744;Improvement;Improvement;class;1;8;1;0;0;2;5;50
Java-Games60862744;Supershooter;Supershooter;class;3;3;2;0;1;2;0;13
Java-Games60862744;Tank;Tank;class;9;32;1;0;4;8;17;119
Java-Games60862744;Artillery;Artillery;class;3;3;2;0;1;3;1;22
Java-Games60862744;Game;Game;class;1;75;1;0;0;11;4;194
Java-Games60862744;Map;Map;class;5;35;1;0;119;18;8;119
Java-Games60862744;BlockDropper;BlockDropper;class;1;5;2;0;1;2;0;11
Java-Games60862744;Interface;Interface;class;2;7;1;0;21;7;0;23
Java-Games60862744;TextField;TextField;class;1;9;1;0;7;7;4;41
Java-Games60862744;Keyboard;Keyboard;class;0;3;1;0;3;3;0;16
Java-Games60862744;Player;Player;class;3;54;2;0;52;12;6;150
Java-Games60862744;Block;Block;class;2;92;1;0;0;19;6;231
Java-Games60862744;GameSpeeder;GameSpeeder;class;1;2;2;0;1;2;0;8
Java-Games60862744;Button;Button;class;0;5;1;0;2;5;4;19
Java-Games60862744;Field;Field;class;1;9;1;0;0;1;7;35
Java-Games60862744;Character;Character;class;1;93;1;0;0;5;7;191
Java-Games60862744;AL;AL;class;0;2;1;0;1;2;0;7
Java-Games60862744;TowerFactory;TowerFactory;class;4;23;1;0;10;5;0;65
Java-Games60862744;Task;Task;class;0;5;1;0;1;3;2;15
Java-Games60862744;SellConfirmationPage;SellConfirmationPage;class;5;9;2;0;8;5;4;36
Java-Games60862744;Mouse;Mouse;class;1;25;1;0;1;7;6;69
Java-Games60862744;Boss;Boss;class;2;2;3;0;1;2;0;12
Java-Games60862744;Wave;Wave;class;3;12;2;0;4;5;1;33
Java-Games60862744;Bomb;Bomb;class;4;9;2;0;1;3;1;35
Java-Games60862744;TowerType;TowerType;enum;0;0;1;0;0;0;0;3
Java-Games60862744;Enemy;Enemy;class;3;11;2;0;8;5;4;55
Java-Games60862744;TowerAttributesPage;TowerAttributesPage;class;6;14;2;0;11;6;5;49
Java-Games60862744;MenuPage;MenuPage;class;4;6;2;0;4;4;4;31
Java-Games60862744;Purification;Purification;class;2;3;3;0;3;3;0;16
Java-Games60862744;Page;Page;class;4;10;1;3;10;5;5;32
Java-Games60862744;Tower;Tower;class;3;26;1;0;106;16;13;80
Java-Games60862744;Explosion;Explosion;class;0;10;1;0;0;3;4;39
Java-Games60862744;Displayer;Displayer;class;2;38;1;0;10;5;0;133
Java-Games60862744;tankType;tankType;enum;0;0;1;0;0;0;0;8
Java-Games60862744;Mage;Mage;class;1;1;2;0;0;1;0;13
Java-Games60862744;Win;Win;class;3;7;1;0;8;4;12;52
Java-Games60862744;Introduction;Introduction;class;0;6;1;0;1;3;8;41
Java-Games60862744;Monster;Monster;class;1;48;1;0;50;16;18;151
Java-Games60862744;MonsterGenerator;MonsterGenerator;class;2;11;1;0;0;5;5;34
Java-Games60862744;Audio;Audio;class;0;3;1;0;0;2;2;19
Java-Games60862744;TimedEvent;TimedEvent;class;1;13;1;0;0;1;8;37
Java-Games60862744;UserInterface;UserInterface;class;1;20;1;0;6;8;3;55
