file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
ScoreBoard3194969;dk.frankbille.scoreboard.domain.League;League;class;1;10;1;0;35;10;5;63
ScoreBoard3194969;dk.frankbille.scoreboard.service.TestDefaultScoreBoardService;TestDefaultScoreBoardService;class;3;1;2;0;0;1;0;30
ScoreBoard3194969;dk.frankbille.scoreboard.security.SecureRenderingLink;SecureRenderingLink;class;5;2;2;0;1;2;1;29
ScoreBoard3194969;dk.frankbille.scoreboard.components.GameTeamPanel;GameTeamPanel;class;25;10;2;0;0;1;7;123
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.RatingsTestCase;RatingsTestCase;class;11;12;2;1;12;9;4;114
ScoreBoard3194969;dk.frankbille.scoreboard.comparators.GameComparator;GameComparator;class;1;3;1;0;0;1;0;30
ScoreBoard3194969;dk.frankbille.scoreboard.components.GameStatisticsPanel;GameStatisticsPanel;class;13;11;2;0;0;2;5;107
ScoreBoard3194969;dk.frankbille.scoreboard.dao.PlayerDao;PlayerDao;interface;1;4;1;0;6;4;0;26
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.elo.ELORatingCalculator;ELORatingCalculator;class;14;23;1;0;52;12;4;133
ScoreBoard3194969;dk.frankbille.scoreboard.dao.mybatis.TeamMapper;TeamMapper;interface;3;4;1;0;6;4;0;27
ScoreBoard3194969;dk.frankbille.scoreboard.components.menu.MenuPanel;MenuPanel;class;25;11;2;0;4;2;4;106
ScoreBoard3194969;dk.frankbille.scoreboard.dao.mybatis.MyBatisPlayerDao;MyBatisPlayerDao;class;6;7;1;0;0;5;1;54
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.RatingException;RatingException;class;0;1;4;0;0;1;1;23
ScoreBoard3194969;dk.frankbille.scoreboard.dao.mybatis.TestMapper;TestMapper;interface;0;6;1;0;15;6;0;26
ScoreBoard3194969;dk.frankbille.scoreboard.components.RatingCalculatorSelector;RatingCalculatorSelector;class;11;4;2;0;6;1;0;55
ScoreBoard3194969;dk.frankbille.scoreboard.security.LogoutPage;LogoutPage;class;3;2;3;0;1;2;1;40
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.GameRatingInterface;GameRatingInterface;interface;0;2;1;0;1;2;0;22
ScoreBoard3194969;dk.frankbille.scoreboard.player.PlayerPage;PlayerPage;class;20;9;3;0;0;2;5;90
ScoreBoard3194969;dk.frankbille.scoreboard.player.TestPlayerListPage;TestPlayerListPage;class;5;2;2;0;1;2;0;46
ScoreBoard3194969;dk.frankbille.scoreboard.comparators.PlayerComparator;PlayerComparator;class;1;3;1;0;0;1;0;31
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.elo.ELOTeamRatingBuilder;ELOTeamRatingBuilder;class;0;5;1;0;0;3;2;36
ScoreBoard3194969;dk.frankbille.scoreboard.components.menu.MenuItemType;MenuItemType;enum;0;0;1;0;0;0;0;26
ScoreBoard3194969;dk.frankbille.scoreboard.player.PlayerModel;PlayerModel;class;4;2;3;0;0;2;3;35
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.RatingProvider;RatingProvider;class;6;3;1;0;0;1;0;36
ScoreBoard3194969;dk.frankbille.scoreboard.domain.Tournament;Tournament;class;0;0;1;0;0;0;0;23
ScoreBoard3194969;dk.frankbille.scoreboard.security.SecureRenderingBookmarkablePageLink;SecureRenderingBookmarkablePageLink;class;5;2;2;0;1;2;1;30
ScoreBoard3194969;dk.frankbille.scoreboard.domain.Trend;Trend;enum;0;0;1;0;0;0;0;7
ScoreBoard3194969;dk.frankbille.scoreboard.components.PlayerStatisticsPanel;PlayerStatisticsPanel;class;26;27;2;0;1;1;7;146
ScoreBoard3194969;dk.frankbille.scoreboard.utils.TestEncryptionUtils;TestEncryptionUtils;class;1;1;1;0;0;1;0;28
ScoreBoard3194969;dk.frankbille.scoreboard.security.SecureExecutionBookmarkablePageLink;SecureExecutionBookmarkablePageLink;class;5;2;2;0;1;2;1;30
ScoreBoard3194969;dk.frankbille.scoreboard.dao.mybatis.UserMapper;UserMapper;interface;3;5;1;0;10;5;0;28
ScoreBoard3194969;dk.frankbille.scoreboard.components.InjectableDetachableModel;InjectableDetachableModel;class;3;2;2;1;1;2;1;30
ScoreBoard3194969;dk.frankbille.scoreboard.components.menu.MenuItem;MenuItem;interface;2;3;1;0;3;3;0;29
ScoreBoard3194969;dk.frankbille.scoreboard.Start;Start;class;3;2;1;0;0;1;0;57
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.trueskill.TestTrueSkillRating;TestTrueSkillRating;class;7;2;3;0;1;2;0;46
ScoreBoard3194969;dk.frankbille.scoreboard.domain.GameTeam;GameTeam;class;3;13;1;0;33;10;5;63
ScoreBoard3194969;dk.frankbille.scoreboard.domain.Game;Game;class;4;33;1;0;63;19;6;112
ScoreBoard3194969;dk.frankbille.scoreboard.dao.mybatis.GameMapper;GameMapper;interface;2;5;1;0;10;5;0;28
ScoreBoard3194969;dk.frankbille.scoreboard.domain.TeamResult;TeamResult;class;3;13;1;0;27;11;6;71
ScoreBoard3194969;dk.frankbille.scoreboard.components.menu.MenuItemsPanel;MenuItemsPanel;class;21;12;2;0;1;2;6;110
ScoreBoard3194969;dk.frankbille.scoreboard.dao.LeagueDao;LeagueDao;interface;1;3;1;0;3;3;0;25
ScoreBoard3194969;dk.frankbille.scoreboard.daily.DailyGamePage;DailyGamePage;class;29;19;3;0;14;6;13;141
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.trueskill.TrueSkillGameRating;TrueSkillGameRating;class;1;11;1;0;0;3;6;55
ScoreBoard3194969;dk.frankbille.scoreboard.security.SecureRenderingAjaxLink;SecureRenderingAjaxLink;class;5;2;2;0;1;2;1;29
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.elo.ELOGameRating;ELOGameRating;class;1;11;1;0;0;3;5;57
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.trueskill.TrueSkillRating;TrueSkillRating;class;2;4;2;0;6;4;0;35
ScoreBoard3194969;dk.frankbille.scoreboard.security.LoginPage;LoginPage;class;22;23;5;0;102;13;11;158
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.GamePlayerRatingInterface;GamePlayerRatingInterface;interface;0;2;1;0;1;2;0;22
ScoreBoard3194969;dk.frankbille.scoreboard.player.PlayerListPage;PlayerListPage;class;18;5;3;0;4;2;5;72
ScoreBoard3194969;dk.frankbille.scoreboard.domain.PlayerResult;PlayerResult;class;2;11;1;0;19;10;5;56
ScoreBoard3194969;dk.frankbille.scoreboard.security.RequiresLoginToRender;RequiresLoginToRender;interface;0;0;1;0;0;0;0;20
ScoreBoard3194969;dk.frankbille.scoreboard.components.menu.MenuItemPageLink;MenuItemPageLink;class;5;10;1;0;0;10;6;66
ScoreBoard3194969;dk.frankbille.scoreboard.player.PlayerEditPage;PlayerEditPage;class;19;13;4;0;0;4;7;107
ScoreBoard3194969;dk.frankbille.scoreboard.domain.RatingCalculatorType;RatingCalculatorType;enum;0;2;1;0;0;2;1;29
ScoreBoard3194969;dk.frankbille.scoreboard.components.PopoverBehavior;PopoverBehavior;class;5;3;2;0;1;3;3;43
ScoreBoard3194969;dk.frankbille.scoreboard.security.SecureExecutionAjaxLink;SecureExecutionAjaxLink;class;5;2;2;0;1;2;1;29
ScoreBoard3194969;dk.frankbille.scoreboard.daily.TestDailyGamePage;TestDailyGamePage;class;9;4;2;0;3;3;0;70
ScoreBoard3194969;dk.frankbille.scoreboard.security.ScoreBoardAuthorizationStrategy;ScoreBoardAuthorizationStrategy;class;7;7;2;0;3;3;0;41
ScoreBoard3194969;dk.frankbille.scoreboard.dao.mybatis.MyBatisLeagueDao;MyBatisLeagueDao;class;6;6;1;0;0;4;1;52
ScoreBoard3194969;dk.frankbille.scoreboard.components.TeamStatisticsPanel;TeamStatisticsPanel;class;19;21;2;0;1;1;7;124
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.elo.ELOCalculator;ELOCalculator;class;0;7;1;0;0;1;4;56
ScoreBoard3194969;dk.frankbille.scoreboard.components.FormatModel;FormatModel;class;4;5;2;0;1;2;4;46
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.elo.TestELORating;TestELORating;class;3;1;3;0;0;1;0;26
ScoreBoard3194969;dk.frankbille.scoreboard.BasePage;BasePage;class;7;5;2;7;3;2;2;49
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.RatingCalculator;RatingCalculator;interface;5;6;1;0;15;6;0;28
ScoreBoard3194969;dk.frankbille.scoreboard.dao.mybatis.PlayerMapper;PlayerMapper;interface;1;5;1;0;10;5;0;27
ScoreBoard3194969;dk.frankbille.scoreboard.utils.EncryptionUtils;EncryptionUtils;class;1;4;1;0;1;2;0;40
ScoreBoard3194969;dk.frankbille.scoreboard.components.PlayedGameListPanel;PlayedGameListPanel;class;25;5;2;0;0;1;5;94
ScoreBoard3194969;dk.frankbille.scoreboard.game.PlayersProvider;PlayersProvider;class;7;6;2;0;8;5;2;58
ScoreBoard3194969;dk.frankbille.scoreboard.domain.Player;Player;class;1;10;1;0;21;10;5;60
ScoreBoard3194969;dk.frankbille.scoreboard.user.UserPanel;UserPanel;class;9;1;2;0;0;1;2;41
ScoreBoard3194969;dk.frankbille.scoreboard.security.SecureBasePage;SecureBasePage;class;1;0;3;0;0;0;1;22
ScoreBoard3194969;dk.frankbille.scoreboard.service.DefaultScoreBoardService;DefaultScoreBoardService;class;16;73;1;0;237;25;4;314
ScoreBoard3194969;dk.frankbille.scoreboard.components.PaginationModel;PaginationModel;class;5;24;2;0;0;12;4;93
ScoreBoard3194969;dk.frankbille.scoreboard.dao.mybatis.LeagueMapper;LeagueMapper;interface;1;4;1;0;6;4;0;26
ScoreBoard3194969;dk.frankbille.scoreboard.game.EditGamePage;EditGamePage;class;22;14;4;0;0;4;5;134
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.RatingInterface;RatingInterface;interface;0;2;1;0;1;2;0;22
ScoreBoard3194969;dk.frankbille.scoreboard.service.ScoreBoardService;ScoreBoardService;interface;6;22;1;0;231;22;0;49
ScoreBoard3194969;dk.frankbille.scoreboard.dao.mybatis.MyBatisUserDao;MyBatisUserDao;class;7;6;1;0;0;6;1;56
ScoreBoard3194969;dk.frankbille.scoreboard.domain.Team;Team;class;1;9;1;0;15;7;4;51
ScoreBoard3194969;dk.frankbille.scoreboard.league.LeagueEditPage;LeagueEditPage;class;16;7;4;0;6;3;4;80
ScoreBoard3194969;dk.frankbille.scoreboard.user.UsernameValidator;UsernameValidator;class;10;10;1;0;0;2;3;59
ScoreBoard3194969;dk.frankbille.scoreboard.components.RowColorModifier;RowColorModifier;class;7;4;2;0;3;2;2;37
ScoreBoard3194969;dk.frankbille.scoreboard.domain.TeamId;TeamId;class;5;12;1;0;0;5;1;47
ScoreBoard3194969;dk.frankbille.scoreboard.ScoreBoardApplication;ScoreBoardApplication;class;18;3;2;0;3;3;0;77
ScoreBoard3194969;dk.frankbille.scoreboard.player.TestPlayerEditPage;TestPlayerEditPage;class;9;3;2;0;3;3;0;68
ScoreBoard3194969;dk.frankbille.scoreboard.dao.mybatis.GameTeamMapper;GameTeamMapper;interface;1;2;1;0;1;2;0;23
ScoreBoard3194969;dk.frankbille.scoreboard.league.LeagueListPage;LeagueListPage;class;18;4;3;0;4;2;4;67
ScoreBoard3194969;dk.frankbille.scoreboard.security.RequiresLoginToBeEnabled;RequiresLoginToBeEnabled;interface;0;0;1;0;0;0;0;20
ScoreBoard3194969;dk.frankbille.scoreboard.dao.UserDao;UserDao;interface;2;5;1;0;10;5;0;27
ScoreBoard3194969;dk.frankbille.scoreboard.dao.mybatis.MyBatisGameDao;MyBatisGameDao;class;13;19;1;0;0;6;3;110
ScoreBoard3194969;dk.frankbille.scoreboard.dao.GameDao;GameDao;interface;2;4;1;0;6;4;0;27
ScoreBoard3194969;dk.frankbille.scoreboard.game.GameTeamPanel;GameTeamPanel;class;22;8;3;0;7;4;6;90
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.elo.ELORating;ELORating;class;1;3;1;0;0;3;1;31
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.trueskill.TrueSkillPlayerRating;TrueSkillPlayerRating;class;1;3;1;0;0;3;2;35
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.elo.ELOGamePlayerRating;ELOGamePlayerRating;class;1;3;1;0;0;3;2;35
ScoreBoard3194969;dk.frankbille.scoreboard.components.LeagueSelector;LeagueSelector;class;19;10;2;0;21;1;1;89
ScoreBoard3194969;dk.frankbille.scoreboard.components.TooltipBehavior;TooltipBehavior;class;6;5;2;0;2;5;3;54
ScoreBoard3194969;dk.frankbille.scoreboard.domain.User;User;class;2;6;1;0;9;6;4;43
ScoreBoard3194969;dk.frankbille.scoreboard.test.WicketSpringTestCase;WicketSpringTestCase;class;23;19;1;0;28;8;3;172
ScoreBoard3194969;dk.frankbille.scoreboard.ScoreBoardSession;ScoreBoardSession;class;7;13;2;0;9;7;3;71
ScoreBoard3194969;dk.frankbille.scoreboard.ratings.trueskill.TrueSkillRatingCalculator;TrueSkillRatingCalculator;class;21;22;1;0;32;12;6;146
ScoreBoard3194969;dk.frankbille.scoreboard.components.DateField;DateField;class;5;2;2;0;1;2;1;43
ScoreBoard3194969;dk.frankbille.scoreboard.components.Select2Enabler;Select2Enabler;class;3;2;2;0;1;2;1;33
ScoreBoard3194969;dk.frankbille.scoreboard.components.NavigationPanel;NavigationPanel;class;12;21;2;0;35;3;9;127
ScoreBoard3194969;dk.frankbille.scoreboard.components.menu.MenuItemContainer;MenuItemContainer;class;4;7;1;0;13;7;5;53
