file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
SimpleGames65816885;ticTacToe.client_server.messages.NewStepPlayerIdMessage;NewStepPlayerIdMessage;class;2;4;2;0;0;4;1;18
SimpleGames65816885;ticTacToe.Player;Player;class;4;12;1;0;20;12;2;52
SimpleGames65816885;networkTest.client.listeners.ClientListener;ClientListener;class;9;10;1;0;0;3;1;48
SimpleGames65816885;unit.models.geometrics.Grid;Grid;class;2;4;3;0;2;4;2;20
SimpleGames65816885;ticTacToe.views.GameView;GameView;class;3;2;3;0;1;2;2;18
SimpleGames65816885;addition.factory.geometry.LineFactory;LineFactory;class;7;5;1;0;8;5;1;31
SimpleGames65816885;networkTest.Globals;Globals;class;0;2;1;0;0;0;5;19
SimpleGames65816885;unit.models.geometrics.Point.Point2D;Point2D;class;3;10;4;0;3;10;1;41
SimpleGames65816885;unit.models.geometrics.Point.AbstractPoint;AbstractPoint;class;2;2;3;0;1;2;0;6
SimpleGames65816885;Main;Main;class;1;4;1;0;0;1;1;20
SimpleGames65816885;unit.models.geometrics.Line;Line;class;2;2;3;0;1;2;2;17
SimpleGames65816885;ticTacToe.client_server.MakeMove;MakeMove;class;9;12;1;0;0;2;3;57
SimpleGames65816885;ticTacToe.main.IdGenerator;IdGenerator;class;0;2;1;0;1;2;2;11
SimpleGames65816885;unit.mvc.IView;IView;interface;0;0;1;0;0;0;0;4
SimpleGames65816885;ticTacToe.models.Cell;Cell;class;5;11;4;0;0;11;1;44
SimpleGames65816885;ticTacToe.client_server.Globals;Globals;class;0;2;1;0;0;0;5;19
SimpleGames65816885;ticTacToe.client_server.messages.GiveGameMessage;GiveGameMessage;class;2;1;2;0;0;1;0;8
SimpleGames65816885;ticTacToe.client_server.messages.GivePlayerMessage;GivePlayerMessage;class;2;1;2;0;0;1;0;8
SimpleGames65816885;addition.factory.geometry.QuadFactory;QuadFactory;class;6;9;1;0;34;9;1;42
SimpleGames65816885;ticTacToe.client_server.client.listeners.ClientListener;ClientListener;class;10;17;1;0;1;3;1;66
SimpleGames65816885;ticTacToe.client_server.messages.MakeMoveMessage;MakeMoveMessage;class;2;8;2;0;10;8;3;34
SimpleGames65816885;unit.mvc.Model;Model;class;0;0;2;0;0;0;0;4
SimpleGames65816885;ticTacToe.models.Game;Game;class;8;24;4;0;47;14;5;124
SimpleGames65816885;ticTacToe.client_server.messages.ResetMessage;ResetMessage;class;2;1;2;0;0;1;0;8
SimpleGames65816885;networkTest.gui.StartForm;StartForm;class;10;17;8;0;38;13;14;149
SimpleGames65816885;gui.JTimerDialog;JTimerDialog;class;0;9;1;0;15;6;0;46
SimpleGames65816885;unit.AbstractCell;AbstractCell;class;2;8;3;0;6;8;2;34
SimpleGames65816885;ticTacToe.models.ESign;ESign;enum;0;0;1;0;0;0;0;4
