file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Software-Engineering-And-Games-Development40996027;RibbonsManager;RibbonsManager;class;2;6;1;0;0;3;2;55
Software-Engineering-And-Games-Development40996027;SoundThread;SoundThread;class;0;6;2;0;0;2;2;27
Software-Engineering-And-Games-Development40996027;World;World;class;1;12;5;0;4;5;9;98
Software-Engineering-And-Games-Development40996027;Missile;Missile;class;1;4;2;0;0;2;7;54
Software-Engineering-And-Games-Development40996027;Sprite;Sprite;class;0;29;1;2;87;19;9;112
Software-Engineering-And-Games-Development40996027;EnemyA;EnemyA;class;1;1;3;0;0;1;4;26
Software-Engineering-And-Games-Development40996027;EnemyC;EnemyC;class;1;2;3;0;1;2;5;30
Software-Engineering-And-Games-Development40996027;Ribbon;Ribbon;class;0;14;1;0;0;4;3;54
Software-Engineering-And-Games-Development40996027;Explosion;Explosion;class;1;2;2;0;1;2;2;37
Software-Engineering-And-Games-Development40996027;MainFrame;MainFrame;class;1;1;1;0;0;1;2;26
Software-Engineering-And-Games-Development40996027;Brick;Brick;class;1;15;1;0;0;7;8;87
Software-Engineering-And-Games-Development40996027;Craft;Craft;class;3;36;2;0;45;14;17;177
Software-Engineering-And-Games-Development40996027;GameEngine;GameEngine;class;0;6;1;0;3;3;0;52
Software-Engineering-And-Games-Development40996027;AudioPlayer;AudioPlayer;class;1;14;1;0;1;2;2;112
Software-Engineering-And-Games-Development40996027;Asteroid;Asteroid;class;2;14;2;0;11;6;8;92
Software-Engineering-And-Games-Development40996027;Menu;Menu;class;1;17;5;0;42;7;25;233
Software-Engineering-And-Games-Development40996027;GameBoard;GameBoard;class;2;18;5;0;0;6;7;125
Software-Engineering-And-Games-Development40996027;Ball;Ball;class;0;13;5;0;13;7;6;90
Software-Engineering-And-Games-Development40996027;EnemyCraft;EnemyCraft;class;1;9;2;0;19;7;4;78
Software-Engineering-And-Games-Development40996027;Logic;Logic;class;1;33;1;0;45;10;5;145
Software-Engineering-And-Games-Development40996027;GamePanel;GamePanel;class;3;69;6;0;180;25;13;346
Software-Engineering-And-Games-Development40996027;EnemyB;EnemyB;class;1;2;3;0;1;2;5;30
